assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
17043799000;0;345553000;4821838000;5175512000;20788;1342846000;192258000;1771536000;1836042000;1373711000;601769000;4975351000;17043799000;1131240000;639397000;12221961000;10525441000;326061000;2016-09-30;756857000;20788
17111340000;0;396281000;4282484000;5332771000;20788;906616000;194186000;1515911000;2487214000;1372346000;518292000;4728591000;17111340000;1123695000;829558000;12828856000;10871953000;475471000;2016-12-31;888510000;20788
16423698000;0;254625000;3777935000;2593040000;20788;2793412000;206074000;1394585000;2480389000;1337976000;428238000;4723196000;16423698000;819701000;704724000;12645763000;11037246000;234892000;2017-03-31;704468000;20788
16824852000;0;272927000;3748245000;2821915000;20788;2483260000;224175000;1211542000;2499533000;1375873000;522177000;4930910000;16824852000;671935000;642608000;13076607000;11519677000;255198000;2017-06-30;823210000;20788
17131533000;0;128413000;4098232000;2608112000;20788;2588954000;228037000;1184183000;2629910000;1330573000;707337000;4751871000;17131533000;647476000;620764000;13033301000;11934467000;455147000;2017-09-30;880059000;20788
18175730000;0;159400000;4885521000;2936783000;20788;2392532000;242178000;1127685000;2709413000;1372166000;799938000;4940423000;18175730000;712949000;677816000;13290209000;12846415000;539681000;2017-12-31;1088481000;20788
18424076000;0;100393000;5613948000;3390594000;20788;2180243000;254112000;1599860000;2766590000;828807000;743428000;4953115000;18424076000;1357947000;3274000;12810128000;12853239000;415143000;2018-03-31;907900000;20788
19750669000;0;417296000;6162629000;3735619000;20788;635486000;1811937000;1546467000;2826869000;903426000;970341000;5580830000;19750669000;1483800000;2823000;13588040000;15379564000;380280000;2018-06-30;891014000;20788
20414244000;0;176222000;6243135000;3918166000;20788;205197000;2045692000;1447533000;2851983000;919109000;931708000;5915030000;20414244000;1708127000;151010000;14171109000;16290881000;593325000;2018-09-30;874939000;20788
21475831000;0;157799000;3925688000;4544507000;20788;673464000;3338093000;1619387000;2871484000;344300000;494907000;11292664000;21475831000;1976056000;227882000;17550143000;16257860000;394149000;2018-12-31;1119213000;20788
21971865000;0;136498000;4263391000;4504108000;20788;715910000;3416557000;1750463000;3090344000;336712000;640385000;10979679000;21971865000;2070934000;221019000;17708474000;16751847000;353050000;2019-03-31;1071946000;20788
22883352000;0;123731000;4833167000;5232312000;20788;840334000;3368943000;2212885000;3163906000;332083000;613585000;11138362000;22883352000;2553953000;264384000;18050185000;16810706000;410967000;2019-06-30;1141821000;20788
23981316000;0;158864000;4496174000;4944149000;20788;348061000;3904461000;1380005000;3117852000;325250000;657992000;12475471000;23981316000;2332407000;502200000;19485142000;18689106000;478192000;2019-09-30;1041290000;20788
23403090000;0;244698000;4834253000;5041621000;20788;618565000;1157776000;1556280000;3064696000;318894000;681792000;4558779000;23403090000;2096358000;780792000;18568837000;17742904000;890797000;2019-12-31;1265492000;20788
27141086000;0;151906000;4324973000;6188601000;20788;-1030016000;1603003000;1136705000;3061245000;313526000;500940000;6174463000;27141086000;3520047000;729386000;22816113000;21982501000;1691351000;2020-03-31;1049974000;20788
29765446000;0;48994000;4254816000;6126164000;20788;367249000;2243855000;730300000;3119973000;307133000;559226000;8271164000;29765446000;3871900000;661618000;25510630000;23272033000;1765115000;2020-06-30;753773000;20788
31856141000;0;190992000;3625885000;6433070000;20788;964884000;1778898000;451059000;3237982000;301173000;654280000;9175268000;31856141000;4047921000;971638000;28230256000;24458187000;1154118000;2020-09-30;776439000;20788
32747538000;0;291563000;3097610000;7839709000;20788;2094709000;1419354000;53456000;3349689000;295482000;623150000;7865566000;32747538000;5101870000;857800000;29649928000;22813120000;1100769000;2020-12-31;733463000;20788
34848736000;0;29900000;4065306000;8262713000;20788;2322494000;1643646000;1148351000;3498403000;289560000;721292000;6458578000;34848736000;5636066000;1026106000;30783430000;24263529000;1076374000;2021-03-31;466073000;20788
38949567000;0;31762000;9873809000;8997713000;20788;4185629000;1683249000;4578829000;3645216000;283536000;912612000;6322024000;38949567000;5737316000;4198082000;29075758000;25766225000;1848888000;2021-06-30;731598000;20788
42372803000;0;41749000;9579941000;8520444000;20788;4866932000;1806895000;3314952000;3848129000;277949000;931996000;9353213000;42372803000;5392579000;5233729000;32792862000;28985427000;1886516000;2021-09-30;871597000;20788
47341078000;0;87349000;7841809000;8661916000;20788;3916920000;1654803000;352061000;4079921000;272527000;847802000;11222662000;47341078000;5636486000;6614865000;39499269000;34762242000;2713807000;2021-12-31;1149453000;20788
44337620000;0;20222000;8199679000;9942364000;20788;3359717000;1750323000;992460000;4170180000;266300000;808916000;11207796000;44337620000;5973269000;8320901000;36137941000;31035539000;2182971000;2022-03-31;1473735000;20788
50747821000;0;518449000;7211058000;10780083000;20788;6979336000;22627173000;763081000;4275239000;260342000;951023000;23221181000;50747821000;6754060000;7710893000;43536763000;32988402000;1615538000;2022-06-30;1637034000;20788
48906622000;0;85768000;7987065000;11360540000;20788;6832400000;22072089000;203730000;4383493000;254390000;1057342000;24219921000;48906622000;6959536000;7994045000;40919557000;30713682000;3045659000;2022-09-30;2111001000;20788
