assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
3706471000;0;561930000;1796724000;711126000;20915;2399670000;123604000;0;17446000;17844000;534535000;1022342000;3706471000;154615000;399404000;1909747000;595675000;651399000;2009-12-31;64925000;20915
5648223000;0;657523000;2865964000;1203923000;20915;2874853000;177897000;302028000;40484000;26118000;864864000;1398503000;5648223000;318153000;1235720000;2782259000;1569447000;954171000;2010-12-31;94318000;20915
6099247000;0;810925000;3105423000;1171034000;20915;3028604000;194558000;310880000;42468000;26818000;874674000;1420450000;6099247000;287643000;1470656000;2993824000;1899609000;1013135000;2011-03-31;101182000;20915
6207360000;0;470374000;2937220000;1134799000;20915;3219753000;204799000;297023000;44671000;27528000;887040000;1442837000;6207360000;273622000;1391643000;3270140000;1852808000;1173203000;2011-06-30;126269000;20915
7016280000;0;900189000;3754700000;1313843000;20915;3393632000;222487000;226720000;51358000;28391000;1089957000;1592128000;7016280000;325837000;1863237000;3261580000;2308805000;1406011000;2011-09-30;141869000;20915
7430618000;0;641568000;3739363000;1666004000;20915;3422906000;247183000;0;56075000;30735000;1162691000;1750482000;7430618000;331914000;1880347000;3691255000;2203143000;1590783000;2011-12-31;156632000;20915
7694574000;0;702473000;3856777000;1992099000;20915;3541731000;248422000;0;62950000;34770000;1185444000;1818320000;7694574000;591969000;1699315000;3837797000;2160744000;1627055000;2012-03-31;163430000;20915
8291015000;0;982270000;4103118000;1939054000;20915;3660309000;256232000;0;72521000;37712000;1313775000;1936230000;8291015000;673419000;2114099000;4187897000;2691652000;1490456000;2012-06-30;138142000;20915
8552283000;0;1019140000;3995081000;2049986000;20915;3810025000;267533000;0;71508000;39381000;1222577000;2019710000;8552283000;709030000;2086320000;4557202000;2692272000;1466222000;2012-09-30;128881000;20915
8633001000;0;1017664000;3928382000;2354193000;20915;3801633000;286340000;0;69712000;41085000;1052272000;2064464000;8633001000;770941000;2027961000;4704619000;2477175000;1560553000;2012-12-31;177079000;20915
8317551000;0;704911000;3632850000;2231870000;20915;3880635000;301568000;0;68225000;42122000;1085178000;2130506000;8317551000;756080000;1781399000;4684701000;2205046000;1530047000;2013-03-31;145493000;20915
8397837000;0;651135000;3668319000;1915410000;20915;4000041000;300689000;0;71207000;44135000;1067675000;2268520000;8397837000;799440000;1879479000;4729518000;2482386000;1554978000;2013-06-30;166301000;20915
8618902000;0;1031851000;4018078000;1831727000;20915;4129362000;280084000;0;68916000;43947000;1026712000;2233145000;8618902000;737367000;2090035000;4600824000;2657813000;1537553000;2013-09-30;151503000;20915
8520616000;0;1014842000;3905980000;1916086000;20915;4101183000;264217000;0;65157000;47499000;1114444000;2201024000;8520616000;659464000;1975793000;4614636000;2503347000;1388134000;2013-12-31;109660000;20915
8288390000;0;702325000;3491459000;1728690000;20915;4152705000;268491000;0;63960000;48023000;1079861000;2244210000;8288390000;490926000;1838809000;4796931000;2406995000;1317725000;2014-03-31;103187000;20915
8429953000;0;569113000;3487732000;1454588000;20915;4384452000;268277000;0;61444000;48181000;1228757000;2511975000;8429953000;449239000;1851836000;4942221000;2590913000;1337459000;2014-06-30;160678000;20915
8589218000;0;595078000;3668789000;1925714000;20915;4480437000;280832000;0;62818000;74548000;1353242000;2510025000;8589218000;884444000;1371735000;4920429000;2183067000;1324322000;2014-09-30;176942000;20915
8955650000;0;712618000;3955339000;2289011000;20915;4388008000;284910000;0;67734000;76776000;1450286000;2532498000;8955650000;889919000;1283074000;5000311000;2278631000;1410941000;2014-12-31;194995000;20915
9247748000;0;1028840000;4294661000;2136046000;20915;4459188000;272739000;0;72820000;78340000;1600297000;2551010000;9247748000;753883000;1598821000;4953087000;2652514000;1321069000;2015-03-31;184655000;20915
9463489000;0;1095447000;4369756000;2246890000;20915;4620760000;284771000;0;91930000;79767000;1650335000;2522004000;9463489000;945137000;1400556000;5093733000;2595839000;1300286000;2015-06-30;242823000;20915
9379688000;0;1009052000;4328755000;2107769000;20915;4764207000;282521000;0;90955000;83846000;1715881000;2472946000;9379688000;840548000;1236086000;5050933000;2507712000;1250967000;2015-09-30;225403000;20915
9620393000;0;1256075000;4537750000;2468545000;20915;4775614000;274259000;0;88818000;84217000;1726997000;2421408000;9620393000;1091266000;930640000;5082643000;2376234000;1211024000;2015-12-31;194063000;20915
9907197000;0;1517345000;4676875000;2525250000;20915;4905046000;260216000;0;90151000;84511000;1622685000;2298668000;9907197000;1153199000;908147000;5230322000;2476901000;1174210000;2016-03-31;160193000;20915
9697467000;0;1222697000;4424792000;2510524000;20915;5020388000;264691000;0;95448000;84533000;1588249000;2273716000;9697467000;1162115000;668509000;5272675000;2166555000;1231184000;2016-06-30;193427000;20915
