assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
8328135000;171637000;1574842000;3527615000;2145037000;20931;633381000;1404000;438103000;1389579000;105969000;275996000;2071170000;8328135000;1183519000;3713288000;4800520000;5549717000;224730000;2016-09-30;235414000;20931
8362846000;120140000;1843001000;3554665000;2126153000;20931;520623000;1444000;402100000;1427479000;106676000;235586000;2371855000;8362846000;1187894000;3990949000;4808181000;5716070000;199226000;2016-12-31;281955000;20931
8638403000;151160000;1864569000;3856992000;2042536000;20931;442684000;1543000;652433000;1455998000;105769000;296933000;2410573000;8638403000;1100087000;4393002000;4781411000;6153183000;160068000;2017-03-31;263491000;20931
8910593000;146687000;2057334000;4239860000;2828621000;20931;361512000;1784000;709374000;1700109000;281412000;344751000;1888361000;8910593000;2070163000;3945897000;4670733000;5720460000;226034000;2017-06-30;320768000;20931
10283016000;167100000;2326887000;4323046000;3144638000;20931;395843000;0;322210000;1711978000;282358000;390953000;3188485000;10283016000;1979116000;4910949000;5959970000;6742535000;323230000;2017-09-30;446414000;20931
10263866000;171067000;2200545000;4458270000;2914334000;20931;71077000;0;353498000;1821931000;292148000;387077000;3067676000;10263866000;1944652000;4177751000;5805596000;7278455000;489997000;2017-12-31;507644000;20931
10581247000;162821000;2411963000;4719331000;3374702000;20931;-63819000;0;498987000;1821951000;293292000;411899000;3111121000;10581247000;2454205000;3966045000;5861916000;7270364000;433285000;2018-03-31;403818000;20931
10948762000;190461000;2565380000;4765253000;3349241000;20931;-1073697000;0;620396000;1814703000;295566000;345358000;3279413000;10948762000;2395882000;4697489000;6183509000;8673218000;280928000;2018-06-30;397372000;20931
11917301000;152336000;2487401000;5731098000;4274008000;20931;-1365753000;0;1166549000;1810349000;294959000;452320000;3283385000;11917301000;2849331000;4691679000;6186203000;9009046000;703056000;2018-09-30;463231000;20931
12712067000;129794000;2849901000;6114056000;5003148000;20931;-301114000;0;1203924000;1798497000;294810000;411349000;2457610000;12712067000;3302978000;4372503000;6598011000;8010033000;788055000;2018-12-31;492873000;20931
12060870000;171528000;2511239000;5211713000;4036162000;20931;-373645000;0;942847000;1838475000;296418000;393550000;2580295000;12060870000;2591537000;4642487000;6849157000;8398353000;561359000;2019-03-31;427816000;20931
11692368000;159166000;2142829000;4386477000;3529157000;20931;-390322000;0;592462000;1889748000;283259000;399393000;2760691000;11692368000;1921895000;4818901000;7305891000;8553533000;434765000;2019-06-30;450282000;20931
12181284000;161126000;2846803000;4764016000;3699052000;20931;-767223000;0;231888000;1893116000;283143000;410212000;2668004000;12181284000;1765734000;5373669000;7417268000;9249455000;429603000;2019-09-30;540145000;20931
13506263000;203173000;3015981000;5880606000;4649156000;20931;-281662000;0;1008079000;1888703000;281957000;430545000;2683039000;13506263000;2646524000;5345936000;7625657000;9138769000;538470000;2019-12-31;914428000;20931
16093471000;224496000;4162947000;7437299000;4508175000;20931;579674000;0;1309817000;1906875000;284037000;372010000;2980124000;16093471000;1965342000;6607004000;8656172000;11005622000;640023000;2020-03-31;744673000;20931
17498795000;231753000;4131889000;8173651000;4464174000;20931;838217000;0;1919145000;1888942000;285067000;398241000;3298452000;17498795000;1926693000;7542087000;9325144000;12196404000;738394000;2020-06-30;762465000;20931
18594423000;259147000;4494515000;8774927000;4974440000;20931;1218974000;0;1855448000;1861735000;303726000;439438000;3552004000;18594423000;1601280000;7573593000;9819496000;12401009000;895014000;2020-09-30;1446962000;20931
17361589000;263221000;4274319000;7861109000;5186329000;20931;840072000;0;1148436000;1855858000;302083000;461807000;3425014000;17361589000;2002767000;6845820000;9500480000;11335188000;901869000;2020-12-31;1648810000;20931
18658537000;305812000;4520469000;8070253000;4887034000;20931;1013836000;0;969597000;1837888000;301189000;497546000;3789065000;18658537000;1293161000;8024249000;10588284000;12757667000;932933000;2021-03-31;1506016000;20931
19403138000;346894000;4394276000;7871754000;5867049000;20931;422925000;0;1052132000;1828459000;302776000;509698000;3532560000;19403138000;2094911000;8756309000;11531384000;13113164000;702020000;2021-06-30;1821374000;20931
20071836000;330121000;3793379000;7469346000;5464843000;20931;483053000;0;1216748000;1909535000;316700000;623327000;4068192000;20071836000;1648426000;9426603000;12602490000;14123940000;935059000;2021-09-30;2206676000;20931
20958405000;342334000;3983953000;7733994000;5497230000;20931;654131000;0;910686000;1947378000;324572000;654618000;4389650000;20958405000;1547580000;9916964000;13224411000;14807044000;1251602000;2021-12-31;2511018000;20931
19290417000;362641000;3430768000;7162500000;5233804000;20931;485754000;39475000;818295000;2028232000;321522000;681631000;3935361000;19290417000;1600180000;9263649000;12127917000;13570859000;1230420000;2022-03-31;2269824000;20931
19803425000;315011000;3903796000;7741083000;5853265000;20931;698265000;41061000;1095857000;2079256000;341333000;635616000;4357465000;19803425000;2112059000;9609563000;12062342000;13251895000;1092558000;2022-06-30;2406632000;20931
22242372000;319767000;4599685000;9658449000;7022969000;20931;621997000;55357000;2304251000;2173457000;343278000;730952000;4573440000;22242372000;2892241000;10846412000;12583923000;14597406000;958525000;2022-09-30;2689119000;20931
