assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
9295835000;0;201986000;4103546000;2470043000;20990;3171371000;141000;1076920000;520347000;2317392000;1579434000;426428000;9295835000;662327000;3469747000;5192289000;3654421000;737811000;2016-09-30;1540069000;20990
9812763000;0;223112000;4519715000;2710087000;20990;3077952000;50000;1452747000;514675000;2375029000;1518638000;485356000;9812763000;448927000;3727560000;5293048000;4024724000;630263000;2016-12-31;1966972000;20990
9766745000;0;448871000;4321435000;1850203000;20990;3662226000;-92000;1432119000;501620000;2363798000;1212828000;490818000;9766745000;513112000;4085052000;5445310000;4254316000;550934000;2017-03-31;1114075000;20990
10642350000;0;1691452000;5175601000;1740484000;20990;4012953000;-27000;1427310000;487732000;2392548000;972584000;495190000;10642350000;925251000;4615299000;5466749000;4888913000;296959000;2017-06-30;615135000;20990
11029957000;0;1421168000;5480852000;2287453000;20990;3934301000;-161000;1847515000;463279000;2407206000;1016436000;504444000;11029957000;1325751000;4460106000;5549105000;4808203000;388973000;2017-09-30;771540000;20990
12353804000;0;1466774000;6695235000;3312989000;20990;3905963000;-250000;2841006000;450040000;2480191000;1179420000;522699000;12353804000;1497002000;4678071000;5658569000;5134852000;361511000;2017-12-31;1576847000;20990
12728216000;0;2553313000;7006253000;3116717000;20990;3794929000;-362000;2182363000;438132000;2464639000;1016252000;534149000;12728216000;1623449000;5377398000;5721963000;5816570000;278310000;2018-03-31;1245299000;20990
12362675000;0;2640876000;6660490000;2822970000;20990;3690280000;-354000;1968143000;427375000;2443172000;843199000;553671000;12362675000;1478364000;5381363000;5702185000;5849425000;186674000;2018-06-30;1103580000;20990
12746087000;0;3090161000;6873766000;2717977000;20990;3598869000;-451000;1793936000;421040000;2440509000;801152000;567712000;12746087000;1075061000;6051297000;5872321000;6429241000;216239000;2018-09-30;1360308000;20990
12744952000;0;3113727000;6702438000;2897306000;20990;3537115000;0;1717267000;414417000;2462235000;841257000;589750000;12744952000;675918000;6100928000;6042514000;6310531000;123337000;2018-12-31;1907327000;20990
14147217000;0;3734428000;7680934000;2863662000;20990;3379922000;0;1908113000;586898000;2484175000;815455000;594558000;14147217000;702491000;7616183000;6466283000;7903633000;383462000;2019-03-31;1802373000;20990
13891972000;0;3303651000;7361201000;3448686000;20990;3257816000;0;1915251000;560591000;2511752000;830788000;599076000;13891972000;1145795000;6887439000;6530771000;7185470000;463809000;2019-06-30;1919880000;20990
16375534000;0;4479483000;9806426000;3832561000;20990;5637459000;0;3040150000;534750000;2499236000;857129000;645312000;16375534000;1316293000;6564369000;6569108000;6905514000;544573000;2019-09-30;2100752000;20990
15777860000;0;3533847000;9134238000;4491222000;20990;5734432000;0;2719116000;594927000;2486896000;888168000;705897000;15801149000;1300759000;5066478000;6666911000;5552206000;751168000;2019-12-31;2665242000;20990
15857314000;0;3675088000;9132092000;4244927000;20990;5631643000;0;2645412000;592230000;2515162000;1146023000;707097000;15857314000;1194419000;5528110000;6725222000;5980744000;514617000;2020-03-31;2629382000;20990
16188918000;0;3901934000;9379552000;4326353000;20990;5570278000;0;2554198000;586908000;2553199000;1189595000;721481000;16188918000;903775000;5823684000;6809366000;6292287000;548504000;2020-06-30;2929492000;20990
18832832000;0;4953072000;12030686000;4643784000;20990;9535268000;0;2872398000;565063000;2578848000;1441868000;737096000;18832832000;874455000;4074981000;6802146000;4653780000;1563209000;2020-09-30;3300688000;20990
22231788000;0;6630363000;15409374000;5223327000;20990;9485706000;0;4251702000;578659000;2548589000;1595585000;846972000;22231788000;430955000;6965222000;6822414000;7522755000;1787769000;2020-12-31;3930758000;20990
19205868000;0;4326388000;12087237000;5096823000;20990;9231502000;0;2855345000;585585000;2585305000;1891260000;930804000;19205868000;408127000;4357097000;7118631000;4877543000;1753955000;2021-03-31;3864077000;20990
41931526000;0;7421139000;24709083000;11867286000;20990;15730555000;0;5246847000;6746861000;3533244000;4732746000;1654897000;41931526000;3292728000;10950249000;17222443000;14333685000;4626631000;2021-06-30;6222462000;20990
40829432000;0;4347154000;22497291000;12226947000;20990;15663360000;0;3995665000;6900043000;3595125000;5629050000;1879595000;40829432000;2455002000;9798918000;18332141000;12939125000;6050459000;2021-09-30;7747846000;20990
41459949000;0;2459795000;19532785000;12744566000;20990;15910976000;0;3253854000;6887167000;4105396000;4854951000;4700283000;41459949000;1480008000;9831021000;21927164000;12804407000;6518566000;2021-12-31;8743844000;20990
40243914000;0;1805960000;17628675000;11671592000;20990;15327319000;0;2658274000;6610023000;4305212000;5525775000;5280426000;40243914000;2178457000;10029328000;22615239000;13245003000;5189460000;2022-03-31;7518434000;20990
39724217000;0;2401185000;16407166000;10481587000;20990;15106033000;0;2364505000;6543976000;4752235000;5094096000;5243459000;39724217000;2730553000;10883874000;23317051000;14136597000;4020017000;2022-06-30;5747901000;20990
44959154000;0;4257657000;20109144000;10687814000;20990;14705555000;0;2929146000;7188333000;7250337000;5628088000;3316768000;44959154000;3270552000;15656375000;24850010000;19565785000;4813078000;2022-09-30;5150837000;20990
