assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
158662000;0;963000;104519000;47005000;2100;22170000;181000;0;36647000;3826000;31236000;8055000;158662000;20202000;29716000;54143000;89487000;68247000;2009-12-31;11069000;2100
175016000;0;1214000;103841000;38329000;2100;34432000;268000;0;40642000;6495000;35383000;8715000;175016000;12226000;46023000;71175000;102255000;62059000;2010-12-31;12027000;2100
189648000;0;1165000;127288000;48160000;2100;35457000;246000;0;42724000;7941000;48626000;7975000;189648000;19165000;49254000;62360000;106031000;73593000;2011-03-31;16226000;2100
210975000;0;1620000;138207000;68519000;2100;38811000;213000;0;45568000;6543000;49440000;8417000;210975000;37434000;46915000;72768000;103645000;79630000;2011-06-30;16745000;2100
206028000;0;611000;133906000;61993000;2100;40083000;262000;0;46147000;6406000;42516000;10392000;206028000;33989000;49486000;72122000;103952000;83291000;2011-09-30;14241000;2100
220357000;0;8725000;134580000;72587000;2100;40314000;169000;0;48178000;5593000;46172000;9143000;220357000;44150000;53654000;85777000;107456000;74944000;2011-12-31;16925000;2100
230058000;0;1109000;140368000;75642000;2100;40544000;747000;0;46600000;6362000;52613000;8245000;230058000;43523000;59294000;89690000;113872000;82422000;2012-03-31;19069000;2100
242280000;0;2910000;141242000;93775000;2100;40982000;267000;0;45171000;7302000;57367000;10349000;242280000;62240000;55521000;101038000;107523000;78189000;2012-06-30;18797000;2100
246225000;0;4432000;144155000;90562000;2100;41298000;204000;0;44788000;7360000;52954000;10523000;246225000;63107000;60081000;102070000;114365000;82089000;2012-09-30;15653000;2100
232952000;0;14709000;139840000;95053000;2100;13897000;226000;0;44169000;7197000;52904000;10973000;232952000;66843000;64547000;93112000;124002000;62154000;2012-12-31;15498000;2100
257389000;0;4749000;154765000;105207000;2100;32655000;321000;0;42632000;7096000;48436000;11331000;257389000;74762000;59774000;102624000;119527000;81860000;2013-03-31;17137000;2100
252279000;0;7284000;149647000;101580000;2100;31173000;393000;0;41026000;7422000;43274000;13230000;252279000;67528000;60678000;102632000;119526000;81774000;2013-06-30;18772000;2100
243801000;0;5483000;140263000;101804000;2100;29017000;425000;0;39391000;7360000;39123000;14261000;243801000;61412000;54343000;103538000;112980000;76485000;2013-09-30;19123000;2100
249703000;0;13420000;125556000;104388000;2100;17724000;61000;0;38113000;6950000;39925000;41831000;249703000;64386000;63819000;124147000;127591000;59032000;2013-12-31;18073000;2100
257396000;0;10781000;136714000;121865000;2100;17574000;280000;818000;36405000;6867000;42348000;41406000;257396000;75339000;56143000;120682000;117957000;68195000;2014-03-31;22981000;2100
247015000;0;8324000;137003000;123265000;2100;15134000;205000;831000;35234000;6654000;41906000;40794000;247015000;70716000;48553000;110012000;108616000;73417000;2014-06-30;26976000;2100
249735000;0;8407000;135370000;134896000;2100;36439000;-32000;0;33679000;6474000;34892000;40592000;249735000;83006000;40038000;114365000;78400000;76064000;2014-09-30;27676000;2100
244962000;0;14895000;127653000;136663000;2100;30528000;206000;0;33511000;6231000;36208000;42798000;244962000;87313000;36441000;117309000;77771000;65211000;2014-12-31;19241000;2100
256249000;0;13833000;134351000;148079000;2100;34067000;392000;0;32800000;6038000;38170000;47544000;256249000;88533000;32355000;121898000;74103000;66201000;2015-03-31;39319000;2100
245942000;0;3969000;125001000;168151000;2100;22158000;-105000;0;33589000;5933000;31633000;45977000;245942000;100291000;15129000;120941000;55633000;82312000;2015-06-30;25936000;2100
245894000;0;8503000;117295000;189961000;2100;5349000;-164000;0;32256000;5979000;35218000;50285000;245894000;118258000;14975000;128599000;50584000;67973000;2015-09-30;32437000;2100
243347000;0;9466000;140152000;189014000;2100;707000;-1073000;0;30873000;1404000;31228000;43953000;245260000;122329000;16681000;105108000;53626000;87898000;2015-12-31;25186000;2100
231679000;0;4066000;131639000;198972000;2100;-15353000;-606000;0;30612000;1231000;28284000;38913000;231679000;118497000;16394000;100040000;48060000;91401000;2016-03-31;28805000;2100
222015000;0;20942000;118379000;193088000;2100;-18359000;-81000;0;30932000;1149000;30855000;39475000;222015000;116828000;16263000;103636000;47286000;60381000;2016-06-30;22875000;2100
