assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
3597757000;0;373000;240312000;231110000;21016;2819807000;0;201719000;53000;814699000;0;2540086000;3597757000;223208000;534451000;3357445000;546840000;0;2016-09-30;1092000;21016
3483629000;0;95000;366425000;540465000;21016;2434673000;0;127240000;43000;809747000;0;2305020000;3483629000;444592000;498290000;3117204000;508491000;0;2016-12-31;1814000;21016
3628131000;0;319000;347208000;558758000;21016;2559513000;0;106466000;33000;804787000;0;2473686000;3628131000;464188000;501644000;3280923000;509860000;0;2017-03-31;653000;21016
3710389000;0;641000;187742000;575847000;21016;2735404000;0;77924000;0;799827000;0;2684266000;3710389000;568844000;392605000;3522647000;399138000;0;2017-06-30;842000;21016
3687551000;0;667000;201732000;399546000;21016;2886386000;0;175207000;0;796553000;0;2650176000;3687551000;392481000;396194000;3485819000;401619000;0;2017-09-30;1325000;21016
3405141000;0;241000;456563000;429978000;21016;2777257000;0;45820000;0;793280000;0;2118132000;3405141000;326072000;193343000;2948578000;197906000;0;2017-12-31;2205000;21016
3564286000;0;1080000;434792000;442463000;21016;2926242000;0;39961000;0;790007000;0;2299367000;3564286000;335706000;192116000;3129494000;195581000;0;2018-03-31;1404000;21016
3514626000;0;88000;134284000;349361000;21016;3099623000;0;62908000;0;786734000;0;2553000000;3514626000;321199000;63221000;3380342000;65642000;0;2018-06-30;1844000;21016
3520265000;0;109000;266493000;332439000;21016;3123339000;0;264738000;0;783462000;0;2429466000;3520265000;328836000;63168000;3253772000;64487000;0;2018-09-30;1982000;21016
3525466000;0;146000;552441000;930653000;21016;2591409000;0;239672000;15000;780189000;0;2151500000;3525466000;773709000;3086000;2973025000;3404000;0;2018-12-31;2133000;21016
3774501000;0;76000;543401000;336309000;21016;2835893000;0;230359000;14000;780175000;0;2410012000;3774501000;179088000;601975000;3231100000;602299000;0;2019-03-31;2783000;21016
3734990000;0;7535000;297512000;83257000;21016;3033730000;0;246987000;13000;780160000;0;2620409000;3734990000;75218000;601626000;3437478000;618003000;0;2019-06-30;2232000;21016
3882075000;0;99000;265463000;72521000;21016;3192038000;0;221999000;12000;780150000;0;2799455000;3882075000;66981000;601588000;3616612000;617516000;0;2019-09-30;1957000;21016
3905972000;0;74000;476606000;173714000;21016;3102352000;0;208478000;11000;780139000;0;2612140000;3905972000;13586000;601549000;3429366000;629906000;0;2019-12-31;1643000;21016
5905622000;0;174000;2165882000;375630000;21016;3275417000;0;1866959000;10000;780128000;0;2797963000;5905622000;216321000;2227047000;3739740000;2254575000;0;2020-03-31;1019000;21016
6824629000;0;95000;718800000;1058416000;21016;3199145000;0;537518000;8000;780118000;0;5130599000;6824629000;896411000;2540424000;6105829000;2567068000;0;2020-06-30;2406000;21016
6986431000;0;119000;610275000;558027000;21016;3321200000;0;420308000;7000;780107000;0;5391732000;6986431000;394410000;3081372000;6376156000;3107204000;0;2020-09-30;2401000;21016
6789051000;0;334127000;531520000;445612000;21016;3204969000;0;131524000;5000;780096000;0;5338152000;6789051000;390302000;3113448000;6257531000;3138470000;0;2020-12-31;2993000;21016
7081493000;0;620566000;794006000;331218000;21016;3257041000;0;132893000;4000;780088000;0;5445628000;7081493000;298567000;3469030000;6287487000;3493234000;0;2021-03-31;3653000;21016
7110223000;0;616999000;703872000;1123926000;21016;3261916000;0;49608000;4000;780081000;0;5602801000;7110223000;973702000;2700992000;6406351000;2724381000;0;2021-06-30;3336000;21016
7228303000;0;416355000;494739000;1517522000;21016;3346511000;0;10036000;3000;780073000;0;5930015000;7228303000;1366969000;2341900000;6733564000;2364270000;0;2021-09-30;3324000;21016
7386548000;0;485239000;634456000;1033765000;21016;3241584000;0;82254000;2000;780065000;0;5948507000;7386548000;972835000;3089359000;6752232000;3111199000;0;2021-12-31;2927000;21016
7307064000;0;243610000;342716000;658313000;21016;3279586000;12837000;55896000;2000;780065000;0;6136666000;7307064000;594202000;3348183000;6964348000;3369165000;0;2022-03-31;4277000;21016
7185096000;0;52205000;111805000;829145000;21016;3137431000;12884000;8252000;1000;780065000;0;6247376000;7185096000;778364000;3198822000;7073291000;3218520000;0;2022-06-30;4771000;21016
7211873000;0;149450000;213734000;471681000;21016;3024088000;14050000;6425000;0;780065000;0;6175271000;7211873000;424767000;3697206000;6998139000;3716104000;0;2022-09-30;1324000;21016
