assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
742991000;0;91806000;103038000;48953000;21130;462348000;676000;0;6040000;2316000;0;590480000;742991000;30732000;228685000;639953000;231690000;2744000;2009-12-31;438000;21130
1215509000;0;174884000;278598000;147650000;21130;502993000;5420000;94010000;2626000;2992000;0;786231000;1215509000;132175000;563175000;936911000;564866000;703000;2010-12-31;936000;21130
1196005000;0;140167000;255591000;178426000;21130;489555000;4627000;104554000;2411000;2883000;264000;811101000;1196005000;162623000;525944000;940414000;528024000;502000;2011-03-31;763000;21130
1177609000;0;140895000;247410000;245828000;21130;455987000;5244000;82966000;2185000;2831000;316000;788692000;1177609000;230938000;475618000;930199000;475794000;1553000;2011-06-30;379000;21130
1108163000;0;63270000;144736000;251920000;21130;460150000;5881000;65321000;2261000;2614000;360000;841059000;1108163000;236262000;395917000;963427000;396093000;1434000;2011-09-30;450000;21130
1078334000;0;47597000;136637000;232085000;21130;462970000;5128000;63217000;1801000;2429000;431000;833788000;1078334000;228357000;382946000;941697000;383279000;752000;2011-12-31;380000;21130
1043899000;0;95875000;167048000;239936000;21130;466019000;5176000;47216000;1407000;2233000;433000;782117000;1043899000;232850000;337611000;876851000;337944000;3540000;2012-03-31;646000;21130
1056106000;0;94257000;149566000;229092000;21130;470054000;5249000;45655000;1315000;2019000;88000;813120000;1056106000;212702000;356473000;906540000;356960000;51000;2012-06-30;707000;21130
995089000;0;49872000;60597000;289261000;21130;478592000;4790000;0;1246000;1820000;878000;851445000;995089000;265327000;227236000;934492000;227236000;270000;2012-09-30;517000;21130
1012982000;0;33410000;41484000;297961000;21130;486375000;100838000;0;1121000;1605000;3240000;883072000;1012982000;264186000;228116000;971498000;228646000;54000;2012-12-31;431000;21130
944807000;0;29161000;34714000;296517000;21130;494429000;102794000;0;995000;1492000;499000;825339000;944807000;253432000;152455000;910093000;153861000;483000;2013-03-31;804000;21130
967639000;0;119494000;124531000;320767000;21130;501946000;103415000;0;923000;1521000;391000;759371000;967639000;283665000;144550000;843108000;144926000;557000;2013-06-30;581000;21130
817055000;0;16335000;26070000;226706000;21130;508873000;104025000;0;852000;1468000;389000;718762000;817055000;195522000;81476000;790985000;81476000;4789000;2013-09-30;521000;21130
812832000;0;3487000;29131000;231103000;21130;509078000;89836000;0;792000;1386000;7068000;714136000;812832000;194434000;72651000;783701000;72651000;6506000;2013-12-31;386000;21130
700513000;0;12101000;32279000;190724000;21130;509789000;77774000;0;1073000;1769000;5684000;627217000;700513000;161331000;0;668234000;0;2948000;2014-03-31;601000;21130
711332000;0;26914000;47549000;198195000;21130;513137000;68510000;0;959000;1673000;5265000;623590000;711332000;141859000;0;663783000;0;4128000;2014-06-30;892000;21130
648284000;0;14802000;33301000;131487000;21130;516797000;58584000;0;899000;1572000;4749000;562653000;648284000;85801000;0;614983000;0;2535000;2014-09-30;1876000;21130
683488000;0;50564000;68793000;129491000;21130;512490000;57736000;0;846000;1603000;5140000;560029000;683488000;85719000;41507000;614695000;41507000;1982000;2014-12-31;566000;21130
667288000;0;18838000;26571000;119289000;21130;512474000;57017000;0;836000;1590000;3205000;576698000;667288000;18171000;35525000;640717000;35525000;1692000;2015-03-31;1409000;21130
684827000;0;20548000;29241000;146861000;21130;507516000;57072000;0;1208000;1499000;2861000;613529000;684827000;19010000;30450000;655586000;30450000;2156000;2015-06-30;1047000;21130
710707000;0;20919000;29469000;170957000;21130;514375000;39077000;0;1109000;1409000;2657000;634406000;710707000;18137000;25375000;681238000;25375000;2602000;2015-09-30;829000;21130
723450000;0;19115000;27758000;193095000;21130;510055000;36310000;0;1064000;1372000;2573000;640491000;723450000;21812000;20300000;695692000;20300000;2572000;2015-12-31;730000;21130
762372000;0;23363000;31414000;213553000;21130;509438000;33775000;0;982000;1309000;1565000;652799000;762372000;20953000;39381000;730958000;39381000;3075000;2016-03-31;975000;21130
763333000;0;342000;7349000;228122000;21130;500905000;23251000;0;907000;1284000;1694000;655939000;763333000;21144000;34306000;755984000;34306000;2056000;2016-06-30;580000;21130
