assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
430289000;0;2431000;38100000;11622000;21180;387185000;13794000;12102000;4257000;11272000;0;284104000;430289000;0;0;392189000;31482000;52000;2016-09-30;656000;21180
378085000;0;2381000;35338000;10897000;21180;290713000;10611000;9174000;4594000;10730000;0;254579000;378085000;0;0;342747000;76475000;53000;2016-12-31;793000;21180
366654000;0;3317000;38777000;10792000;21180;279038000;9241000;10015000;4346000;10731000;0;253403000;366654000;0;0;327877000;76824000;33000;2017-03-31;1195000;21180
346716000;0;3385000;30254000;11045000;21180;266262000;5643000;968000;4136000;10514000;0;252918000;346716000;0;0;316462000;69409000;26000;2017-06-30;1905000;21180
412820000;0;3489000;62528000;8435000;21180;323178000;4814000;38564000;3903000;10598000;0;255014000;412820000;0;0;350292000;81207000;28000;2017-09-30;1592000;21180
360175000;0;52161000;59928000;6225000;21180;251116000;1668000;0;3662000;10168000;0;228895000;360175000;0;0;300247000;102834000;39000;2017-12-31;865000;21180
352550000;0;26673000;35466000;7076000;21180;238242000;1484000;0;3542000;9534000;0;227942000;352550000;0;0;317084000;107232000;2000000;2018-03-31;2543000;21180
370993000;0;41126000;49206000;7766000;21180;249075000;1636000;0;3021000;9598000;0;227054000;370993000;0;0;321787000;114152000;1832000;2018-06-30;3285000;21180
395329000;0;54646000;61840000;7603000;21180;264121000;2363000;0;2730000;9095000;0;227634000;395329000;0;0;333489000;123605000;1937000;2018-09-30;3445000;21180
372905000;0;43318000;57836000;7029000;21180;225002000;355000;0;2523000;8668000;0;206991000;372905000;0;0;315069000;140874000;1944000;2018-12-31;2773000;21180
374174000;0;29309000;46072000;7466000;21180;215312000;276000;0;2562000;8546000;0;206766000;374174000;0;0;328102000;151396000;3016000;2019-03-31;2799000;21180
483519000;0;8077000;96705000;7984000;21180;203708000;362000;70208000;1081000;8492000;0;207689000;483519000;0;112537000;386814000;271827000;2239000;2019-06-30;2400000;21180
461984000;0;3411000;87285000;9596000;21180;187133000;5335000;67001000;3511000;8491000;0;208963000;461984000;0;112706000;374699000;265255000;1469000;2019-09-30;3794000;21180
436112000;0;2502000;63696000;8246000;21180;249073000;9958000;47918000;3394000;9274000;0;209826000;436112000;0;0;372416000;291821000;1330000;2019-12-31;2745000;21180
362300000;0;2308000;55479000;9193000;21180;178802000;14859000;41274000;3229000;9935000;0;159126000;362300000;0;0;306821000;174305000;1737000;2020-03-31;2808000;21180
352923000;0;2459000;51780000;13078000;21180;166355000;15041000;39196000;3045000;10067000;0;159036000;352923000;0;0;301143000;173490000;1138000;2020-06-30;3498000;21180
343264000;0;2358000;43638000;13568000;21180;158829000;4711000;31872000;2949000;11020000;0;157487000;343264000;0;0;299626000;170867000;655000;2020-09-30;3277000;21180
244066000;0;63000;37749000;16196000;21180;-42043000;241000;28721000;2193000;11525000;0;89421000;244066000;0;0;206317000;269913000;829000;2020-12-31;2925000;21180
233555000;0;85000;33524000;19475000;21180;53983000;342000;23755000;3012000;12124000;0;81934000;233555000;0;0;200031000;160097000;1058000;2021-03-31;7176000;21180
231921000;0;78000;24093000;24710000;21180;48358000;352000;11670000;1107000;12652000;0;82558000;231921000;0;0;207828000;158853000;2289000;2021-06-30;8091000;21180
217127000;0;62000;11213000;18224000;21180;41469000;350000;4277000;842000;13582000;0;82935000;217127000;0;0;205914000;157434000;1473000;2021-09-30;4443000;21180
204958000;0;39000;6317000;17659000;21180;9484000;372000;634000;753000;14553000;0;78963000;204958000;0;0;198641000;177815000;358000;2021-12-31;2519000;21180
364493000;0;91656000;117920000;45445000;21180;45738000;370000;1678000;822000;15817000;0;78964000;364493000;11642000;49480000;246573000;273310000;926000;2022-03-31;2528000;21180
332577000;0;57717000;84875000;47665000;21180;28746000;370000;1108000;2160000;16007000;0;78963000;332577000;16004000;45119000;247702000;256166000;2097000;2022-06-30;4507000;21180
298492000;0;22239000;47788000;47919000;21180;20281000;365000;0;5532000;17151000;0;84669000;298492000;18919000;39293000;250704000;230292000;101000;2022-09-30;2870000;21180
