assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
26589419000;"";"";12726831000;17841758000;21199;3412162000;"";"";"";"";"";"";26589419000;"";"";"";"";"";2016-12-31;"";21199
26787815000;"";"";12302056000;17409773000;21199;3417896000;"";"";"";"";"";"";26787815000;"";"";"";"";"";2017-03-31;"";21199
27238862000;"";"";11613123000;17521780000;21199;3460210000;"";"";"";"";"";"";27238862000;"";"";"";"";"";2017-06-30;"";21199
27241288000;"";"";12209434000;16729742000;21199;3522412000;"";"";"";"";"";"";27241288000;"";"";"";"";"";2017-09-30;"";21199
26153261000;"";"";11850630000;15334491000;21199;3555824000;"";"";"";"";"";"";26153261000;"";"";"";"";"";2017-12-31;"";21199
26154648000;"";"";11193059000;14468948000;21199;3990210000;"";"";"";"";"";"";26154648000;"";"";"";"";"";2018-03-31;"";21199
27071392000;"";"";12067423000;14722947000;21199;4016378000;"";"";"";"";"";"";27071392000;"";"";"";"";"";2018-06-30;"";21199
28130217000;"";"";12202305000;15003895000;21199;4047182000;"";"";"";"";"";"";28130217000;"";"";"";"";"";2018-09-30;"";21199
27638802000;"";"";10875103000;14317936000;21199;4095919000;"";"";"";"";"";"";27638802000;"";"";"";"";"";2018-12-31;"";21199
28944082000;"";"";12131232000;15027121000;21199;4154081000;"";"";"";"";"";"";28944082000;"";"";"";"";"";2019-03-31;"";21199
30625415000;"";"";13158447000;16316421000;21199;4226556000;"";"";"";"";"";"";30625415000;"";"";"";"";"";2019-06-30;"";21199
31967388000;"";"";12869107000;17567407000;21199;4830816000;"";"";"";"";"";"";31967388000;"";"";"";"";"";2019-09-30;"";21199
33219831000;"";"";14663179000;19613910000;21199;4926168000;"";"";"";"";"";"";33219831000;"";"";"";"";"";2019-12-31;"";21199
33738513000;"";"";14321510000;20642154000;21199;5021900000;"";"";"";"";"";"";33738513000;"";"";"";"";"";2020-03-31;"";21199
33741255000;"";"";14287275000;20922628000;21199;5112742000;"";"";"";"";"";"";33741255000;"";"";"";"";"";2020-06-30;"";21199
35377529000;"";"";15387925000;21919402000;21199;5221418000;"";"";"";"";"";"";35377529000;"";"";"";"";"";2020-09-30;"";21199
38963426000;"";"";16109360000;23891060000;21199;5317468000;"";"";"";"";"";"";38963426000;"";"";"";"";"";2020-12-31;"";21199
39159514000;"";"";16021276000;22822277000;21199;5434146000;"";"";"";"";"";"";39159514000;"";"";"";"";"";2021-03-31;"";21199
43148198000;"";"";18123130000;18636482000;21199;5558555000;"";"";"";"";"";"";43148198000;"";"";"";"";"";2021-06-30;"";21199
44480411000;"";"";19684856000;19870731000;21199;5676188000;"";"";"";"";"";"";44480411000;"";"";"";"";"";2021-09-30;"";21199
48433409000;"";"";21674296000;21437025000;21199;5798633000;"";"";"";"";"";"";48433409000;"";"";"";"";"";2021-12-31;"";21199
52599564000;"";"";26399166000;24148315000;21199;7671689000;"";"";"";"";"";"";52599564000;"";"";"";"";"";2022-03-31;"";21199
55079998000;"";"";27339510000;26677492000;21199;7718812000;"";"";"";"";"";"";55079998000;"";"";"";"";"";2022-06-30;"";21199
55785140000;"";"";31158542000;28011789000;21199;7791628000;"";"";"";"";"";"";55785140000;"";"";"";"";"";2022-09-30;"";21199
