assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
4675582000;0;96359000;158264000;31111000;21237;3385436000;-12138000;0;10871000;2659000;0;3937085000;4675582000;0;1186226000;4517318000;1259035000;0;2016-09-30;3517000;21237
6039730000;0;70970000;122553000;28700000;21237;4494317000;-12870000;36866000;14859000;3111000;0;5051403000;6039730000;0;1228617000;5917177000;1516713000;0;2016-12-31;12067000;21237
6063184000;0;67237000;103485000;23577000;21237;4480615000;-13322000;30779000;17961000;2208000;0;5025582000;6063184000;0;1267662000;5959699000;1558992000;0;2017-03-31;7749000;21237
6083848000;0;92565000;238934000;24668000;21237;4444688000;-13856000;37226000;16875000;2802000;0;4865046000;6083848000;0;1310435000;5844914000;1614492000;0;2017-06-30;7598000;21237
6167538000;0;74100000;158399000;30187000;21237;4500907000;-14117000;19402000;17517000;3074000;0;5031985000;6167538000;0;1340490000;6009139000;1636444000;0;2017-09-30;4771000;21237
7060896000;0;502905000;649922000;47643000;21237;5390443000;-14508000;43438000;13632000;8892000;0;5434111000;7060896000;0;1376101000;6411155000;1622992000;61000;2017-12-31;10841000;21237
7108304000;0;149640000;259237000;22422000;21237;5429018000;-14852000;19835000;13498000;8482000;0;5869585000;7108304000;0;1404937000;6849067000;1656864000;4061000;2018-03-31;7448000;21237
7478685000;0;104569000;210333000;37467000;21237;5636954000;-15303000;13103000;13275000;7964000;0;6199260000;7478685000;0;1455292000;7268352000;1804264000;0;2018-06-30;18157000;21237
7688655000;0;127736000;219759000;35992000;21237;5814915000;-15388000;22027000;13092000;8148000;0;6370882000;7688655000;0;1491932000;7468896000;1837748000;0;2018-09-30;9211000;21237
8212004000;0;452050000;685153000;157497000;21237;6298038000;-14158000;96919000;1836157000;945679000;34977000;3718497000;8212004000;9859000;1595082000;7526851000;1756469000;0;2018-12-31;59347000;21237
8394166000;0;449947000;716389000;125948000;21237;6428842000;-1035000;117793000;1862270000;1021232000;32926000;3840413000;8394166000;11855000;1624049000;7677777000;1839376000;2019000;2019-03-31;46209000;21237
8845608000;0;755677000;986856000;143165000;21237;6437577000;-1141000;71050000;1955673000;926737000;29514000;4034012000;8845608000;19645000;2053640000;7858752000;2264866000;2080000;2019-06-30;44876000;21237
9033510000;0;434223000;656504000;215669000;21237;6533983000;-1372000;57068000;1966337000;921788000;36414000;4423694000;9033510000;54194000;2053125000;8377006000;2283858000;2020000;2019-09-30;51210000;21237
10130379000;0;1006475000;1240738000;297055000;21237;6902434000;-2353000;105493000;2009892000;917308000;30307000;4762537000;10130379000;21312000;2708078000;8889641000;2930890000;2150000;2019-12-31;113604000;21237
10333195000;0;708948000;911654000;225462000;21237;7160427000;-2475000;42943000;2030037000;913885000;28243000;5337220000;10333195000;53469000;2721035000;9421541000;2947306000;1968000;2020-03-31;84434000;21237
11493797000;0;1375399000;1660173000;697493000;21237;7227786000;-2805000;145774000;2094516000;906246000;37424000;5707417000;11493797000;517943000;3338639000;9833624000;3568518000;1893000;2020-06-30;68181000;21237
12413273000;0;920831000;1087449000;643901000;21237;7278859000;-3181000;16121000;2157896000;900767000;39528000;6591819000;12413273000;467420000;4275618000;11325824000;4490513000;1818000;2020-09-30;62304000;21237
12738254000;0;275334000;710018000;233720000;21237;7934163000;-3423000;144570000;2413979000;898610000;45277000;6287200000;12738254000;27499000;4337971000;12028236000;4570371000;1413000;2020-12-31;44523000;21237
12877452000;0;377323000;974178000;172838000;21237;8074453000;-3657000;168235000;2513816000;890640000;48223000;6366105000;12877452000;52989000;4406003000;11903274000;4630161000;1381000;2021-03-31;36115000;21237
13144400000;0;650701000;1475882000;232391000;21237;8202373000;-3409000;277770000;2662992000;926277000;49410000;5883362000;13144400000;32725000;4457590000;11668518000;4709636000;1867000;2021-06-30;51911000;21237
13731878000;0;742494000;1695286000;361152000;21237;8575326000;-3425000;203016000;2824166000;918527000;49895000;6143394000;13731878000;70414000;4538077000;12036592000;4795400000;2432000;2021-09-30;95870000;21237
14204520000;0;602142000;1541609000;428958000;21237;9000054000;-3431000;367161000;3033986000;910979000;50101000;6495729000;14204520000;43826000;4630944000;12662911000;4775508000;1718000;2021-12-31;152861000;21237
16302403000;0;384078000;982593000;398878000;21237;9391461000;-2857000;22505000;3243942000;1096271000;51071000;9093105000;16302403000;96801000;6228980000;15319810000;6512064000;8026000;2022-03-31;122311000;21237
20651923000;0;2573409000;4657784000;1937056000;21237;13627894000;-2184000;1491916000;3494739000;1086870000;46190000;9430726000;20651923000;1614275000;4804658000;15994139000;5086973000;8735000;2022-06-30;101681000;21237
25357271000;0;6049598000;7892950000;2257110000;21237;13871682000;-4785000;1223398000;3981452000;1053202000;42413000;10284247000;25357271000;1768775000;8836656000;17464321000;9228479000;11783000;2022-09-30;99977000;21237
