assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
691559000;0;275906000;321829000;33156000;21350;656413000;20445000;0;4203000;3307000;12451000;341632000;691559000;2558000;557000;369730000;1990000;7108000;2009-12-31;1195000;21350
891276000;0;110856000;166762000;69362000;21350;793477000;34378000;0;18588000;2301000;14802000;661609000;891276000;3870000;25904000;724514000;28437000;6982000;2010-12-31;641000;21350
1123174000;0;246832000;298727000;26744000;21350;1068040000;38860000;0;18294000;2465000;9452000;755495000;1123174000;3563000;25859000;824447000;28390000;2943000;2011-03-31;1147000;21350
1186706000;0;260098000;338462000;50192000;21350;1106711000;38587000;0;18975000;2036000;2743000;767372000;1186706000;3436000;26811000;848244000;29803000;2928000;2011-06-30;1121000;21350
1264117000;0;186861000;284598000;66286000;21350;1150807000;47490000;0;19439000;2083000;2742000;889686000;1264117000;3832000;26057000;979519000;47024000;3696000;2011-09-30;1082000;21350
1313947000;0;122940000;199197000;110322000;21350;1156782000;75701000;0;24178000;2003000;615000;1014960000;1313947000;4843000;28967000;1114750000;46843000;4319000;2011-12-31;1056000;21350
1370058000;0;112744000;185222000;111235000;21350;1211686000;86082000;0;25406000;1963000;727000;1086216000;1370058000;4462000;29319000;1184836000;47137000;3106000;2012-03-31;1877000;21350
1374164000;0;116185000;188857000;66388000;21350;1260885000;70562000;0;27445000;2023000;727000;1084012000;1374164000;5320000;29066000;1185307000;46891000;2620000;2012-06-30;2337000;21350
1536215000;0;166371000;232717000;138311000;21350;1318322000;74463000;0;30976000;2084000;727000;1219841000;1536215000;70674000;66718000;1303498000;79582000;1920000;2012-09-30;2242000;21350
1632565000;0;124158000;192291000;207400000;21350;1327992000;187315000;0;36195000;2109000;727000;1325508000;1632565000;62990000;75049000;1440274000;97173000;1686000;2012-12-31;1351000;21350
1691541000;0;133339000;192010000;226897000;21350;1378191000;138579000;0;40272000;2192000;727000;1422805000;1691541000;74940000;64717000;1499531000;86453000;1441000;2013-03-31;2695000;21350
1879774000;0;184670000;241311000;174745000;21350;1432021000;138857000;0;51450000;2509000;727000;1541168000;1879774000;77332000;252073000;1638463000;273008000;1366000;2013-06-30;2661000;21350
1972919000;0;140534000;193847000;248569000;21350;1478036000;136649000;0;68262000;2425000;727000;1668369000;1972919000;83715000;245038000;1779072000;246314000;1388000;2013-09-30;2330000;21350
1939005000;0;189469000;248732000;200505000;21350;1472828000;128603000;0;77350000;1448000;1862000;1578422000;1939005000;78228000;237852000;1690273000;265672000;1425000;2013-12-31;4691000;21350
1965965000;0;224212000;288460000;195854000;21350;1507850000;122460000;0;82863000;1604000;727000;1574370000;1965965000;67978000;234362000;1677505000;262261000;1478000;2014-03-31;4836000;21350
2062503000;0;270955000;342781000;197012000;21350;1554416000;144983000;0;99675000;1596000;727000;1600905000;2062503000;102564000;290553000;1719722000;311075000;1551000;2014-06-30;5394000;21350
2167918000;0;341311000;432331000;273775000;21350;1606721000;148203000;0;104073000;1843000;127000;1610261000;2167918000;114577000;266955000;1735587000;287422000;1574000;2014-09-30;5660000;21350
2100698000;0;294969000;367059000;220088000;21350;1616036000;119495000;0;84120000;1983000;127000;1579184000;2100698000;137046000;242405000;1733639000;264574000;6092000;2014-12-31;9974000;21350
2137511000;0;315738000;398696000;269798000;21350;1639731000;125895000;0;71810000;1947000;127000;1636932000;2137511000;159698000;201145000;1738815000;227982000;6809000;2015-03-31;5691000;21350
2065292000;0;257325000;347048000;247400000;21350;1634485000;129434000;0;72825000;1965000;127000;1618567000;2065292000;143666000;155077000;1718244000;183407000;3049000;2015-06-30;6029000;21350
2004961000;0;259843000;329654000;233980000;21350;1614572000;138882000;0;69077000;2475000;127000;1579043000;2004961000;142487000;128799000;1675307000;156409000;3591000;2015-09-30;5601000;21350
2029650000;0;244029000;332835000;199729000;21350;1645541000;131944000;0;64948000;2394000;0;1544156000;2029650000;138210000;102806000;1696815000;184380000;4224000;2015-12-31;6778000;21350
2065638000;0;277771000;363505000;209757000;21350;1675384000;135496000;0;60469000;2317000;58000;1592556000;2065638000;165970000;130099000;1702133000;180497000;3947000;2016-03-31;4035000;21350
2213680000;0;422080000;520450000;216370000;21350;1697740000;137164000;0;54333000;2614000;0;1504826000;2213680000;143290000;174519000;1693230000;299570000;5949000;2016-06-30;4012000;21350
