assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1568522000;0;103000;637100000;40503000;21490;1204968000;1140312000;520956000;1545000;40297000;0;866693000;1568522000;3438000;323051000;931422000;323051000;109217000;2009-12-31;3789000;21490
1859384000;0;4608000;488126000;210332000;21490;1305213000;1086465000;139313000;1368000;63856000;0;1020350000;1859384000;156566000;342377000;1371258000;343839000;82724000;2010-12-31;3439000;21490
1987453000;0;39000;432542000;225504000;21490;1415902000;1361020000;373771000;1378000;66473000;0;1159798000;1987453000;172047000;346047000;1554911000;346047000;46078000;2011-03-31;2806000;21490
2034891000;0;49000;292829000;137435000;21490;1542153000;1279791000;265288000;1433000;73060000;0;1264957000;2034891000;131388000;355303000;1742062000;355303000;11015000;2011-06-30;2892000;21490
2070286000;0;73000;268392000;118074000;21490;1596236000;1312795000;71282000;1663000;83671000;0;1376520000;2070286000;113690000;354411000;1801894000;355976000;14531000;2011-09-30;2718000;21490
2051338000;0;729000;235243000;221691000;21490;1533133000;1280188000;19958000;1688000;82962000;0;1451347000;2051338000;168978000;294915000;1816095000;296514000;24332000;2011-12-31;2091000;21490
2192846000;0;457000;315664000;152402000;21490;1596690000;1357818000;168771000;1618000;85635000;0;1480006000;2192846000;100722000;442124000;1877182000;443754000;46989000;2012-03-31;2799000;21490
2545106000;0;272000;565515000;151336000;21490;1651810000;1406415000;514511000;1764000;91487000;0;1570271000;2545106000;98339000;740302000;1979591000;741960000;29774000;2012-06-30;2897000;21490
2541944000;0;983000;474308000;114998000;21490;1687260000;1423644000;411814000;1866000;93208000;0;1954143000;2541944000;111172000;738003000;2067636000;739686000;41472000;2012-09-30;1922000;21490
2503214000;0;21479000;365884000;217337000;21490;1634131000;1440133000;306404000;1754000;86115000;0;2022265000;2503214000;107178000;650041000;2137330000;651746000;15236000;2012-12-31;1957000;21490
2579402000;0;174000;253791000;235362000;21490;1688131000;1523241000;219569000;1642000;86329000;0;2112667000;2579402000;121333000;647974000;2325611000;655909000;12766000;2013-03-31;2443000;21490
3339304000;0;836000;827256000;131084000;21490;2556484000;1527032000;791693000;1419000;87678000;0;2281596000;3339304000;121207000;643779000;2512048000;651736000;12632000;2013-06-30;2428000;21490
3425015000;0;275000;781940000;143676000;21490;2637769000;1576636000;743285000;1348000;89507000;0;2333129000;3425015000;133032000;641798000;2643075000;643570000;10401000;2013-09-30;2245000;21490
3399639000;0;364664000;711736000;275776000;21490;2566242000;1535904000;279923000;1275000;79277000;0;2311348000;3399639000;127035000;555821000;2687903000;557621000;32770000;2013-12-31;2622000;21490
3497898000;0;264875000;611434000;291648000;21490;2643188000;1636588000;286672000;1304000;80595000;0;2479961000;3497898000;143571000;561232000;2886464000;563062000;25653000;2014-03-31;2395000;21490
3213744000;0;104744000;310315000;155140000;21490;2498329000;1612447000;120972000;1223000;81652000;0;2442667000;3213744000;144904000;558415000;2903429000;560275000;46251000;2014-06-30;2482000;21490
3330704000;0;249214000;562540000;265786000;21490;2507415000;1363458000;230962000;4004000;82928000;0;2511550000;3330704000;155064000;555610000;2768164000;557503000;43769000;2014-09-30;2733000;21490
3260842000;0;114162000;453833000;327800000;21490;2453310000;1424999000;209791000;4351000;81583000;0;2513529000;3260842000;145117000;477805000;2807009000;479732000;43189000;2014-12-31;2464000;21490
3407729000;0;215595000;493417000;388593000;21490;2542251000;1442143000;138699000;4150000;83187000;0;2608707000;3407729000;211170000;474925000;2914312000;476885000;71325000;2015-03-31;3799000;21490
3402901000;0;248374000;411037000;118793000;21490;2506446000;1523884000;73746000;3925000;82284000;0;2835605000;3402901000;114574000;775665000;2991864000;777662000;20026000;2015-06-30;2630000;21490
3489399000;0;59043000;399746000;138461000;21490;2566143000;1493220000;254387000;3688000;83351000;0;2934784000;3489399000;125335000;782681000;3089653000;784795000;61538000;2015-09-30;10876000;21490
3501745000;0;134631000;298851000;160130000;21490;2510077000;1556969000;44430000;3457000;84621000;0;3058064000;3501745000;45536000;792089000;3202894000;831538000;90263000;2015-12-31;12646000;21490
3565656000;0;122621000;328276000;212159000;21490;2563167000;1589208000;47365000;3431000;87195000;0;3074553000;3565656000;102531000;759418000;3237380000;790330000;128979000;2016-03-31;8991000;21490
3665370000;0;116293000;292790000;286833000;21490;2605324000;1652555000;25202000;2928000;87823000;0;3168234000;3665370000;96131000;748478000;3372580000;773213000;114436000;2016-06-30;14216000;21490
