assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1179661000;0;42854000;173137000;732393000;21555;415034000;-21000;0;845947000;7482000;0;5979000;1179661000;646006000;16318000;1006524000;32234000;106529000;2009-12-31;49743000;21555
985316000;0;27851000;182508000;664264000;21555;288866000;1000;0;648717000;5178000;0;30093000;985316000;536717000;7708000;802808000;32186000;133563000;2010-12-31;34418000;21555
1069255000;0;72837000;266436000;748622000;21555;280706000;0;0;655855000;4557000;0;24884000;1069255000;581922000;14959000;802819000;39927000;161335000;2011-03-31;48490000;21555
946766000;0;36151000;146177000;651116000;21555;269081000;0;0;652301000;4027000;0;21896000;946766000;563356000;268000;800589000;26569000;81877000;2011-06-30;57033000;21555
1253257000;0;314621000;429177000;638405000;21555;540292000;0;0;663821000;4040000;0;15651000;1253257000;565682000;47546000;824080000;74560000;89515000;2011-09-30;36440000;21555
1245412000;0;296424000;549490000;118512000;21555;534067000;0;16082000;651069000;3801000;0;17998000;1245412000;47517000;564458000;695922000;592833000;61570000;2011-12-31;31989000;21555
1236010000;0;291821000;555633000;113032000;21555;536581000;0;16521000;635349000;3589000;0;18711000;1236010000;43591000;557958000;680377000;586397000;70667000;2012-03-31;28533000;21555
1247115000;0;299652000;566197000;148492000;21555;518232000;0;17111000;639538000;4519000;0;14288000;1247115000;56652000;546721000;680918000;580391000;73357000;2012-06-30;43436000;21555
1242694000;0;276557000;530170000;138789000;21555;530780000;0;17981000;667350000;5160000;0;16472000;1242694000;57472000;540283000;712524000;573125000;73818000;2012-09-30;31340000;21555
1313928000;0;217527000;468667000;191903000;21555;613381000;0;17148000;713367000;12557000;0;19880000;1313928000;104037000;476738000;845261000;508644000;74926000;2012-12-31;34461000;21555
1441833000;0;147897000;443835000;233804000;21555;618407000;0;23758000;677064000;14346000;0;215921000;1441833000;140291000;557589000;997998000;589622000;78000000;2013-03-31;31400000;21555
1459173000;0;43565000;340170000;289030000;21555;625454000;0;31225000;779882000;14321000;0;233677000;1459173000;178380000;513886000;1119003000;544689000;87482000;2013-06-30;54211000;21555
1540828000;0;64052000;396388000;396585000;21555;635780000;0;60269000;793783000;14168000;0;244357000;1540828000;279278000;478553000;1144440000;508463000;83130000;2013-09-30;45575000;21555
1711409000;0;204195000;518428000;390329000;21555;675891000;0;50930000;802718000;14309000;0;256249000;1711409000;278113000;615407000;1192981000;645189000;85380000;2013-12-31;29181000;21555
1678950000;0;199683000;540809000;373536000;21555;693264000;0;57159000;893851000;83120000;0;47853000;1678950000;277250000;582869000;1138141000;612150000;108147000;2014-03-31;49243000;21555
1701483000;0;125927000;520518000;438146000;21555;699951000;0;62875000;937781000;82161000;0;47955000;1701483000;268063000;533876000;1180965000;563386000;113614000;2014-06-30;105080000;21555
1731011000;0;119923000;500365000;383842000;21555;713036000;0;69187000;990856000;81278000;0;51503000;1731011000;220317000;604238000;1230646000;634133000;115575000;2014-09-30;42078000;21555
1783136000;0;31666000;418814000;485637000;21555;724518000;0;58615000;1128166000;80401000;0;53841000;1783136000;257658000;552309000;1364322000;572981000;119241000;2014-12-31;69396000;21555
1820831000;0;73503000;494594000;554786000;21555;733125000;0;53228000;1095472000;80225000;0;52973000;1820831000;329792000;503366000;1326237000;532920000;132369000;2015-03-31;58591000;21555
1814880000;0;35239000;515573000;571739000;21555;741091000;0;58821000;1078982000;79053000;0;47279000;1814880000;337088000;471530000;1299307000;502050000;133811000;2015-06-30;25400000;21555
1960351000;0;65635000;661043000;662167000;21555;753374000;0;64191000;1080321000;78057000;0;39568000;1960351000;383363000;522263000;1299308000;544810000;127695000;2015-09-30;71997000;21555
1934894000;0;98881000;562017000;661527000;21555;748629000;0;43921000;1140292000;77353000;0;42586000;1934894000;415335000;502498000;1372877000;524738000;119205000;2015-12-31;80303000;21555
1872745000;0;57310000;499601000;634370000;21555;757251000;0;6581000;1149336000;76129000;0;43664000;1872745000;375699000;447936000;1373144000;481124000;125518000;2016-03-31;120573000;21555
2183475000;0;197881000;649081000;844758000;21555;767464000;0;11904000;1323235000;75097000;0;39894000;2183475000;434357000;547854000;1534394000;571253000;140467000;2016-06-30;87124000;21555
