assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
22589766000;0;648870000;7918426000;5742181000;21733;8721220000;3632771000;0;577086000;199087000;0;9734376000;22589766000;3004832000;6524073000;14671340000;8126365000;7256435000;2016-09-30;2037788000;21733
24116173000;0;933048000;10983497000;6647165000;21733;9243401000;3659589000;8310458000;586401000;261431000;0;9809287000;24116173000;2920324000;6557747000;13132676000;8225607000;1739991000;2016-12-31;2518280000;21733
24616907000;0;2594593000;11538554000;6252121000;21733;10090802000;3659812000;8405202000;550494000;256423000;0;9766301000;24616907000;2857194000;6553353000;13078353000;8273984000;538759000;2017-03-31;2642536000;21733
73775136000;0;886139000;60767888000;56263504000;21733;10673227000;3655861000;8590645000;480951000;289920000;0;9777336000;73775136000;1838897000;5083675000;13007248000;6838405000;51291104000;2017-06-30;53622582000;21733
77861172000;0;3272024000;64835601000;60191287000;21733;10809424000;3650705000;6407750000;444391000;323138000;0;9724585000;77861172000;2717649000;5109292000;13025571000;6860461000;55155827000;2017-09-30;56758149000;21733
89378968000;0;3909521000;76227428000;70834904000;21733;11701352000;3659593000;7278201000;463595000;383702000;0;9785526000;89378968000;2827084000;5084140000;13151540000;6842712000;65000241000;2017-12-31;67306733000;21733
83608495000;0;3446878000;70388163000;65338346000;21733;11502001000;3660282000;7300474000;417247000;378979000;0;9898241000;83608495000;2686125000;5022615000;13220332000;6768148000;59605825000;2018-03-31;62069945000;21733
80442090000;0;1672487000;67125117000;61471913000;21733;11944014000;3660381000;6946310000;454265000;395341000;0;10033621000;80442090000;1332025000;5267323000;13316973000;7026163000;58286553000;2018-06-30;59331425000;21733
81533631000;0;1031645000;67964463000;63088047000;21733;11360145000;3661346000;6510255000;471258000;402836000;0;10159357000;81533631000;1057807000;5331630000;13569168000;7085439000;60422563000;2018-09-30;61379481000;21733
81757466000;0;127664000;69295486000;64662073000;21733;9364269000;3666004000;7171122000;523853000;420389000;0;8959143000;81757466000;1032941000;5265627000;12461980000;7731124000;61937090000;2018-12-31;62852953000;21733
84166079000;0;661821000;71660309000;67295310000;21733;9040130000;"";7028305000;621512000;407213000;0;8895027000;84166079000;1921889000;5270626000;12505770000;7830639000;63833515000;2019-03-31;64771925000;21733
89633466000;0;44575000;76944826000;71158991000;21733;9132032000;"";8718350000;816500000;448200000;0;8857682000;89633466000;2372303000;6778702000;12688640000;9342443000;68089895000;2019-06-30;67991579000;21733
89874681000;0;21731000;77164469000;71044233000;21733;9297954000;"";9257634000;840497000;482838000;0;8837810000;89874681000;3358118000;6815758000;12710212000;9532494000;67809684000;2019-09-30;67280636000;21733
93517087000;0;191400000;80714792000;74533409000;21733;9467354000;3672325000;7933654000;830152000;562734000;0;8850696000;93479988000;917685000;6799128000;12802295000;9516324000;72459212000;2019-12-31;73141581000;21733
84219844000;0;2294610000;71653831000;65039578000;21733;9257246000;"";7463176000;798058000;558452000;0;8758838000;84219844000;3193813000;6908802000;12566013000;9923020000;61703254000;2020-03-31;61545247000;21733
73353760000;0;796585000;60493522000;54108497000;21733;9145915000;"";5899181000;822632000;581317000;0;8787941000;73353760000;1721742000;6931933000;12860238000;10099348000;53542591000;2020-06-30;52037031000;21733
78617764000;0;3291645000;65557177000;59199631000;21733;9155901000;"";276909000;821885000;580959000;0;8964622000;78617764000;44298000;6947891000;13060587000;10262232000;61553228000;2020-09-30;58724528000;21733
87324870000;0;2665780000;75344779000;67687515000;21733;9490854000;3114836000;1850998000;929880000;596407000;0;7753343000;87324870000;40214000;6901822000;11980091000;10146501000;70286939000;2020-12-31;67018573000;21733
81835807000;0;3766872000;70019967000;61905870000;21733;9516939000;"";3201434000;915263000;518469000;0;7664197000;81835807000;43972000;6949609000;11815840000;10412998000;62456030000;2021-03-31;61326631000;21733
82843547000;0;2072051000;71018550000;65810597000;21733;9807283000;"";3783113000;976548000;531488000;0;7635958000;82843547000;3054348000;3879026000;11824997000;7225667000;64674544000;2021-06-30;62350036000;21733
88715955000;0;2437841000;76936350000;71424503000;21733;9824114000;"";5405681000;924242000;515798000;0;7623800000;88715955000;49238000;3916340000;11779605000;7467338000;68557677000;2021-09-30;70844842000;21733
98646690000;0;2048019000;87109848000;81683517000;21733;9890589000;3095264000;5568737000;914756000;502150000;0;7596638000;98646690000;652144000;3382302000;11536842000;7072584000;78998497000;2021-12-31;80418718000;21733
99813603000;0;602310000;88137166000;84001920000;21733;10170376000;3114715000;6263743000;904611000;502964000;0;7674216000;99813603000;521303000;3376664000;11676437000;5641307000;80710692000;2022-03-31;82933797000;21733
105839522000;0;521970000;93962929000;89816041000;21733;10549993000;3090196000;7160374000;983751000;486165000;0;7752014000;105839522000;1453474000;3370957000;11876593000;5473488000;85662578000;2022-06-30;87629778000;21733
105463879000;0;365344000;94110897000;89149479000;21733;10832500000;2857656000;8350670000;972882000;490938000;0;7240510000;105463879000;997523000;3365320000;11352982000;5481900000;84726650000;2022-09-30;87451898000;21733
