assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
982108000;0;29691000;61289000;769903000;22268;119664000;"";0;20389000;876090000;627000;0;982108000;413790000;89765000;920819000;92541000;3084000;2009-12-31;3578000;22268
1182584000;0;4243000;19440000;70691000;22268;430982000;"";0;20695000;1103057000;825000;0;1182584000;9936000;674765000;1163144000;680911000;8858000;2010-12-31;1665000;22268
1256894000;0;48875000;64855000;34956000;22268;447228000;"";0;21408000;1127541000;793000;0;1256894000;21458000;767508000;1192039000;774710000;7992000;2011-03-31;4486000;22268
1301395000;0;941000;39994000;84969000;22268;460424000;"";25933000;22078000;1184772000;819000;0;1301395000;76612000;747766000;1261401000;756002000;9306000;2011-06-30;1350000;22268
1385184000;0;2592000;54772000;72906000;22268;494497000;"";38715000;21314000;1246846000;1541000;0;1385184000;62590000;796760000;1330412000;817781000;9290000;2011-09-30;2098000;22268
1451270000;0;5149000;58062000;92928000;22268;512532000;"";40038000;22407000;1300924000;496000;0;1451270000;82032000;819849000;1393208000;845810000;10790000;2011-12-31;3019000;22268
1473613000;0;9711000;64523000;462833000;22268;501821000;"";40786000;22114000;1307291000;477000;0;1473613000;452182000;439732000;1409090000;508959000;9151000;2012-03-31;2439000;22268
1524684000;0;19550000;72265000;474021000;22268;524073000;"";41652000;20538000;1341724000;685000;0;1524684000;462957000;458165000;1452419000;526590000;9040000;2012-06-30;3656000;22268
1612255000;0;51037000;109002000;475717000;22268;582443000;"";42478000;18958000;1388237000;696000;0;1612255000;452210000;484430000;1503253000;554095000;13039000;2012-09-30;2950000;22268
1942186000;0;147078000;402602000;94601000;22268;561965000;"";240056000;19578000;1441007000;724000;0;1942186000;52447000;1214823000;1539584000;1285620000;12716000;2012-12-31;981000;22268
1927159000;0;100458000;373883000;98107000;22268;542691000;"";257284000;18814000;1443120000;743000;0;1927159000;78992000;1210610000;1553276000;1286361000;12792000;2013-03-31;1737000;22268
1930556000;0;148500000;371931000;113415000;22268;529962000;"";205743000;18334000;1440904000;702000;0;1930556000;96430000;1208879000;1558625000;1287179000;12722000;2013-06-30;1487000;22268
1942451000;0;108582000;332853000;136094000;22268;525524000;"";203561000;17527000;1487668000;627000;0;1942451000;114767000;1200560000;1609598000;1280833000;13922000;2013-09-30;2439000;22268
1995054000;0;117949000;196245000;104146000;22268;511387000;"";55850000;16000000;1668601000;532000;0;1995054000;83737000;1297473000;1798809000;1379521000;14466000;2013-12-31;774000;22268
2069561000;0;120437000;140114000;111131000;22268;488409000;"";0;14754000;1713404000;484000;0;2069561000;89025000;1379917000;1929447000;1470021000;12002000;2014-03-31;3263000;22268
2196124000;0;139655000;157894000;125240000;22268;449784000;"";0;14827000;1807568000;466000;0;2196124000;106690000;1524980000;2038230000;1621100000;12091000;2014-06-30;5044000;22268
2253583000;0;40936000;63015000;149336000;22268;430205000;"";0;14026000;1949588000;575000;0;2253583000;126378000;1580776000;2190568000;1674042000;15344000;2014-09-30;4360000;22268
2299262000;0;22004000;45649000;127278000;22268;461181000;"";0;14211000;2014548000;1960000;0;2299262000;106867000;1609842000;2253613000;1710803000;16129000;2014-12-31;2146000;22268
2315757000;0;8635000;44288000;169760000;22268;446576000;"";15760000;13769000;2013693000;1433000;0;2315757000;144668000;1592880000;2271469000;1699421000;14095000;2015-03-31;6767000;22268
2397548000;0;19090000;96384000;191160000;22268;485772000;"";55912000;13572000;2021752000;2476000;0;2397548000;171176000;1608197000;2301164000;1720616000;15728000;2015-06-30;4979000;22268
2407992000;0;41215000;65948000;228516000;22268;453833000;"";0;12586000;2030570000;1299000;0;2407992000;198605000;1607720000;2342044000;1725643000;18303000;2015-09-30;8321000;22268
2418446000;0;14227000;87719000;951462000;22268;476934000;"";48693000;13614000;2064873000;2661000;0;2418446000;910294000;871823000;2330727000;990050000;16672000;2015-12-31;17596000;22268
2385310000;0;7772000;33328000;906065000;22268;463366000;"";0;12501000;2071848000;3795000;0;2385310000;868236000;896563000;2351982000;1015879000;17923000;2016-03-31;16199000;22268
2455074000;0;1717000;65169000;230189000;22268;505573000;"";40642000;11332000;2093974000;1764000;0;2455074000;193164000;1597456000;2389905000;1719312000;17460000;2016-06-30;13386000;22268
