assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
5172025000;0;202452000;2963415000;2924425000;22470;696308000;0;566954000;558193000;464823000;1336954000;439669000;5172025000;980727000;773305000;2208610000;1551292000;419616000;2016-09-30;1522038000;22470
6068499000;0;562728000;3868311000;3651944000;22470;621586000;0;818984000;559320000;469724000;1587299000;360852000;6068499000;837878000;1010760000;2200188000;1794969000;575334000;2016-12-31;2353473000;22470
5248488000;0;222777000;3083039000;2899007000;22470;682380000;0;521375000;556983000;473673000;1445475000;373095000;5248488000;688176000;889890000;2165449000;1667101000;576925000;2017-03-31;1755411000;22470
5243452000;0;230181000;3067147000;3064845000;22470;747018000;0;596982000;556165000;479770000;1420739000;385273000;5243452000;718582000;662996000;2176305000;1431589000;501177000;2017-06-30;1850927000;22470
5918114000;0;141719000;3735930000;3406671000;22470;861782000;0;1043666000;558745000;486693000;1537246000;396555000;5918114000;720432000;886451000;2182184000;1649661000;658008000;2017-09-30;2110299000;22470
7379589000;0;370926000;5193058000;4102433000;22470;2073977000;0;1259553000;567085000;486111000;1953963000;389877000;7379589000;434294000;437204000;2186531000;1203179000;1233983000;2017-12-31;2898025000;22470
6875205000;0;736169000;4710082000;3591316000;22470;2047570000;0;299345000;563726000;488414000;1922871000;368480000;6875205000;381416000;437359000;2165123000;1236319000;1404300000;2018-03-31;2447446000;22470
7008269000;0;639631000;4773989000;3698602000;22470;2188569000;0;182840000;606123000;490094000;2098918000;386724000;7008269000;254504000;327383000;2234280000;1121098000;1494527000;2018-06-30;2734475000;22470
7090442000;0;374840000;4809681000;3663229000;22470;2312324000;0;253756000;661308000;500983000;2086803000;397709000;7090442000;252410000;325406000;2280761000;1114889000;1641858000;2018-09-30;2624126000;22470
8730333000;0;548553000;6312813000;5335635000;22470;2302872000;0;409111000;749463000;501539000;2790726000;455165000;8730333000;130685000;323402000;2417520000;1091826000;2024685000;2018-12-31;4068459000;22470
9689004000;0;242104000;5249064000;4518090000;22470;2433043000;0;216750000;2666652000;508122000;2467206000;445348000;9689004000;127060000;321605000;4439940000;2737871000;1748804000;2019-03-31;2951768000;22470
11052357000;0;482606000;5501113000;4275155000;22470;3110946000;0;439872000;2578065000;526924000;2322002000;1001160000;11052357000;15555000;1120409000;5551244000;3666256000;1404451000;2019-06-30;2985762000;22470
12209224000;0;120891000;5759743000;5144680000;22470;3193623000;0;236717000;3027274000;576116000;2574919000;998492000;12209224000;311558000;832697000;6449481000;3870921000;1828330000;2019-09-30;3331173000;22470
18611817000;0;180799000;12157015000;7203042000;22470;7564937000;0;4446143000;3196199000;526869000;3509334000;1240664000;18611817000;8192000;838862000;6454802000;3843838000;2769649000;2019-12-31;5413546000;22470
16457333000;0;319208000;9750715000;5041530000;22470;7528056000;0;2229488000;3239541000;534482000;3725404000;1320235000;16457333000;6168000;845985000;6706618000;3887747000;1859297000;2020-03-31;3705088000;22470
18749934000;0;909454000;11756962000;8137525000;22470;7443843000;0;1874801000;3310967000;542845000;3842647000;1464671000;18749934000;1650475000;12689000;6992972000;3168566000;3376141000;2020-06-30;4825551000;22470
19726083000;0;941034000;12650443000;9076112000;22470;7376605000;0;1721590000;3392569000;580426000;4553782000;1678378000;19726083000;1658481000;15377000;7075640000;3273366000;2856097000;2020-09-30;5435433000;22470
22296830000;0;1281569000;14799483000;11512179000;22470;7325287000;0;1220095000;3613297000;593427000;5459037000;1705072000;22296830000;1666243000;17725000;7497347000;3459364000;3460711000;2020-12-31;7679861000;22470
20613921000;0;408562000;12738294000;9273927000;22470;7270693000;0;745234000;3673762000;631444000;6354584000;2046791000;20613921000;846779000;820256000;7875627000;4069301000;2272531000;2021-03-31;6582460000;22470
22760562000;0;697878000;13774486000;9491883000;22470;7265611000;0;468306000;4284435000;667742000;6996980000;2268173000;22760562000;11127000;2318064000;8986076000;6003068000;2647465000;2021-06-30;7623400000;22470
27416342000;0;134249000;16921329000;10557912000;22470;10872539000;0;1080139000;4621677000;689595000;7543685000;2753913000;27416342000;11335000;2337865000;10495013000;5985891000;3788677000;2021-09-30;8488434000;22470
34262739000;0;1458754000;20512331000;11763513000;22470;11261231000;0;1556211000;5102535000;728998000;7873544000;4507355000;34262739000;44100000;6368605000;13750408000;11237995000;3928531000;2021-12-31;9108542000;22470
30088822000;0;579533000;15763011000;7628821000;22470;11118244000;0;584427000;5173951000;758805000;6870322000;4660422000;30088822000;145013000;6411540000;14325811000;11341757000;2762578000;2022-03-31;5473332000;22470
30736483000;0;856759000;16082524000;8902833000;22470;10937847000;0;211313000;5134828000;797231000;6743581000;4730717000;30736483000;77842000;6463421000;14653959000;10895803000;3465745000;2022-06-30;6300808000;22470
32064163000;0;774394000;16699839000;10181479000;22470;10805289000;0;293885000;5185322000;854427000;7197030000;4789143000;32064163000;205462000;6523994000;15364324000;11077395000;3563689000;2022-09-30;7564923000;22470
