assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2098598000;0;98000;62047000;18247000;22497;2063510000;4266000;0;0;0;0;1984684000;2098598000;0;0;2036551000;16841000;0;2016-12-31;0;22497
2208148000;0;5811000;57892000;15027000;22497;2176386000;9935000;0;0;8101000;0;2110747000;2208148000;0;0;2150256000;16735000;0;2017-03-31;0;22497
2229569000;0;90301000;102784000;8235000;22497;2216590000;7923000;0;0;6439000;0;2117635000;2229569000;0;0;2126785000;4744000;0;2017-06-30;0;22497
2275150000;0;16769000;28874000;6403000;22497;2268747000;10878000;0;0;4774000;0;2238899000;2275150000;0;0;2246276000;0;0;2017-09-30;0;22497
2375337000;0;12293000;42134000;8442000;22497;2366895000;0;0;0;3217000;0;2327460000;2375337000;0;0;2333203000;0;0;2017-12-31;0;22497
2289421000;0;34000;14715000;7513000;22497;2281908000;0;0;0;1557000;0;2270667000;2289421000;0;0;2274706000;0;0;2018-03-31;0;22497
2185653000;0;26000;13612000;6944000;22497;2178709000;0;0;0;143000;0;2168974000;2185653000;0;0;2172041000;0;0;2018-06-30;0;22497
2496536000;0;39000;12797000;207792000;22497;2288744000;0;0;0;207047000;0;2273674000;2496536000;0;0;2483739000;0;0;2018-09-30;0;22497
2355592000;0;2238000;13339000;1099000;22497;2354493000;0;0;0;198396000;0;2141678000;2355592000;0;0;2342253000;0;0;2018-12-31;0;22497
2458416000;0;35000;11718000;3599000;22497;2451556000;0;0;5662000;189776000;0;2251015000;2458416000;1028000;2554000;2446698000;3261000;0;2019-03-31;0;22497
2386077000;0;35402000;265401000;4543000;22497;2378408000;0;215244000;5448000;181155000;0;1933773000;2386077000;1069000;2475000;2120676000;3126000;0;2019-06-30;0;22497
3035004000;0;23692000;819546000;10090000;22497;2324349000;0;778033000;5084000;172534000;0;2037261000;3035004000;7934000;699973000;2215458000;700565000;0;2019-09-30;1374000;22497
2592918000;0;47423000;222319000;102201000;22497;1426837000;0;73583000;54078000;1021582000;0;1208912000;2592918000;26264000;1007146000;2370599000;1063880000;67147000;2019-12-31;0;22497
2648808000;0;53230000;237357000;74410000;22497;1505812000;-211000;82769000;54051000;1001041000;0;1272949000;2648808000;10338000;1007621000;2411451000;1068586000;54892000;2020-03-31;0;22497
2786757000;0;98770000;283617000;113791000;22497;1640423000;286000;81793000;33297000;991755000;0;1406881000;2786757000;20764000;1008097000;2503140000;1032543000;54432000;2020-06-30;0;22497
2910399000;0;112960000;320794000;104069000;22497;1773946000;557000;82591000;28670000;977111000;0;1516937000;2910399000;13928000;1021080000;2589605000;1032384000;74852000;2020-09-30;0;22497
3022528000;0;16580000;201457000;235439000;22497;1667714000;2052000;43230000;25754000;1158673000;0;1560589000;3022528000;22024000;1019934000;2821071000;1103766000;84171000;2020-12-31;0;22497
3091635000;0;24435000;209581000;192877000;22497;1800052000;4595000;19447000;21877000;1144490000;0;1644905000;3091635000;10283000;1015653000;2882054000;1098706000;80870000;2021-03-31;0;22497
3262523000;0;18370000;169850000;1546726000;22497;1689505000;5246000;10032000;31496000;1191838000;0;1794525000;3262523000;1361215000;11468000;3092673000;26292000;73665000;2021-06-30;0;22497
3715392000;0;233982000;421338000;2017204000;22497;1671413000;6696000;2489000;41272000;1249018000;0;1934011000;3715392000;1856920000;10941000;3294054000;26775000;69667000;2021-09-30;0;22497
3749585000;0;298120000;488971000;2138177000;22497;1266419000;8630000;2545000;41651000;1280664000;0;1840396000;3749585000;1909455000;289783000;3260614000;344989000;51957000;2021-12-31;0;22497
3743186000;0;173979000;356414000;2051123000;22497;1343078000;10916000;2611000;44856000;1299476000;0;1937562000;3743186000;1723860000;289891000;3386772000;348985000;59729000;2022-03-31;0;22497
4256253000;0;632624000;826614000;617387000;22497;1396868000;10244000;2679000;43900000;1328445000;0;1938741000;4256253000;414440000;2184840000;3429639000;2241998000;58379000;2022-06-30;0;22497
3982176000;0;196270000;399260000;269885000;22497;1447136000;9750000;2770000;72750000;1337415000;0;2027372000;3982176000;96251000;2185152000;3582916000;2265155000;66920000;2022-09-30;0;22497
