assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
713947000;0;9359000;21609000;451718000;22721;181267000;"";0;1178000;689690000;0;0;713947000;191331000;0;692338000;80962000;8160000;2009-12-31;8487000;22721
808010000;0;75125000;88273000;548792000;22721;218609000;"";0;1641000;715845000;0;0;808010000;449472000;0;719737000;40609000;11385000;2010-12-31;9922000;22721
814849000;0;80057000;92630000;561061000;22721;215094000;"";0;1642000;716496000;0;0;814849000;466378000;0;722219000;38694000;10362000;2011-03-31;7966000;22721
823168000;0;71932000;87810000;566559000;22721;212690000;"";0;1904000;728251000;0;0;823168000;483104000;0;735358000;43919000;12620000;2011-06-30;9525000;22721
825810000;0;74078000;90079000;569258000;22721;211175000;"";0;3277000;726650000;0;0;825810000;504139000;0;735731000;45377000;12649000;2011-09-30;9489000;22721
792424000;0;27347000;44884000;533174000;22721;207408000;"";0;6515000;733510000;0;0;792424000;481438000;0;747540000;51842000;9909000;2011-12-31;21249000;22721
798977000;0;22173000;39049000;545240000;22721;204369000;"";0;7584000;743440000;0;0;798977000;501114000;0;759928000;49368000;12282000;2012-03-31;24965000;22721
797091000;0;3982000;15479000;545927000;22721;198723000;"";0;8873000;755351000;0;0;797091000;518552000;0;781612000;52441000;8070000;2012-06-30;18149000;22721
894050000;0;62964000;83574000;644764000;22721;192944000;"";0;9331000;782410000;0;0;894050000;602123000;0;810476000;56342000;10971000;2012-09-30;14516000;22721
910328000;0;47951000;70638000;658340000;22721;188182000;"";0;9142000;811787000;0;0;910328000;627059000;0;839690000;63806000;14118000;2012-12-31;20241000;22721
924569000;0;37561000;55545000;672544000;22721;183361000;"";0;8954000;838986000;0;0;924569000;604937000;0;869024000;68664000;10594000;2013-03-31;27845000;22721
941570000;0;4993000;22538000;685862000;22721;181424000;"";0;8694000;885184000;0;0;941570000;607969000;0;919032000;74284000;11026000;2013-06-30;29648000;22721
1364375000;0;1449000;114405000;93839000;22721;170921000;"";89927000;8456000;911968000;0;0;1364375000;51970000;1020767000;1249970000;1099615000;13948000;2013-09-30;28121000;22721
1345462000;0;2673000;121419000;70990000;22721;163220000;"";93262000;9030000;932918000;0;0;1345462000;41133000;1027049000;1224043000;1111252000;16759000;2013-12-31;22564000;22721
1376881000;0;3629000;137138000;83914000;22721;145472000;"";114287000;9643000;960390000;0;0;1376881000;54033000;1056630000;1239743000;1147495000;10581000;2014-03-31;24173000;22721
1364730000;0;16848000;114081000;45667000;22721;148534000;"";67915000;9628000;994155000;0;0;1364730000;3123000;1073856000;1250649000;1170529000;14311000;2014-06-30;33684000;22721
1399641000;0;3299000;111905000;69903000;22721;142842000;"";77501000;10214000;1033605000;0;0;1399641000;26480000;1082870000;1287736000;1186896000;17088000;2014-09-30;35292000;22721
1405048000;0;11966000;62218000;46543000;22721;143198000;"";29361000;10615000;1064798000;0;0;1405048000;3911000;1103321000;1342830000;1215307000;18218000;2014-12-31;34735000;22721
1436784000;0;22958000;60886000;62137000;22721;107936000;"";24334000;11382000;1073348000;0;0;1436784000;26774000;1144890000;1375898000;1266711000;11227000;2015-03-31;25638000;22721
1481979000;0;70869000;118857000;34651000;22721;142578000;"";28411000;11707000;1083925000;0;0;1481979000;4152000;1175374000;1363122000;1304750000;17666000;2015-06-30;22108000;22721
1530909000;0;84946000;135304000;63232000;22721;126645000;"";28411000;11432000;1100665000;0;0;1530909000;25267000;1199375000;1395605000;1341032000;17749000;2015-09-30;28861000;22721
1511815000;0;39512000;88900000;45086000;22721;93111000;"";27842000;11265000;1110845000;0;0;1511815000;4324000;1217714000;1422039000;1373618000;18342000;2015-12-31;32551000;22721
1557030000;0;45445000;89220000;67502000;22721;65122000;"";11716000;11377000;1120130000;0;0;1557030000;29393000;1255896000;1467810000;1424406000;18840000;2016-03-31;28845000;22721
1543657000;0;18797000;59951000;30924000;22721;71848000;"";7510000;11067000;1128566000;0;0;1543657000;4529000;1280241000;1483706000;1440885000;16607000;2016-06-30;19173000;22721
