assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
24296824;0;522000;5126951;5187358;22799;9941934;0;0;770922;11388317;0;2126426;24296824;1271869;2992978;19169873;9167532;2761448;2010-12-31;772323;22799
23283872;0;801131;5504019;5097970;22799;10375037;0;501213;709137;10727715;0;4367943;23283872;1984116;1930777;17779853;7810865;2059697;2011-12-31;263914;22799
22980971;0;335755;5258016;4783589;22799;11273463;0;350129;624000;10590675;0;4367365;22980971;1552863;1601085;17722955;6923919;2559850;2012-03-31;436976;22799
26751561;0;375436;9189507;5181038;22799;12795273;0;2330054;596595;10459680;0;3372260;26751561;1201424;3727327;17562054;8775250;4462182;2012-06-30;344240;22799
29759178;0;235367;11951272;5655785;22799;14554622;0;4734317;565603;10328481;0;3791135;29759178;1223654;4606574;17807906;9548771;5107602;2012-09-30;301569;22799
33008821;0;1587439;16225482;6774755;22799;14110013;0;11660948;535424;10228862;0;3359400;33008821;2160622;7462808;16783339;12124053;2475084;2012-12-31;309176;22799
66393197;0;816050;49007052;6679554;22799;51502391;0;45232631;500684;10097212;0;3010047;66393197;1344921;3941871;17386145;8211252;2457547;2013-03-31;1519069;22799
66343203;0;425803;36621689;6206899;22799;53211811;0;32079776;469756;9966623;0;16468715;66343203;1525251;3395254;29721514;6924493;2994000;2013-06-30;553237;22799
68859621;0;964889;38647841;6229025;22799;55043448;0;32955269;445177;9836121;0;17279275;68859621;1550868;4253097;30211780;7587148;3160419;2013-09-30;287557;22799
71197368;0;507912;40145792;7023602;22799;57076517;0;35964329;479290;9714477;0;17659345;71197368;1496453;3991066;31051576;7097249;2566779;2013-12-31;423471;22799
75807025;0;448743;40839974;7976659;22799;61329601;0;33915313;485729;9708753;0;21716377;75807025;1378628;3719947;34967051;6500765;4715236;2014-03-31;781083;22799
73503214;0;1353922;36579069;7245116;22799;60080972;0;29269348;473212;9739146;0;22164231;73503214;1065552;3440115;36924145;6177126;3284304;2014-06-30;629998;22799
76990087;0;596672;39670590;9640515;22799;61370144;0;32673692;466354;9752803;0;21066279;76990087;1101180;3151929;37319497;5979428;3768462;2014-09-30;395402;22799
77948238;0;616477;44382350;12065335;22799;59900245;0;38211312;512593;8779251;0;20758267;77948238;1135344;2855733;33887981;5982658;4526692;2014-12-31;418595;22799
83909770;0;592980;43441363;13093026;22799;61504275;0;38771990;580145;8767670;0;26456001;83909770;1168094;6551866;40468407;9312469;2640297;2015-03-31;543142;22799
79659295;0;761093;39007914;6487005;22799;64268574;0;32267064;548023;8754133;0;27092587;79659295;1199480;6240648;40651381;8903716;3274280;2015-06-30;327506;22799
89232139;0;979232;48812879;8473911;22799;65214655;0;41258804;530834;8750138;0;26914200;89232139;1229547;12922393;40419260;15543573;4483531;2015-09-30;327510;22799
88002000;0;672000;47028000;6675000;22799;66082000;0;39384000;505000;688000;0;35421467;88002000;1258000;12597000;40974000;15245000;4814000;2015-12-31;486000;22799
91221000;0;1059000;47931000;9460000;22799;66797000;0;39969000;537000;682000;0;39077000;91221000;1425000;12306000;43290000;14964000;4491000;2016-03-31;389000;22799
92678000;0;631000;48637000;20291000;22799;68921000;0;43295000;564000;675000;0;39969000;92678000;12425000;950000;44041000;3466000;2556000;2016-06-30;683000;22799
97427000;0;482000;53145000;24007000;22799;70236000;0;48513000;547000;690000;0;39810000;97427000;16295000;651000;44282000;3184000;1676000;2016-09-30;641000;22799
124893000;0;2870000;14206000;15536000;22799;70249000;0;8194000;505000;30128000;0;76375000;124893000;5295000;11238000;110687000;39108000;1803000;2016-12-31;107000;22799
