assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
87445000;0;20000;2276000;13587000;23035;68654000;"";0;0;0;0;79965000;87445000;1951000;5204000;85169000;5204000;2227000;2010-12-31;0;23035
256454000;0;8000;38764000;6047000;23035;247155000;"";28553000;0;0;0;214438000;256454000;1951000;3252000;217690000;3252000;8960000;2011-12-31;1000;23035
262834000;0;204000;38993000;5809000;23035;254260000;"";28712000;0;0;0;221076000;262834000;1951000;2765000;223841000;2765000;8938000;2012-03-31;76000;23035
255595000;0;80000;14879000;2705000;23035;230547000;"";10236000;0;0;0;218373000;255595000;2077000;22343000;240716000;22343000;2232000;2012-06-30;1000;23035
261495000;0;31000;14225000;2115000;23035;237589000;"";9403000;0;0;0;225479000;261495000;2003000;21791000;247270000;21791000;2386000;2012-09-30;38000;23035
276910000;0;49000;14332000;2166000;23035;233443000;"";0;0;0;0;221278000;276913000;2068000;41303000;262581000;41303000;2451000;2012-12-31;1000;23035
598864000;0;3883000;327483000;3056000;23035;554994000;"";318902000;0;0;0;230567000;598864000;2073000;40814000;271381000;40814000;2553000;2013-03-31;776000;23035
606589000;0;34000;328943000;4726000;23035;564037000;"";318673000;0;0;0;239820000;606589000;4550000;37826000;277646000;37826000;6602000;2013-06-30;10000;23035
629175000;0;634000;340232000;7553000;23035;582947000;"";329582000;0;0;0;253943000;629175000;7429000;38675000;288943000;38675000;6933000;2013-09-30;58000;23035
637598000;0;44000;290437000;15315000;23035;586370000;"";274018000;0;0;0;311710000;637598000;9709000;35913000;347161000;35913000;9848000;2013-12-31;194000;23035
651736000;0;389000;297054000;17541000;23035;601040000;"";280119000;0;0;0;321532000;651736000;11974000;33150000;354682000;33155000;11984000;2014-03-31;3000;23035
648833000;0;345000;245635000;12133000;23035;606313000;"";229297000;0;0;0;372797000;648833000;11478000;30387000;403198000;30387000;0;2014-06-30;4000;23035
659193000;0;150000;251325000;11861000;23035;619707000;"";231385000;0;0;0;380229000;659193000;11152000;27625000;407868000;27625000;0;2014-09-30;0;23035
674324000;0;33000;163454000;15284000;23035;634178000;"";134911000;0;0;0;485867000;674324000;11151000;24862000;510870000;24862000;18331000;2014-12-31;405000;23035
670547000;0;30000;150407000;11620000;23035;636827000;"";133856000;0;0;0;498040000;670547000;11144000;22100000;520140000;22100000;11218000;2015-03-31;1000;23035
684088000;0;28000;154730000;11647000;23035;653103000;"";136579000;0;0;0;510020000;684088000;11142000;19338000;529358000;19338000;11463000;2015-06-30;9000;23035
686428000;0;7138000;152641000;11934000;23035;657899000;"";2405000;0;0;0;517192000;686428000;11147000;16595000;533787000;16595000;135342000;2015-09-30;15000;23035
690966000;0;116000;25700000;11865000;23035;665239000;"";8021000;0;0;0;651404000;690966000;11170000;13862000;665266000;13862000;11201000;2015-12-31;14000;23035
709193000;0;140000;31024000;11277000;23035;686787000;"";13442000;0;0;0;667040000;709193000;11201000;11129000;678169000;11129000;11366000;2016-03-31;38000;23035
