assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
428369000;0;56627000;79080000;88741000;23060;83270000;"";0;0;332984000;0;0;428369000;40697000;155353000;349289000;256358000;20166000;2010-12-31;21638000;23060
462316000;0;69778000;144738000;108202000;23060;140559000;"";0;0;301938000;0;0;462316000;62339000;112401000;317578000;213555000;73247000;2011-12-31;23620000;23060
400363000;0;64685000;83770000;100144000;23060;115805000;"";0;0;298846000;0;0;400363000;46770000;81038000;316593000;184414000;17165000;2012-03-31;32771000;23060
914006000;0;82303000;101797000;51711000;23060;130561000;"";0;0;292327000;0;0;914006000;0;627940000;812209000;731734000;16965000;2012-06-30;36704000;23060
937097000;0;93114000;119121000;56435000;23060;132006000;"";0;0;287126000;0;0;937097000;0;644648000;817976000;748656000;23475000;2012-09-30;33569000;23060
990536000;0;1979000;164638000;717156000;23060;171576000;"";0;0;282056000;0;0;990536000;659915000;0;825898000;101804000;21741000;2012-12-31;33112000;23060
941851000;0;92986000;117612000;50904000;23060;115570000;"";0;0;274285000;0;0;941851000;0;674888000;824239000;775377000;22160000;2013-03-31;34777000;23060
1000346000;0;2635000;167607000;87990000;23060;142152000;"";139685000;0;265644000;0;0;1000346000;14228000;672455000;832739000;770204000;24043000;2013-06-30;41595000;23060
1069876000;0;2672000;227593000;111302000;23060;188115000;"";194002000;0;258311000;0;0;1069876000;25248000;672222000;842283000;770459000;28259000;2013-09-30;39348000;23060
1037365000;0;154403000;182704000;113937000;23060;174168000;"";0;0;251314000;0;0;1037365000;36098000;646922000;854661000;749260000;25493000;2013-12-31;34373000;23060
1003210000;0;112122000;139728000;119324000;23060;126501000;"";0;0;243645000;0;0;1003210000;50367000;656099000;863482000;757385000;24643000;2014-03-31;5705000;23060
1044488000;0;135869000;166950000;143057000;23060;168324000;"";0;0;240697000;0;0;1044488000;60689000;643523000;877538000;733107000;28535000;2014-06-30;8854000;23060
1100108000;0;168956000;205972000;170494000;23060;197762000;"";0;0;237178000;0;0;1100108000;79917000;647193000;894136000;731852000;33113000;2014-09-30;8506000;23060
1085718000;0;129184000;175584000;193607000;23060;211305000;"";0;0;233994000;0;0;1085718000;90666000;579654000;910134000;680806000;29463000;2014-12-31;11965000;23060
1124787000;0;145613000;193127000;189048000;23060;244522000;"";0;0;236177000;0;0;1124787000;108788000;591850000;931660000;691217000;25266000;2015-03-31;10496000;23060
1124638000;0;115176000;168283000;222621000;23060;225435000;"";0;0;237908000;0;0;1124638000;104971000;579321000;956355000;676582000;29985000;2015-06-30;13600000;23060
1299500000;0;158404000;206806000;249784000;23060;374450000;"";0;0;245220000;0;0;1299500000;119278000;582089000;1092694000;675266000;30431000;2015-09-30;15351000;23060
1243350000;0;46821000;118991000;286617000;23060;373369000;"";0;0;253021000;0;0;1243350000;115366000;494834000;1124359000;583364000;29167000;2015-12-31;16977000;23060
1309758000;0;82557000;165089000;306046000;23060;417425000;"";0;0;249990000;0;0;1309758000;136406000;504738000;1144669000;586287000;28277000;2016-03-31;14383000;23060
1156191000;0;74632000;162450000;272924000;23060;322869000;"";0;0;254766000;0;0;1156191000;134497000;484272000;993741000;560398000;26621000;2016-06-30;18166000;23060
1229293000;0;123913000;217015000;301829000;23060;369771000;"";0;0;246517000;0;0;1229293000;154713000;488713000;1012278000;557693000;25102000;2016-09-30;13378000;23060
1198922000;0;41015000;142302000;392061000;23060;369797000;"";0;0;262517000;0;0;1198922000;178826000;384956000;1056620000;437064000;27656000;2016-12-31;25614000;23060
