assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
523136000;0;62000;55650000;41358000;23175;450254000;3959000;0;479000;0;0;300205000;523136000;29138000;6612000;467486000;31524000;55028000;2017-09-30;4677000;23175
527878000;0;1000;54947000;46471000;23175;449591000;2855000;0;1716000;2718000;0;283997000;527878000;29208000;7093000;472931000;31816000;53664000;2017-12-31;4710000;23175
521818000;0;1000;58450000;43971000;23175;387445000;8555000;0;1311000;2683000;0;291185000;521818000;28767000;7093000;463368000;90402000;57203000;2018-03-31;4308000;23175
599776000;0;1222000;57537000;53829000;23175;395186000;8140000;0;1277000;2749000;0;296340000;599776000;36844000;68735000;542239000;150761000;55100000;2018-06-30;4258000;23175
612431000;0;1975000;17646000;60876000;23175;407340000;8600000;0;1294000;2772000;0;320698000;612431000;40472000;63544000;594785000;144215000;14460000;2018-09-30;4430000;23175
848847000;0;872000;64561000;70332000;23175;637663000;8599000;0;1549000;2650000;0;386762000;848847000;37270000;55395000;784286000;140852000;61974000;2018-12-31;14642000;23175
887037000;0;34000;54042000;57497000;23175;692778000;8904000;0;1456000;2480000;0;479289000;887037000;38215000;52152000;832995000;136762000;51674000;2019-03-31;5244000;23175
1055456000;0;411000;69389000;58847000;23175;748480000;8426000;0;1432000;2310000;0;484661000;1055456000;39142000;164641000;986067000;248129000;66608000;2019-06-30;4622000;23175
1115719000;0;1353000;68539000;64370000;23175;815254000;8938000;0;3890000;2257000;0;506217000;1115719000;42107000;158748000;1047180000;236095000;26999000;2019-09-30;5296000;23175
1119173000;0;113451000;206680000;102664000;23175;827747000;9414000;32493000;3632000;2081000;0;523733000;1119173000;45751000;152627000;912493000;188762000;13963000;2019-12-31;39773000;23175
1126901000;0;70389000;130271000;76159000;23175;837905000;9852000;3770000;4377000;1904000;0;550227000;1126901000;17546000;174617000;996630000;212837000;17279000;2020-03-31;39128000;23175
1222113000;0;160599000;220160000;187229000;23175;822302000;9677000;6386000;3714000;3780000;0;542588000;1222113000;114094000;170832000;1001953000;212582000;18864000;2020-06-30;38952000;23175
1789176000;0;89214000;179311000;136465000;23175;825555000;5568000;35639000;3114000;5284000;0;551199000;1789176000;58977000;782357000;1609865000;827156000;19096000;2020-09-30;40578000;23175
1749671000;0;63793000;140649000;118297000;23175;804047000;5876000;38907000;1015000;8684000;0;612534000;1749671000;85134000;771985000;1609022000;827327000;924000;2020-12-31;12906000;23175
1756376000;0;27949000;113514000;127778000;23175;806164000;6123000;44920000;1274000;12543000;0;632467000;1756376000;91611000;765453000;1642862000;822434000;12944000;2021-03-31;15130000;23175
2316602000;0;448203000;624724000;88124000;23175;1400852000;6181000;116649000;1496000;16416000;0;679226000;2316602000;59810000;775070000;1691878000;827626000;2221000;2021-06-30;15057000;23175
3887202000;0;293438000;322712000;93242000;23175;2915653000;6427000;11236000;1335000;16723000;0;700977000;3887202000;47710000;781590000;3564490000;878307000;3523000;2021-09-30;13498000;23175
3995388000;0;148052000;190871000;109818000;23175;2881948000;6484000;22218000;3055000;25201000;0;714081000;3995388000;39392000;810337000;3804517000;1003622000;2140000;2021-12-31;36594000;23175
4850399000;0;563586000;605995000;94583000;23175;3549079000;6692000;18507000;2814000;28355000;0;724304000;4850399000;36833000;812939000;4244404000;1206737000;9170000;2022-03-31;12231000;23175
4778154000;0;516740000;565078000;86115000;23175;3333754000;6809000;30077000;2573000;31108000;0;732091000;4778154000;49404000;828766000;4213076000;1358285000;2479000;2022-06-30;12286000;23175
4792054000;0;468528000;647779000;86640000;23175;3262074000;7063000;26762000;2333000;40183000;0;802461000;4792054000;46167000;808977000;4144275000;1443340000;143230000;2022-09-30;11899000;23175
