assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
185595000;0;17257000;57635000;17666000;23221;96968000;0;0;95066000;1553000;0;15214000;185595000;1432000;8037000;127960000;70961000;5272000;2009-12-31;1870000;23221
201886000;0;1747000;36960000;19179000;23221;115823000;7000;0;106988000;2329000;0;50438000;201886000;3787000;11366000;164926000;66884000;10556000;2010-12-31;1258000;23221
271938000;0;2812000;40628000;34961000;23221;140930000;6000;9175000;142119000;3358000;0;78339000;271938000;4182000;46675000;231310000;96047000;18683000;2011-12-31;5509000;23221
362118000;0;15479000;47809000;78834000;23221;193175000;23000;0;186202000;3440000;0;118430000;362118000;37897000;41503000;314309000;90109000;26236000;2012-12-31;1759000;23221
434469000;0;17731000;68432000;103761000;23221;232932000;0;0;191225000;4068000;0;162357000;434469000;40918000;39297000;366037000;97776000;39933000;2013-03-31;1889000;23221
374364000;0;60547000;104744000;117410000;23221;108840000;0;0;124652000;5099000;0;131761000;374364000;14903000;88726000;269620000;148114000;33071000;2013-06-30;3446000;23221
490418000;0;17188000;76899000;110253000;23221;134798000;0;0;240121000;6821000;0;156451000;490418000;14680000;86830000;413519000;245367000;40177000;2013-09-30;8506000;23221
818502000;0;215131000;356938000;124490000;23221;451366000;0;84311000;256883000;7149000;0;188946000;818502000;15629000;86953000;461564000;242646000;46345000;2013-12-31;9067000;23221
896442000;0;218800000;378796000;145642000;23221;510072000;0;86377000;283546000;8707000;0;217291000;896442000;15819000;85039000;517646000;240728000;57917000;2014-03-31;9400000;23221
954830000;0;193344000;388454000;158007000;23221;559734000;0;88619000;297096000;9571000;0;250580000;954830000;16317000;83827000;566376000;237089000;85206000;2014-06-30;9792000;23221
1001183000;0;66800000;374015000;174167000;23221;592146000;0;207316000;320468000;11193000;0;285990000;1001183000;20830000;80396000;627168000;234870000;75828000;2014-09-30;8757000;23221
977310000;0;39021000;202389000;126747000;23221;626652000;0;63418000;353013000;13250000;0;400625000;977310000;28445000;71699000;774921000;223911000;83837000;2014-12-31;10599000;23221
1060874000;0;28770000;217955000;123723000;23221;703279000;0;0;358922000;14128000;0;462388000;1060874000;30671000;83521000;842919000;233872000;126708000;2015-03-31;10869000;23221
1106087000;0;28963000;212637000;131859000;23221;748325000;0;0;359317000;17416000;0;509740000;1106087000;35056000;77361000;893450000;225903000;140526000;2015-06-30;8979000;23221
1421753000;0;73303000;499466000;162702000;23221;772481000;0;256897000;360825000;20395000;0;535265000;1421753000;42316000;339310000;922287000;486570000;130455000;2015-09-30;11836000;23221
1363515000;0;62539000;366972000;123343000;23221;757233000;0;213135000;361121000;23649000;0;533140000;1363515000;46011000;330124000;996543000;482939000;65919000;2015-12-31;9634000;23221
1455824000;0;49086000;380929000;145267000;23221;843146000;0;168657000;360397000;23135000;0;609974000;1455824000;51210000;322404000;1074895000;467411000;113837000;2016-03-31;10149000;23221
1479588000;0;58133000;392388000;142255000;23221;903858000;0;183037000;362336000;25746000;0;644249000;1479588000;72201000;289980000;1087200000;433475000;137152000;2016-06-30;12880000;23221
1635470000;0;91429000;492780000;264466000;23221;952479000;0;271140000;363006000;29011000;0;693846000;1635470000;84397000;274797000;1142690000;418525000;113957000;2016-09-30;12449000;23221
1551245000;0;54477000;498805000;210146000;23221;950400000;0;337547000;370538000;29681000;0;594547000;1551245000;96752000;248915000;1052440000;390699000;95154000;2016-12-31;12805000;23221
1631552000;0;39835000;497576000;226491000;23221;1030625000;0;285666000;384225000;30885000;0;660295000;1631552000;96763000;233643000;1133976000;374436000;119283000;2017-03-31;12429000;23221
