assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
15438513;0;3165423;7237562;4004017;23302;2919241;"";0;3552674;4648277;0;0;15438513;1535842;1087606;8200951;8515255;2872541;2011-12-31;1266803;23302
15180414;0;3797031;8360235;3347935;23302;3103634;"";0;1415887;5404292;0;0;15180414;566146;1204431;7022129;8728845;2966253;2012-12-31;1016174;23302
15222845;0;4003602;8531528;3707652;23302;3057840;"";0;1378942;5090175;0;0;15222845;747593;961192;6691317;8457353;3247035;2013-03-31;1178461;23302
15869593;0;4075485;9449807;4071519;23302;3224073;"";0;1399682;4776058;0;0;15869593;660084;972755;6419786;8574001;3865197;2013-06-30;1127410;23302
14313576;0;2685113;8446720;3795170;23302;3069042;"";0;1404914;4461942;0;0;14313576;0;0;5866856;7449364;3719203;2013-09-30;1245052;23302
14238995;0;2286443;8728689;3599987;23302;3113969;"";0;1362481;4147825;0;0;14238995;0;0;5510306;7525039;4142932;2013-12-31;1065122;23302
13664876;0;1521947;7909279;3297586;23302;2806841;"";0;1334066;4421531;0;0;13664876;0;0;5755597;7560449;4074992;2014-03-31;849172;23302
15476689;0;2804483;9468513;4114100;23302;4017812;"";0;1286815;4706045;0;0;15476689;0;0;6008176;7344777;4177982;2014-06-30;774836;23302
16967116;0;3361315;10696974;4999245;23302;11743888;"";0;1248171;5003655;0;0;16967116;0;0;6270142;223983;4739820;2014-09-30;817897;23302
16770900;0;4388959;12626131;4593565;23302;10621150;0;0;1227724;2898730;0;0;16770900;0;1200000;4144769;1556185;5425660;2014-12-31;816269;23302
16615124;0;3903870;11929084;4559879;23302;10500194;"";0;1367772;3299952;0;0;16615124;0;1208767;4686040;1555051;4974515;2015-03-31;648049;23302
18127593;0;883165;9738851;5551980;23302;9643990;0;0;1673481;3907701;0;2789244;18127593;0;2925529;8388742;2931623;5186634;2015-06-30;944136;23302
27005158;0;3714364;15348019;7801585;23302;13999420;0;0;1770634;4880535;0;4920600;27005158;0;5050344;11657139;5204153;6899932;2015-09-30;1188219;23302
39186257;0;2348498;15685458;19369019;23302;11856635;0;0;1758298;4249995;0;16401867;39186257;11479619;5589437;23500799;7960603;7663643;2015-12-31;727965;23302
48653280;0;11082878;21429792;19380953;23302;21050124;0;0;1711731;6516667;0;17894248;48653280;0;5552729;27223488;8222203;6429129;2016-03-31;886599;23302
45664460;0;3124848;17903684;17011300;23302;22268738;0;4212858;1642350;8254502;0;17109959;45664460;0;5484422;27760776;6384422;6799974;2016-06-30;386593;23302
49046633;0;6600714;19479720;18171688;23302;26393477;0;0;1540528;9662562;0;17606389;49046633;1483418;3581468;29566913;4481468;8745948;2016-09-30;498305;23302
50179711;0;163462;18169916;15698823;23302;25155499;0;4457795;1442722;11306286;0;17815456;50179711;1497201;3236880;32009795;9325389;9375711;2016-12-31;767884;23302
60917237;0;13533701;28905256;16912563;23302;36802884;0;3716308;1288644;12177611;0;17864212;60917237;4050444;1989451;32011981;7201790;7706446;2017-03-31;594981;23302
83483004;0;5734673;21491083;17771747;23302;39142129;0;3775551;1239448;12559712;0;48030613;83483004;4174056;1763432;61991921;26569128;9118316;2017-06-30;468068;23302
