assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
493159;0;473;64519;525129;23329;-125881;"";0;402821;26;36649;0;493159;404276;0;428640;93911;20130;2017-09-30;84493;23329
467434000;0;735000;63201000;526340000;23329;-144310000;"";0;377407000;0;37654;0;467434000;425824;0;404233000;85404000;18248;2017-12-31;65040000;23329
460957000;0;373000;64253000;546675000;23329;-167968000;"";0;368853000;0;36934000;0;460957000;447113000;0;396704000;82250000;19352000;2018-03-31;62495000;23329
463892000;0;3564000;75741000;568774000;23329;-184990000;"";0;360300000;0;38172000;0;463892000;469486000;0;388151000;80108000;19123000;2018-06-30;63072000;23329
468176000;0;2297000;88766000;591987000;23329;-201531000;"";0;351559000;0;37379000;0;468176000;492461000;0;379410000;77720000;20673000;2018-09-30;64052000;23329
445747000;0;1704;60442000;588316;23329;-218584000;"";0;343018000;0;20606;0;445747000;486984000;0;385305;76015000;18441000;2018-12-31;65656;23329
445714000;0;9419000;61945000;603993000;23329;-238471000;"";0;334469000;7009000;18624000;0;445714000;499586000;6632000;383769000;80192000;20992000;2019-03-31;68526000;23329
437983000;0;13305000;63795000;614707000;23329;-254197000;"";0;331897000;0;18825000;0;437983000;514791000;5186000;374188000;77473000;19308000;2019-06-30;63701000;23329
431588000;0;14698000;66169000;629096000;23329;-274422000;"";0;323128000;0;18876000;0;431588000;527603000;0;365419000;76914000;15448000;2019-09-30;64883000;23329
412128000;0;97000;55706000;657665000;23329;-322546000;"";0;314148000;0;17690000;42012000;412128000;548570000;4858000;356422000;77009000;16098000;2019-12-31;63977000;23329
411935000;0;2298000;64270000;689029000;23329;-339170000;"";0;305391000;0;17444000;42012000;411935000;569361000;4728000;347665000;62076000;16152000;2020-03-31;69828000;23329
394693000;0;42000;55787000;650407000;23329;-354435000;"";0;296632000;0;17550000;42012000;394693000;581653000;4836000;338906000;98721000;16466000;2020-06-30;28759000;23329
382619000;0;1428000;52470000;662383000;23329;-377983000;"";0;287875000;0;17570000;0;382619000;599018000;4691000;330149000;98219000;15846000;2020-09-30;25239000;23329
384499000;0;340000;65103000;694912000;23329;-407014;"";0;279122000;0;17475;0;384499000;623621000;4541;319396000;96601000;22699000;2020-12-31;32536000;23329
364005000;0;539000;57041000;698551000;23329;-432140000;"";0;270390000;0;19706000;0;364005000;638513000;4437000;306964000;97594000;17517000;2021-03-31;21772000;23329
383325000;0;268000;85066000;706893000;23329;-421985000;"";0;261685000;0;17504000;0;383325000;650146000;4223000;298259000;98417000;20257000;2021-06-30;18937000;23329
361459000;0;20075000;71946000;719447000;23329;-453245000;"";0;252939000;0;17276000;0;361459000;664842000;4104000;289513000;95257000;18019000;2021-09-30;18707000;23329
455984000;0;18549000;175295000;843879;23329;-483075;"";0;244155;0;28828000;0;455984000;722796000;3582000;280689;95180000;64685000;2021-12-31;84326000;23329
387559000;0;15790000;114229000;806514000;23329;-515473000;"";0;236796000;0;28997000;0;387559000;750349000;4973000;273330000;96518000;19175000;2022-03-31;17535000;23329
348175000;0;1623000;84485000;804908000;23329;-547874000;"";0;227156000;0;28884000;0;348175000;747670000;4714000;263690000;91141000;19307000;2022-06-30;18452000;23329
337014000;0;1433000;83349000;819548000;23329;-570362000;"";0;217098000;0;28948000;0;337014000;763132000;4536000;253665000;87828000;19036000;2022-09-30;18815000;23329
