assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1000;0;1000;1000;1000;23540;0;"";0;0;0;0;0;1000;0;0;0;0;0;2012-12-31;1000;23540
10000;0;10000;10000;10000;23540;0;"";0;0;0;0;0;10000;0;0;0;0;0;2013-12-31;0;23540
5000;0;5000;5000;10000;23540;-5000;"";0;0;0;0;0;5000;0;0;0;0;0;2014-03-31;0;23540
4000;0;4000;4000;0;23540;-6000;"";0;0;0;0;0;4000;0;0;0;10000;0;2014-06-30;0;23540
359000;0;151000;359000;3000;23540;356000;"";0;0;0;0;0;359000;0;0;0;0;0;2014-09-30;0;23540
29238000;0;27951000;29238000;28978000;23540;260000;"";0;0;0;0;0;29238000;0;0;0;0;0;2014-12-31;927000;23540
300995000;0;299436000;300995000;7145000;23540;-1060000;"";0;0;0;0;0;300995000;6327000;294910000;0;294910000;0;2015-03-31;51000;23540
324223000;0;4057000;315210000;14966000;23540;-180000;"";300873000;0;9013000;0;0;324223000;7440000;309437000;9013000;309437000;9040000;2015-06-30;5836000;23540
330578000;0;8637000;318478000;8994000;23540;-11000;"";304784000;12100000;0;0;0;330578000;8277000;321595000;12100000;321595000;2666000;2015-09-30;269000;23540
337638000;0;342000;317347000;20327000;23540;824000;"";305327000;20291000;0;0;0;337638000;17796000;316487000;20291000;316487000;6746000;2015-12-31;1900000;23540
349653000;0;364000;320038000;19557000;23540;-2778000;"";309755000;24502000;0;0;0;349653000;19255000;332874000;29615000;332874000;9792000;2016-03-31;4000;23540
364376000;0;2123000;279720000;20516000;23540;-2144000;"";264134000;76123000;0;0;0;364376000;20078000;346004000;84656000;346004000;13357000;2016-06-30;56000;23540
389946000;0;26061000;258714000;26989000;23540;4723000;"";229529000;122812000;0;0;0;389946000;20985000;358234000;131232000;358234000;1442000;2016-09-30;206000;23540
382013000;0;1528000;168900000;57543000;23540;3654000;"";160790000;205191000;0;0;0;382013000;46090000;320816000;213113000;320816000;6015000;2016-12-31;10379000;23540
378889000;0;3413000;80623000;48407000;23540;192000;"";65868000;290673000;0;0;0;378889000;47372000;330290000;298266000;330290000;9923000;2017-03-31;0;23540
413553000;0;13000;54792000;70539000;23540;4144000;"";30589000;349857000;0;0;0;413553000;48247000;338870000;358761000;338870000;23507000;2017-06-30;20262000;23540
463495000;0;711000;88221000;61951000;23540;23139000;"";81517000;366680000;0;0;0;463495000;46789000;378405000;375274000;378405000;5533000;2017-09-30;2641000;23540
431561000;0;1269000;39764000;89122000;23540;20596000;"";21987000;382859000;0;0;0;431561000;64155000;321843000;391797000;321843000;16048000;2017-12-31;18249000;23540
