assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
201382000;0;23661000;36767000;38854000;23574;90328000;0;0;27413000;122589000;2240000;0;201382000;17694000;43436000;164615000;72200000;7741000;2010-12-31;9749000;23574
226004000;0;3982000;17371000;37470000;23574;106318000;0;0;27061000;115945000;3227000;52999000;226004000;17970000;27006000;208633000;82216000;8447000;2011-12-31;8776000;23574
249096000;0;4977000;31112000;45093000;23574;134762000;0;0;33745000;146041000;4398000;16206000;249096000;21855000;5982000;217984000;69241000;16213000;2012-12-31;10103000;23574
388745000;0;33343000;67768000;51398000;23574;157688000;0;0;46731000;210194000;7657000;16978000;390627000;7156000;66610000;320977000;179659000;18450000;2013-12-31;14391000;23574
384528000;0;14670000;52127000;63971000;23574;148420000;0;0;53120000;213360000;8309000;17231000;384528000;9434000;66597000;332401000;172137000;18248000;2014-03-31;16700000;23574
392033000;0;5805000;52019000;79851000;23574;151748000;0;0;71621000;221524000;12339000;10020000;392033000;11160000;61293000;340014000;160434000;22088000;2014-06-30;19391000;23574
415380000;0;13960000;63768000;94284000;23574;153167000;0;0;78670000;220236000;14107000;9796000;415380000;20082000;55294000;351612000;167929000;25497000;2014-09-30;17303000;23574
1097432000;0;5885000;48801000;61872000;23574;911072000;0;0;49206000;198748000;9553000;780921000;1097432000;408000;13141000;1048631000;124488000;21752000;2014-12-31;15292000;23574
1149179000;0;4216000;46993000;74996000;23574;962131000;0;0;51562000;195713000;8991000;837935000;1149179000;1391000;16274000;1102186000;112052000;22278000;2015-03-31;12757000;23574
1126913000;0;3757000;40584000;67825000;23574;928611000;0;0;51671000;192462000;5852000;816731000;1126913000;11417000;15310000;1086329000;130477000;19589000;2015-06-30;11685000;23574
1188911000;0;5042000;40478000;43413000;23574;991305000;0;0;50299000;190541000;6186000;895333000;1188911000;1116000;13951000;1148433000;154193000;20143000;2015-09-30;14652000;23574
1394754000;0;233996000;526230000;48947000;23574;1192129000;11999000;0;34867000;175586000;5626000;625150000;1394754000;1029000;13899000;868524000;153678000;22976000;2015-12-31;13300000;23574
1287095000;0;151386000;195533000;64875000;23574;1129241000;10936000;0;32665000;171993000;6848000;799445000;1287095000;12020000;1148000;1091562000;92979000;20952000;2016-03-31;19523000;23574
1194918000;0;127308000;171943000;54641000;23574;1093027000;9862000;0;32438000;155338000;7333000;787115000;1194918000;11318000;915000;1022975000;47250000;18824000;2016-06-30;20859000;23574
1208742000;0;120963000;164725000;51252000;23574;1108562000;10136000;0;31250000;152543000;4509000;811750000;1208742000;10889000;681000;1044017000;48928000;16746000;2016-09-30;18553000;23574
1149581000;0;14673000;54492000;68945000;23574;1030654000;10142000;0;32501000;146076000;4363000;891940000;1149581000;11495000;451000;1095089000;49982000;16932000;2016-12-31;27550000;23574
1121708000;0;11116000;49125000;43577000;23574;1010692000;9786000;0;31702000;143153000;4167000;884121000;1121708000;936000;380000;1072583000;67439000;16368000;2017-03-31;20157000;23574
1134117000;0;2269000;39465000;42192000;23574;1028157000;10787000;0;29214000;140936000;3998000;912240000;1134117000;732000;326000;1094652000;63768000;15547000;2017-06-30;20274000;23574
1148198000;0;2020000;44076000;42168000;23574;992817000;7687000;0;28166000;138163000;4303000;925797000;1148198000;508000;275000;1104122000;113213000;20446000;2017-09-30;23108000;23574
