assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
88939000;0;7572000;21078000;39486000;23612;22879000;"";4740000;64394000;29000;418000;0;88939000;37907000;26315000;67861000;26574000;7306000;2013-12-31;612000;23612
99379000;0;9969000;25524000;37726000;23612;45380000;"";6608000;67483000;10000;1789000;0;99379000;34977000;16027000;73855000;16273000;5887000;2014-12-31;749000;23612
132603000;0;43184000;56872000;30452000;23612;46195000;"";1774000;68614000;19000;1196000;0;132603000;24971000;55710000;75731000;55956000;7664000;2015-03-31;2902000;23612
116602000;0;22214000;35394000;22028000;23612;43713000;"";1157000;74690000;28000;1270000;0;116602000;18590000;50749000;81208000;50861000;7716000;2015-06-30;1834000;23612
108438000;0;12914000;27072000;20260000;23612;41198000;"";882000;75082000;27000;3778000;0;108438000;16830000;46868000;81366000;46980000;7147000;2015-09-30;1348000;23612
107728000;0;13340000;27570000;20672000;23612;36696000;"";966000;74131000;18000;4762000;0;107728000;17009000;47985000;80158000;50360000;6651000;2015-12-31;2234000;23612
106260000;0;16921000;30430000;21360000;23612;35398000;"";203000;70196000;11000;1092000;0;106260000;18311000;46384000;75830000;49502000;7902000;2016-03-31;1573000;23612
120676000;0;12925000;27579000;26700000;23612;34517000;"";210000;87283000;9000;290000;0;120676000;23181000;55567000;93097000;59459000;9668000;2016-06-30;1764000;23612
116564000;0;10279000;25555000;27178000;23612;33545000;"";67000;84503000;65000;630000;0;116564000;23630000;51059000;91009000;55841000;10890000;2016-09-30;1661000;23612
121582000;0;6293000;21019000;26147000;23612;49520000;"";73000;82503000;41000;821000;0;121582000;23256000;45815000;100563000;45915000;11467000;2016-12-31;869000;23612
124636000;0;8965000;28234000;30844000;23612;49901000;"";98000;80064000;15000;1150000;0;124636000;23799000;43847000;96402000;43891000;14083000;2017-03-31;3463000;23612
126319000;0;9373000;27264000;32933000;23612;50006000;"";0;80750000;0;768000;0;126319000;25547000;43362000;99055000;43380000;12611000;2017-06-30;4569000;23612
132386000;0;11580000;26773000;41156000;23612;50138000;"";0;87704000;6000;585000;0;132386000;28162000;41074000;105613000;41092000;10792000;2017-09-30;9513000;23612
136315000;0;11239000;24377000;42623000;23612;49902000;0;900000;93025000;5000;538000;0;136315000;33250000;43320000;111938000;43790000;10082000;2017-12-31;6148000;23612
132270000;0;6438000;21107000;42137000;23612;50629000;"";900000;92501000;5000;376000;0;132270000;35446000;39034000;111163000;39504000;9833000;2018-03-31;3173000;23612
181955000;0;35847000;56361000;56312000;23612;49893000;"";7424000;104932000;10000;907000;0;181955000;40827000;75295000;125594000;75750000;8266000;2018-06-30;12307000;23612
