assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
5071801000;0;261702000;1104173000;64625000;23795;5006420000;92554000;0;0;0;0;3967583000;5071801000;0;0;3967628000;756000;102843000;2019-03-31;0;23795
5506334000;0;1116529000;1233573000;32837000;23795;5472741000;0;0;0;0;0;4272719000;5506334000;0;0;4272761000;756000;107424000;2019-06-30;0;23795
5003138000;0;251967000;373854000;36886000;23795;4965496000;0;0;0;0;0;4629244000;5003138000;0;0;4629284000;756000;106195000;2019-09-30;0;23795
5411949000;0;371201000;760032000;270382000;23795;5140791000;221798000;0;0;0;0;4651880000;5411949000;0;0;4651917000;776000;95365000;2019-12-31;0;23795
5570545000;0;263622000;631953000;42380000;23795;5527389000;194466000;0;0;0;0;4938557000;5570545000;0;0;4938592000;776000;85003000;2020-03-31;167000;23795
6036348000;0;746485000;989213000;51760000;23795;5983812000;0;127175000;0;0;0;5047102000;6036348000;0;0;5047135000;776000;107074000;2020-06-30;0;23795
4807977000;0;60000;747779000;60838000;23795;4746363000;0;582330000;0;0;0;4060168000;4807977000;0;0;4060198000;776000;149083000;2020-09-30;0;23795
9454959000;0;34000;803601000;368706000;23795;9085407000;0;662070000;0;0;0;8651330000;9454959000;0;0;8651358000;846000;105871000;2020-12-31;0;23795
10842368000;0;318000;1071344000;802788000;23795;10038733000;0;310899000;0;0;0;9770999000;10842368000;0;0;9771024000;847000;86768000;2021-03-31;0;23795
10456331000;0;78000;304276000;18582000;23795;10436845000;0;251447000;0;0;0;10152032000;10456331000;0;0;10152055000;904000;52195000;2021-06-30;0;23795
10831540000;0;362000;323481000;19327000;23795;10811310000;0;256338000;0;0;0;10508039000;10831540000;0;0;10508059000;903000;49244000;2021-09-30;0;23795
10576183000;0;210000;564889000;16185000;23795;10558769000;0;89911000;0;0;0;10011276000;10576183000;0;0;10011294000;1229000;38276000;2021-12-31;0;23795
11144597000;0;425000;932210000;23253000;23795;11120118000;0;534381000;0;0;0;10212372000;11144597000;0;0;10212387000;1226000;42163000;2022-03-31;0;23795
10927555000;0;169000;274455000;12278000;23795;10914051000;0;211833000;0;0;0;10653072000;10927555000;0;0;10653100000;1226000;45234000;2022-06-30;0;23795
11770135000;0;415000;699405000;15725000;23795;11753184000;0;624670000;0;0;0;11070705000;11770135000;0;0;11070730000;1226000;45833000;2022-09-30;0;23795
