assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
10000;0;10000;10000;0;23990;10000;0;0;0;0;0;0;10000;0;0;0;0;0;2016-06-30;0;23990
678489;0;407830;436251;363841;23990;-85352;0;0;163065;79038;0;0;678489;0;400000;242238;400000;0;2016-09-30;40189;23990
1206000;0;763000;949000;516000;23990;690000;"";0;181000;76000;0;0;1206000;400000;0;257000;0;168000;2016-12-31;2000;23990
1047000;0;495000;774000;469000;23990;578000;"";0;199000;74000;0;0;1047000;400000;0;273000;0;263000;2017-03-31;53000;23990
1365000;0;688000;1071000;611000;23990;754000;"";0;224000;70000;0;0;1365000;400000;0;294000;0;261000;2017-06-30;3000;23990
1732000;0;1076000;1268000;491000;23990;1241000;"";0;397000;67000;0;0;1732000;400000;0;464000;0;50000;2017-09-30;51000;23990
1283000;0;293000;640000;41000;23990;1242000;"";0;581000;62000;0;0;1283000;0;0;643000;0;5000;2017-12-31;3000;23990
1260000;0;218000;632000;37000;23990;1223000;"";0;570000;58000;0;0;1260000;0;0;628000;0;385000;2018-03-31;4000;23990
2150000;0;1440000;1533000;277000;23990;1873000;"";0;563000;54000;0;0;2150000;0;0;617000;0;5000;2018-06-30;10000;23990
2654000;0;1704000;2080000;401000;23990;2253000;"";0;524000;50000;0;0;2654000;0;0;574000;0;5000;2018-09-30;21000;23990
2647000;0;2016000;2073000;442000;23990;2205000;"";0;521000;53000;0;0;2647000;0;0;574000;0;1000;2018-12-31;12000;23990
1710000;0;287000;596000;504000;23990;1140000;"";0;1002000;48000;0;0;1710000;398000;66000;1114000;66000;75000;2019-03-31;57000;23990
