assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1344665000;0;62153000;96783000;119630000;24066;132003000;"";0;624209000;591674000;39000;0;1344665000;56612000;730618000;1247882000;1093032000;29140000;2014-12-31;13847000;24066
1319708000;0;37386000;87076000;166520000;24066;132289000;"";0;641358000;560818000;222000;0;1319708000;84607000;666322000;1232632000;1020899000;40395000;2015-12-31;20590000;24066
1338718000;0;68286000;113463000;178499000;24066;137240000;"";0;647820000;549152000;279000;0;1338718000;109485000;662840000;1225255000;1022979000;38804000;2016-03-31;15222000;24066
2812788000;0;89533000;140229000;284313000;24066;112363000;"";0;650201000;1997931000;255000;0;2812788000;213473000;579807000;2672559000;2416112000;39015000;2016-06-30;17495000;24066
2837414000;0;134135000;180254000;317118000;24066;112571000;"";0;646133000;1987000000;350000;0;2837414000;243107000;572241000;2657160000;2407725000;34755000;2016-09-30;14383000;24066
3360123000;0;613153000;674694000;285637000;24066;120930000;"";0;679500000;1982206000;370000;0;3360123000;199213000;1119165000;2685429000;2953556000;45371000;2016-12-31;23737000;24066
3378684000;0;558361000;641114000;324174000;24066;108510000;"";0;746018000;1968690000;335000;0;3378684000;243915000;1113546000;2737570000;2946000000;55764000;2017-03-31;18652000;24066
3214458000;0;375488000;467228000;285884000;24066;161746000;"";0;769393000;1953221000;196000;0;3214458000;195412000;982143000;2747230000;2766828000;60558000;2017-06-30;14513000;24066
3258499000;0;428232000;503408000;317928000;24066;193226000;"";0;792498000;1938681000;218000;0;3258499000;223711000;976398000;2755091000;2747345000;54063000;2017-09-30;16776000;24066
3257467000;0;406503000;478162000;331816000;24066;180696000;"";0;831941000;1923866000;138000;0;3257467000;194093000;958400000;2779305000;2744955000;51560000;2017-12-31;35817000;24066
3520500000;0;614945000;696314000;331517000;24066;202529000;"";0;902985000;1907288000;237000;0;3520500000;191558000;1198043000;2824186000;2986454000;59062000;2018-03-31;49518000;24066
3284339000;0;285356000;403875000;305053000;24066;225250000;"";0;974118000;1890650000;204000;0;3284339000;203061000;906227000;2880464000;2754036000;76256000;2018-06-30;30805000;24066
3321861000;0;294375000;394763000;334283000;24066;214293000;"";0;1040185000;1874246000;272000;0;3321861000;233302000;894613000;2927098000;2773285000;63266000;2018-09-30;32100000;24066
3343341000;0;252038000;346888000;338405000;24066;245929000;"";0;1124917000;1859570000;104000;0;3343341000;195604000;894968000;2996453000;2753961000;54145000;2018-12-31;41115000;24066
