assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
4187119000;0;523158000;692387000;653177000;24260;1262568000;25400000;0;1555338000;101460000;0;1768794000;4187119000;123175000;1435572000;3494732000;2271374000;116447000;2019-09-30;54473000;24260
4981122000;0;1087872000;1238073000;632729000;24260;2240452000;26999000;0;1745510000;104133000;0;1799848000;4981122000;80651000;1434816000;3743049000;2107941000;100807000;2019-12-31;63962000;24260
5132584000;0;861572000;1054129000;517859000;24260;2340275000;32236000;0;1811068000;104158000;0;2047849000;5132584000;100755000;1412397000;4078455000;2274450000;131725000;2020-03-31;48725000;24260
4925474000;0;689095000;802400000;618198000;24260;2227520000;25447000;0;1772316000;101991000;0;2096927000;4925474000;233101000;1244678000;4123074000;2079756000;61457000;2020-06-30;29629000;24260
4652272000;0;391114000;529118000;530213000;24260;2063108000;24315000;0;1740114000;101383000;0;2119377000;4652272000;97793000;1220878000;4123154000;2058951000;85479000;2020-09-30;44595000;24260
5067816000;0;621099000;744743000;476703000;24260;2446136000;22665000;0;1810557000;106697000;0;2204249000;5067816000;83916000;1236176000;4323073000;2144977000;78382000;2020-12-31;70429000;24260
4924573000;0;495013000;647407000;532534000;24260;2440714000;22120000;0;1722990000;108428000;0;2237497000;4924573000;213913000;1098702000;4277166000;1951325000;91388000;2021-03-31;39006000;24260
4629517000;0;481789000;626482000;428790000;24260;2058529000;28473000;13962000;1654761000;120743000;0;1997951000;4629517000;84136000;1328006000;4003035000;2142198000;68653000;2021-06-30;61919000;24260
7504838000;0;580289000;3087758000;547827000;24260;4524112000;31464000;2270388000;1946083000;119590000;0;2181072000;7504838000;125357000;2385869000;4417080000;2432899000;119044000;2021-09-30;86927000;24260
7910994000;0;340929000;3287514000;564880000;24260;4396505000;32787000;2700545000;2066865000;121179000;0;2318853000;7910994000;99488000;2003502000;4623480000;2949609000;104413000;2021-12-31;82069000;24260
7590787000;0;319346000;3124668000;568160000;24260;4099530000;34493000;2505079000;2036798000;122592000;0;2188612000;7590787000;133546000;1997289000;4466119000;2923097000;111104000;2022-03-31;52262000;24260
7122345000;0;234058000;2497659000;517799000;24260;4131642000;17706000;1975544000;2048691000;129727000;0;2319813000;7122345000;62711000;1526212000;4624686000;2472904000;94932000;2022-06-30;53229000;24260
7249059000;0;131722000;2478668000;589642000;24260;4147929000;22003000;1982329000;2070708000;128651000;0;2442086000;7249059000;112629000;1531273000;4770391000;2511488000;133092000;2022-09-30;86298000;24260
