assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
26351000000;0;3681000000;13171000000;9084000000;24295;9602000000;0;0;6114000000;499000000;3026000000;331000000;26351000000;3850000000;2049000000;13180000000;7665000000;4759000000;2019-09-30;1872000000;24295
25531000000;0;2114000000;12046000000;8556000000;24295;8766000000;0;0;6233000000;517000000;3390000000;356000000;25531000000;4303000000;2149000000;13485000000;8209000000;4649000000;2019-12-31;2331000000;24295
28521000000;0;5760000000;14902000000;8111000000;24295;9000000000;0;0;6198000000;523000000;2974000000;368000000;28521000000;4800000000;5274000000;13619000000;11410000000;4013000000;2020-03-31;1558000000;24295
27362000000;0;5104000000;13793000000;6025000000;24295;9813000000;0;0;6153000000;544000000;2321000000;361000000;27362000000;2710000000;6245000000;13569000000;11524000000;3891000000;2020-06-30;1320000000;24295
27553000000;0;4303000000;13740000000;6156000000;24295;9615000000;0;0;6158000000;331000000;2948000000;538000000;27553000000;2724000000;6340000000;13813000000;11782000000;4036000000;2020-09-30;1795000000;24295
28109000000;0;3196000000;13533000000;6967000000;24295;12207000000;0;0;6212000000;358000000;3545000000;565000000;28109000000;2212000000;6113000000;14576000000;8935000000;4336000000;2020-12-31;2226000000;24295
29098000000;0;3746000000;14945000000;4685000000;24295;12700000000;0;0;6186000000;438000000;3561000000;603000000;29098000000;812000000;8862000000;14153000000;11713000000;4458000000;2021-03-31;1577000000;24295
28399000000;0;2182000000;14736000000;5554000000;24295;11775000000;0;0;6131000000;526000000;4637000000;649000000;28399000000;761000000;8191000000;13663000000;11070000000;5016000000;2021-06-30;2420000000;24295
29397000000;0;1930000000;15501000000;6063000000;24295;11287000000;0;0;6173000000;585000000;4814000000;658000000;29397000000;1317000000;9313000000;13896000000;12047000000;5959000000;2021-09-30;3046000000;24295
33718000000;0;3553000000;18087000000;7310000000;24295;12308000000;0;0;6208000000;453000000;5675000000;671000000;33718000000;1433000000;12239000000;15631000000;14100000000;5984000000;2021-12-31;3337000000;24295
36378000000;0;3907000000;19010000000;8431000000;24295;12582000000;0;0;6148000000;638000000;6178000000;4899000000;36378000000;1482000000;12301000000;17368000000;15365000000;6050000000;2022-03-31;3607000000;24295
38978000000;0;2444000000;20849000000;9207000000;24295;13067000000;0;0;6142000000;1055000000;8431000000;5122000000;38978000000;1899000000;13758000000;18129000000;16704000000;6855000000;2022-06-30;4697000000;24295
38557000000;0;2548000000;19820000000;8701000000;24295;12636000000;0;0;6244000000;1238000000;7284000000;5311000000;38557000000;1609000000;14134000000;18737000000;17220000000;5931000000;2022-09-30;2921000000;24295
