assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2934264000;0;76365000;423781000;462673000;24317;1755119000;0;102823000;1078433000;1298244000;86658000;20419000;2934264000;26248000;106522000;2510483000;716472000;60268000;2019-09-30;199540000;24317
3527999000;0;325276000;862317000;671506000;24317;1786629000;0;278755000;1163578000;1389720000;99041000;0;3527999000;116556000;403314000;2665682000;1069864000;60361000;2019-12-31;286432000;24317
3429357000;0;69314000;715110000;635678000;24317;1735262000;0;398353000;1174109000;1405848000;89312000;0;3429357000;288442000;402931000;2714247000;1058417000;71461000;2020-03-31;121143000;24317
3537229000;0;35672000;816273000;714738000;24317;1550950000;0;542445000;1164386000;1401829000;92120000;0;3537229000;330386000;602393000;2720956000;1271541000;66196000;2020-06-30;146160000;24317
3490018000;0;47235000;753188000;775864000;24317;1448074000;0;423996000;1180633000;1395855000;114506000;0;3490018000;339441000;598408000;2736830000;1266080000;84182000;2020-09-30;165389000;24317
3932729000;0;219669000;1119073000;564505000;24317;1838459000;0;601124000;1195664000;1473211000;125612000;0;3932729000;53612000;777164000;2813656000;1529765000;107188000;2020-12-31;217616000;24317
3679034000;0;130818000;870140000;482428000;24317;1678936000;0;484712000;1180618000;1470672000;118597000;0;3679034000;53480000;772939000;2808894000;1517670000;73498000;2021-03-31;140902000;24317
3644791000;0;147584000;786197000;606574000;24317;1582374000;0;359359000;1190519000;1503723000;123423000;0;3644791000;143275000;681748000;2858594000;1455843000;96425000;2021-06-30;151945000;24317
3710897000;0;181637000;792617000;686116000;24317;1547138000;0;304106000;1197704000;1532622000;126388000;0;3710897000;154643000;678034000;2918280000;1477643000;114620000;2021-09-30;180814000;24317
3813381000;0;111589000;813672000;761323000;24317;1572720000;0;339192000;1225502000;1577755000;142767000;0;3813381000;153535000;636735000;2999709000;1479338000;139267000;2021-12-31;247917000;24317
3724841000;0;115183000;755426000;785782000;24317;1534045000;0;264979000;1226344000;1540378000;134889000;0;3724841000;198904000;599207000;2969415000;1405014000;157110000;2022-03-31;218526000;24317
3960425000;0;82409000;971913000;754562000;24317;1485254000;0;481470000;1233659000;1549840000;147422000;0;3960425000;150081000;905048000;2988512000;1720609000;168397000;2022-06-30;219675000;24317
3994231000;0;18135000;998163000;851383000;24317;1456994000;0;530504000;1248177000;1546617000;178493000;0;3994231000;210439000;867538000;2996068000;1685854000;173295000;2022-09-30;228704000;24317
