assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
17079675000;0;397333000;976488000;2144648000;2453;14251640000;4248000;115291000;2313000;1843000;12000;14533644000;17079675000;0;0;16103187000;683387000;443179000;2016-09-30;8455000;2453
15419813000;0;69352000;1341139000;1749445000;2453;12930281000;4090000;133359000;2201000;1852000;12000;12627857000;15419813000;0;0;14078674000;740087000;673239000;2016-12-31;20936000;2453
15716101000;0;35683000;1209478000;1682970000;2453;13288769000;4228000;57063000;2089000;1827000;12000;13100180000;15716101000;0;0;14506623000;744362000;676127000;2017-03-31;22718000;2453
15526813000;0;14907000;1265737000;1407581000;2453;13366938000;3936000;21559000;1991000;1803000;9000;12868954000;15526813000;0;0;14261076000;752294000;771764000;2017-06-30;21530000;2453
15301121000;0;131541000;1581387000;1496849000;2453;13283109000;4098000;21641000;1900000;1777000;9000;12605561000;15301121000;0;0;13719734000;521163000;966002000;2017-09-30;23571000;2453
15848942000;0;38672000;1058819000;974190000;2453;14325986000;4150000;63960000;1810000;2458000;10000;13692183000;15848942000;0;0;14790123000;548766000;838067000;2017-12-31;4667000;2453
16382412000;0;21030000;807928000;1033294000;2453;14735245000;4196000;20256000;273487000;14152000;10000;14174491000;16382412000;20456000;44576000;15574484000;613873000;635351000;2018-03-31;6632000;2453
16429247000;0;63045000;944616000;1083822000;2453;14724206000;4097000;37107000;2506000;6730000;10000;14101036000;16429247000;18653000;43484000;15484631000;621219000;433672000;2018-06-30;8812000;2453
17058791000;0;39974000;919885000;1472991000;2453;14968534000;4317000;18902000;2365000;6493000;10000;14763617000;17058791000;13088000;44286000;16138906000;617266000;448575000;2018-09-30;9107000;2453
16566491000;0;54330000;2718709000;1377621000;2453;14578719000;1360608000;80781000;2250000;6125000;10000;12405706000;16566491000;0;45081000;13847782000;610151000;951397000;2018-12-31;9285000;2453
17299182000;0;15464000;2606162000;1300077000;2453;15374931000;1360771000;21317000;2145000;5708000;10000;13250169000;17299182000;0;45879000;14693020000;624174000;950626000;2019-03-31;8433000;2453
19385692000;0;35146000;2652652000;1267232000;2453;17489512000;1370780000;91498000;2055000;5293000;10000;14885254000;19385692000;0;46704000;16733040000;628948000;939268000;2019-06-30;7562000;2453
18822081000;0;122251000;2640928000;823008000;2453;17207297000;4338000;227901000;1635000;4611000;10000;14491701000;18822081000;0;47550000;16181153000;791776000;880056000;2019-09-30;1826000;2453
17752225000;0;64356000;3250891000;900274000;2453;16098255000;4250000;185211000;1546000;4175000;10000;12842731000;17752225000;0;48252000;14501334000;965336000;1727089000;2019-12-31;2705000;2453
17597654000;0;19920000;2486552000;851955000;2453;15828798000;4519000;78965000;1457000;3831000;10000;13055693000;17597654000;48845000;0;15111102000;916901000;1725364000;2020-03-31;2282000;2453
18667353000;0;32278000;2592110000;861104000;2453;16872604000;4458000;106679000;1368000;3332000;0;14181637000;18667353000;49298000;0;16075243000;933645000;1320563000;2020-06-30;1786000;2453
19230872000;0;24133000;2611682000;989494000;2453;17297668000;4573000;123746000;1280000;2988000;0;14657021000;19230872000;49635000;0;16619190000;943710000;1444742000;2020-09-30;1716000;2453
20062483000;0;422647000;3081454000;1649860000;2453;17472666000;4682000;116861000;1192000;2655000;0;15139383000;20062483000;49953000;0;16981029000;939957000;1272878000;2020-12-31;2045000;2453
20416677000;0;1777947000;3280648000;1567527000;2453;17894867000;4960000;100755000;1104000;2341000;0;15295361000;20416677000;50274000;0;17136029000;954283000;1390140000;2021-03-31;1612000;2453
21673753000;0;897665000;2834006000;868455000;2453;19841104000;4904000;1024401000;1017000;1998000;0;16800249000;21673753000;50706000;0;18839747000;964194000;899585000;2021-06-30;1684000;2453
22168867000;0;73591000;1852776000;932411000;2453;20262155000;5200000;701105000;931000;1670000;0;18411485000;22168867000;51388000;0;20316091000;974301000;1067589000;2021-09-30;58346000;2453
22619454000;0;26692000;2446495000;2220330000;2453;19456411000;5354000;431222000;1411000;1380000;0;18183135000;22619454000;52430000;0;20172959000;942713000;1977946000;2021-12-31;64682000;2453
24123136000;0;124386000;2546977000;2488388000;2453;20666993000;5635000;293237000;1325000;1121000;0;19431081000;24123136000;53830000;0;21576159000;967755000;2115331000;2022-03-31;83953000;2453
23245641000;0;63149000;2460544000;1907049000;2453;20363513000;4870000;158689000;1264000;865000;10000;18774803000;23245641000;55554000;0;20785097000;975079000;2223949000;2022-06-30;110397000;2453
24476557000;0;172595000;2896105000;2389694000;2453;21073852000;5355000;259930000;1250000;699000;0;19532816000;24476557000;57580000;0;21580452000;1013011000;2449241000;2022-09-30;133049000;2453
