assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
19761666000;0;4409000;852076000;1441794000;2577;10621349000;"";225048000;17293536000;0;48167000;8172000;19761666000;263254000;2738053000;18909590000;7698523000;308990000;2009-12-31;39370000;2577
18884004000;0;77000;857842000;1583289000;2577;10474951000;"";170683000;16476849000;0;51670000;8172000;18884004000;572901000;2197143000;18026162000;6825764000;353702000;2010-12-31;68302000;2577
18649331000;0;1669000;795653000;1401922000;2577;10510942000;"";268951000;16329683000;0;55785000;8172000;18649331000;382376000;2171290000;17853678000;6736467000;362778000;2011-03-31;38307000;2577
18545994000;0;2101000;912221000;1465507000;2577;10533507000;"";428364000;16171045000;0;47735000;8172000;18545994000;409633000;2093583000;17633773000;6546980000;323150000;2011-06-30;56346000;2577
18326510000;0;2443000;881959000;1274329000;2577;10434942000;"";397113000;16004148000;0;43772000;8172000;18326510000;421050000;2258333000;17444551000;6617239000;335349000;2011-09-30;46577000;2577
18246081000;0;3367000;979123000;1599558000;2577;10118127000;"";431745000;15841006000;0;41802000;8172000;18246081000;425906000;2223375000;17266958000;6528396000;377903000;2011-12-31;38071000;2577
18117083000;0;5158000;921311000;1421848000;2577;10257222000;"";313499000;15672661000;0;40225000;8172000;18117083000;230293000;2178723000;17195772000;6438013000;451801000;2012-03-31;17251000;2577
17995165000;0;6711000;989950000;1285223000;2577;10298149000;"";421419000;15516806000;0;39580000;0;17995165000;246572000;2252923000;17005215000;6411793000;409082000;2012-06-30;15116000;2577
16874524000;0;271000;909103000;1422805000;2577;10447720000;"";390466000;15340232000;0;34333000;0;16874524000;670237000;1802187000;15965421000;5003999000;369418000;2012-09-30;10941000;2577
16889872000;0;212000;1075237000;1790097000;2577;9879937000;"";513313000;15181566000;0;33804000;0;16889872000;703789000;1763999000;15814635000;5219838000;342294000;2012-12-31;20619000;2577
17259300000;0;6045000;1639350000;1767027000;2577;10218948000;"";725860000;15000650000;0;34439000;0;17259300000;668054000;1748216000;15619950000;5273325000;742587000;2013-03-31;9267000;2577
17387800000;0;5339000;1897375000;1869224000;2577;10372284000;"";1034428000;11351353000;0;35566000;0;17387800000;748214000;1766466000;15490425000;5146292000;365425000;2013-06-30;15104000;2577
16942307000;0;31195000;1594817000;1283878000;2577;10479149000;"";1048083000;11210646000;0;34304000;0;16942307000;218348000;1765343000;15347490000;5179280000;360968000;2013-09-30;12381000;2577
15174853000;0;13997000;1471399000;1251127000;2577;9317386000;"";825652000;11076739000;0;34964000;0;15174853000;193781000;1569012000;13703454000;4606340000;471279000;2013-12-31;21907000;2577
16022722000;0;5780000;2580358000;2270981000;2577;10144684000;"";1429148000;10933181000;0;34361000;0;16022722000;1084976000;627594000;13442364000;3607057000;1005079000;2014-03-31;7893000;2577
16033084000;0;138000;2660401000;2198785000;2577;10174899000;"";2058910000;10787840000;0;34773000;0;16033084000;1100095000;559746000;13372683000;3659400000;455936000;2014-06-30;9828000;2577
16189224000;0;171000;2950104000;2207130000;2577;10346229000;"";2447582000;10635085000;0;33788000;0;16189224000;1104872000;601508000;13239120000;3635865000;353252000;2014-09-30;7220000;2577
14687886000;0;5796000;2948585000;2202432000;2577;8629077000;"";2422056000;8504161000;0;34788000;0;14687886000;1149797000;605267000;11739301000;3856377000;399033000;2014-12-31;16853000;2577
13898930000;0;2424000;2156534000;1276833000;2577;8719726000;"";1698663000;8422515000;0;31148000;0;13898930000;178497000;703181000;11742396000;3902371000;318411000;2015-03-31;9757000;2577
13179241000;0;4719000;1661746000;1590289000;2577;7792344000;"";1193800000;8273718000;0;30167000;0;13179241000;158680000;621630000;11517495000;3796608000;326629000;2015-06-30;10809000;2577
12557354000;0;1415000;1055760000;953954000;2577;7713701000;"";590441000;7488230000;0;30580000;0;12557354000;210676000;759907000;11501594000;3889699000;330663000;2015-09-30;9027000;2577
11986763000;0;3558000;994148000;998224000;2577;7310892000;"";544995000;7260107000;40544000;0;0;11986763000;206736000;675973000;10992615000;3677647000;339567000;2015-12-31;13925000;2577
11857674000;0;2179000;993231000;881775000;2577;7341267000;"";606163000;7200911000;40259000;0;0;11857674000;196803000;588387000;10864443000;3634632000;286786000;2016-03-31;5735000;2577
11705522000;0;4145000;954398000;771122000;2577;7372690000;"";597641000;7132362000;40494000;0;0;11705522000;178024000;471206000;10751124000;3561710000;251278000;2016-06-30;7720000;2577
