assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
515089000;0;0;190000;2194000;3298;511583000;941000;0;63000;25000;0;514479000;515089000;169000;0;514899000;1312000;79000;2009-12-31;19000;3298
533736000;0;0;214000;8247000;3298;523883000;405000;8000;63000;25000;0;532607000;533736000;0;0;533522000;1606000;118000;2010-12-31;22000;3298
532961000;0;0;201000;8242000;3298;522969000;398000;0;63000;25000;0;531669000;532961000;150000;0;532760000;1750000;113000;2011-03-31;43000;3298
537451000;0;2000;295000;7805000;3298;528091000;392000;94000;63000;25000;0;535490000;537451000;0;0;537156000;1555000;111000;2011-06-30;74000;3298
529129000;0;0;199000;3109000;3298;524522000;392000;1000;63000;25000;0;528009000;529129000;0;0;528930000;1498000;110000;2011-09-30;27000;3298
538092000;0;0;207000;12222000;3298;524238000;381000;0;63000;25000;0;537323000;538092000;0;0;537885000;1632000;57000;2011-12-31;3000;3298
538779000;0;0;199000;12102000;3298;525045000;373000;0;63000;25000;0;538152000;538779000;118000;0;538580000;1632000;56000;2012-03-31;44000;3298
520572000;0;1000;178000;5356000;3298;513871000;371000;0;63000;25000;0;519966000;520572000;0;0;520394000;1345000;34000;2012-06-30;30000;3298
515484000;0;0;2718000;5356000;3298;508783000;370000;2541000;63000;25000;0;512338000;515484000;0;0;512766000;1345000;34000;2012-09-30;17000;3298
528470000;0;3000;4250000;18698000;3298;508355000;373000;4069000;63000;25000;0;523815000;528470000;0;0;524220000;1417000;34000;2012-12-31;4000;3298
528836000;0;2000;143000;18876000;3298;508543000;368000;0;63000;25000;0;528303000;528836000;149000;0;528693000;1417000;34000;2013-03-31;44000;3298
511275000;0;36000;177000;10357000;3298;497169000;359000;0;63000;25000;0;510709000;511275000;300000;0;511098000;3749000;34000;2013-06-30;30000;3298
515059000;0;466000;607000;13470000;3298;500173000;355000;0;63000;25000;0;514063000;515059000;0;0;514452000;1416000;34000;2013-09-30;18000;3298
527588000;0;12000;159000;18705000;3298;507451000;357000;6000;63000;25000;0;527242000;527588000;0;0;527429000;1432000;34000;2013-12-31;6000;3298
521789000;0;2838000;2987000;19542000;3298;500815000;348000;0;63000;25000;0;518615000;521789000;0;0;518802000;1432000;34000;2014-03-31;43000;3298
517526000;0;17000;175000;12489000;3298;503606000;343000;0;63000;25000;0;517185000;517526000;115000;0;517351000;1431000;34000;2014-06-30;31000;3298
505876000;0;3231000;3390000;10995000;3298;493450000;337000;0;63000;25000;0;502320000;505876000;4000;0;502486000;1431000;34000;2014-09-30;21000;3298
508396000;0;2086000;2254000;24064000;3298;482793000;336000;0;63000;25000;0;505976000;508396000;0;0;506142000;1539000;34000;2014-12-31;8000;3298
483270000;0;3000;173000;24198000;3298;457533000;331000;0;63000;25000;0;479417000;483270000;128000;0;483097000;1539000;34000;2015-03-31;41000;3298
489309000;0;6905000;7075000;23991000;3298;463780000;323000;0;63000;25000;0;482022000;489309000;7447000;0;482234000;1538000;34000;2015-06-30;38000;3298
450784000;0;66000;206000;19868000;3298;429162000;318000;0;63000;25000;0;447708000;450784000;7497000;208000;450578000;1754000;0;2015-09-30;27000;3298
465949000;0;1000;141000;26869000;3298;437388000;345000;0;63000;25000;0;460003000;465949000;7932000;187000;465808000;1692000;0;2015-12-31;17000;3298
477768000;0;884000;1025000;24714000;3298;451399000;345000;0;63000;25000;0;474929000;477768000;5737000;152000;476743000;1655000;0;2016-03-31;71000;3298
481802000;0;8000;150000;13954000;3298;466219000;314000;0;63000;25000;0;480538000;481802000;280000;126000;481652000;1629000;0;2016-06-30;46000;3298
