assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2777969000;"";"";1428314000;568649000;3891;534812000;"";"";"";"";"";"";2777969000;"";"";"";"";"";2009-12-31;"";3891
3004827000;"";"";1753345000;772394000;3891;579474000;"";"";"";"";"";"";3004827000;"";"";"";"";"";2010-12-31;"";3891
2978381000;"";"";1667680000;779005000;3891;591739000;"";"";"";"";"";"";2978381000;"";"";"";"";"";2011-03-31;"";3891
3152124000;"";"";1743757000;1082649000;3891;605784000;"";"";"";"";"";"";3152124000;"";"";"";"";"";2011-06-30;"";3891
3722738000;"";"";2190205000;1131739000;3891;625858000;"";"";"";"";"";"";3722738000;"";"";"";"";"";2011-09-30;"";3891
3976783000;"";"";2213579000;1070448000;3891;635362000;"";"";"";"";"";"";3976783000;"";"";"";"";"";2011-12-31;"";3891
4033473000;"";"";2146880000;1506110000;3891;654504000;"";"";"";"";"";"";4033473000;"";"";"";"";"";2012-03-31;"";3891
4766309000;"";"";2615194000;1693167000;3891;669093000;"";"";"";"";"";"";4766309000;"";"";"";"";"";2012-06-30;"";3891
5122017000;"";"";2830942000;1757791000;3891;696061000;"";"";"";"";"";"";5122017000;"";"";"";"";"";2012-09-30;"";3891
6091012000;"";"";3601652000;2270540000;3891;703839000;"";"";"";"";"";"";6091012000;"";"";"";"";"";2012-12-31;"";3891
5556070000;"";"";3171438000;1737530000;3891;720607000;"";"";"";"";"";"";5556070000;"";"";"";"";"";2013-03-31;"";3891
5359708000;"";"";3037173000;1876957000;3891;725452000;"";"";"";"";"";"";5359708000;"";"";"";"";"";2013-06-30;"";3891
6125481000;"";"";3927516000;2307942000;3891;735745000;"";"";"";"";"";"";6125481000;"";"";"";"";"";2013-09-30;"";3891
5899831000;"";"";3798091000;2556442000;3891;743185000;"";"";"";"";"";"";5899831000;"";"";"";"";"";2013-12-31;"";3891
5897130000;"";"";3851415000;2697669000;3891;750985000;"";"";"";"";"";"";5897130000;"";"";"";"";"";2014-03-31;"";3891
5281664000;"";"";3352081000;2178744000;3891;753084000;"";"";"";"";"";"";5281664000;"";"";"";"";"";2014-06-30;"";3891
5388309000;"";"";3336627000;2792252000;3891;761882000;"";"";"";"";"";"";5388309000;"";"";"";"";"";2014-09-30;"";3891
5142272000;"";"";3128591000;2632657000;3891;765926000;"";"";"";"";"";"";5142272000;"";"";"";"";"";2014-12-31;"";3891
5312531000;"";"";3318869000;2612475000;3891;773920000;"";"";"";"";"";"";5312531000;"";"";"";"";"";2015-03-31;"";3891
5445174000;"";"";3498295000;3342368000;3891;777658000;"";"";"";"";"";"";5445174000;"";"";"";"";"";2015-06-30;"";3891
5033858000;"";"";3010599000;2238417000;3891;778749000;"";"";"";"";"";"";5033858000;"";"";"";"";"";2015-09-30;"";3891
4940418000;"";"";2937781000;1965538000;3891;781749000;"";"";"";"";"";"";4940418000;"";"";"";"";"";2015-12-31;"";3891
4905294000;"";"";3014507000;2033865000;3891;790300000;"";"";"";"";"";"";4905294000;"";"";"";"";"";2016-03-31;"";3891
4220715000;"";"";2364861000;1348216000;3891;793160000;"";"";"";"";"";"";4220715000;"";"";"";"";"";2016-06-30;"";3891
