assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
36486000000;0;21501000;650422000;416482000;3980;27582314000;258632000;2460000;1187125000;0;257288000;32993704000;36486000000;259470000;1127052000;35835578000;8487204000;265422000;2016-09-30;87621000;3980
32888695000;0;34311000;694755000;399384000;3980;24028136000;246517000;2896000;1164686000;0;254596000;29331436000;32888695000;239794000;1011396000;32193940000;8461175000;218594000;2016-12-31;94687000;3980
32928902000;0;57249000;532720000;321965000;3980;24663483000;252862000;100000;1062208000;0;199179000;29712723000;32928902000;180678000;848126000;32396182000;7943454000;195260000;2017-03-31;86706000;3980
33548565000;0;11840000;555156000;399350000;3980;25083248000;262529000;101000;1044108000;0;204007000;30207435000;33548565000;180653000;676220000;32993409000;8065967000;269233000;2017-06-30;101758000;3980
32881928000;0;12129000;513141000;267346000;3980;24640181000;262435000;104000;1030352000;0;216946000;29673374000;32881928000;75723000;868181000;32368787000;7974401000;223457000;2017-09-30;125948000;3980
32423852000;0;92615000;1056754000;524672000;3980;23645201000;248740000;3743000;1163385000;0;391456000;28294244000;32423852000;105313000;787676000;31367098000;8253979000;334715000;2017-12-31;219392000;3980
32520168000;0;53254000;992750000;542752000;3980;23879339000;255192000;17396000;1152233000;0;498841000;27991852000;32520168000;96165000;710256000;31527418000;8098077000;330263000;2018-03-31;277249000;3980
35172701000;0;52335000;1228219000;553111000;3980;25387067000;291139000;8508000;1140750000;0;655517000;30490232000;35172701000;53273000;859019000;33944482000;9232523000;353779000;2018-06-30;318668000;3980
36617435000;0;33605000;1517301000;562903000;3980;26549563000;212670000;14991000;1134334000;0;908004000;31551832000;36617435000;50194000;1333469000;35100134000;9504969000;394461000;2018-09-30;368031000;3980
35923051000;0;151178000;1458611000;611636000;3980;25730604000;207967000;11905000;1122432000;0;780419000;29929064000;35923051000;53676000;1680685000;34464440000;9580811000;328979000;2018-12-31;237575000;3980
36591056000;0;55424000;1545354000;517969000;3980;26235574000;210777000;111000;1161143000;0;908966000;30439405000;36591056000;77012000;2097251000;35045702000;9837513000;358862000;2019-03-31;272676000;3980
37476638000;0;263834000;2036251000;466248000;3980;26365051000;203394000;293337000;1169817000;0;850957000;31794390000;37476638000;24436000;3017295000;35440387000;10645339000;339996000;2019-06-30;249871000;3980
38617153000;0;35730000;2164713000;472847000;3980;27282379000;215941000;916577000;1178173000;0;738868000;32705610000;38617153000;70374000;2945565000;36452440000;10861927000;311881000;2019-09-30;219162000;3980
38056383000;0;25335000;3206538000;535516000;3980;26955701000;217426000;1897788000;1210698000;0;614196000;30544174000;38056383000;68525000;2893029000;34849845000;10565166000;393332000;2019-12-31;226111000;3980
41761315000;0;53321000;3403766000;496848000;3980;29120586000;204147000;1777284000;1200808000;17716000;707712000;34046859000;41761315000;100063000;2893510000;38357549000;12143881000;218942000;2020-03-31;231203000;3980
43140413000;0;20043000;3730072000;428084000;3980;30051622000;209751000;1644839000;1183313000;21037000;688972000;35059150000;43140413000;61176000;2893992000;39410341000;12660707000;276587000;2020-06-30;152390000;3980
44552482000;0;610458000;3792498000;578684000;3980;31270595000;222708000;1969197000;1233186000;23570000;588788000;37211419000;44552482000;77083000;2894473000;40759984000;12703203000;296233000;2020-09-30;215650000;3980
44040696000;0;808989000;3706255000;2190757000;3980;30860271000;224939000;1236423000;1224362000;25834000;665102000;37010457000;44040696000;7463000;2894954000;40334441000;10989668000;380643000;2020-12-31;368373000;3980
47612037000;0;719396000;3728091000;1702567000;3980;34443273000;250988000;422431000;1214645000;26909000;934310000;40509238000;47612037000;22420000;2907927000;43883946000;11466197000;419431000;2021-03-31;464905000;3980
47192335000;0;139432000;2225948000;906394000;3980;35913583000;226792000;14194000;1237150000;30530000;973560000;41712536000;47192335000;14072000;2906884000;44966387000;10372358000;483314000;2021-06-30;524394000;3980
53479295000;0;61929000;4852496000;1826875000;3980;41083025000;215379000;932488000;1266127000;32078000;1103535000;45560936000;53479295000;52039000;2908323000;48626799000;10569395000;633257000;2021-09-30;606149000;3980
54341473000;0;345717000;3848004000;2903926000;3980;42604282000;211367000;968270000;1365447000;27713000;1205584000;46937472000;54341473000;1531956000;1406119000;50493469000;8833265000;701988000;2021-12-31;887169000;3980
52218389000;0;411700000;3033697000;2820589000;3980;42328364000;207887000;0;1389670000;29113000;1307438000;46071901000;52218389000;1608041000;1405075000;49184692000;7069436000;722375000;2022-03-31;786233000;3980
57047394000;0;200586000;3263114000;3402157000;3980;47333225000;185111000;0;1438611000;28992000;1694581000;50360607000;57047394000;2154847000;798724000;53784280000;6312012000;856826000;2022-06-30;896258000;3980
58493796000;0;66287000;2942627000;3277883000;3980;49188157000;190500000;0;1483346000;29058000;1708579000;52200323000;58493796000;2259535000;995581000;55551169000;6027756000;672217000;2022-09-30;623499000;3980
