assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1977933000;0;25922000;414150000;150717000;4669;1683800000;0;0;215931000;65000;98710000;1315678000;1977933000;156000;0;1563783000;143416000;270801000;2009-12-31;57480000;4669
2258062000;0;74680000;561517000;151255000;4669;1949478000;0;0;231782000;2158000;168301000;1430215000;2258062000;219000;5893000;1696545000;157329000;293037000;2010-12-31;31486000;4669
2287690000;0;41903000;559878000;154818000;4669;2008847000;0;0;235490000;2382000;175609000;1436621000;2287690000;157000;5895000;1727812000;124025000;329059000;2011-03-31;31924000;4669
2370909000;0;17573000;611001000;99807000;4669;2107656000;0;0;234561000;2382000;189678000;1505237000;2370909000;1113000;4964000;1759908000;163446000;326757000;2011-06-30;33867000;4669
2437098000;0;34534000;669997000;105714000;4669;2169739000;0;0;236556000;2382000;193712000;1508101000;2437098000;708000;2369000;1767101000;161645000;380612000;2011-09-30;27308000;4669
2523229000;0;377000;604392000;126030000;4669;2238348000;0;67374000;601176000;2343000;184445000;1294948000;2523229000;786000;2180000;1918837000;158851000;337094000;2011-12-31;10938000;4669
2598367000;0;428000;681920000;143356000;4669;2288755000;0;79652000;592727000;2228000;171380000;1299959000;2598367000;2092000;10371000;1916447000;166256000;401225000;2012-03-31;20557000;4669
2664547000;0;275000;709195000;88020000;4669;2372996000;0;60549000;596062000;2112000;172558000;1334049000;2664547000;2954000;10648000;1955352000;203531000;453153000;2012-06-30;20081000;4669
2736900000;0;213000;779575000;103720000;4669;2431861000;0;61520000;595257000;1997000;177731000;1335823000;2736900000;3319000;9780000;1957325000;201319000;529031000;2012-09-30;25693000;4669
2842644000;0;359000;601455000;127902000;4669;2526929000;0;116772000;595011000;1881000;176590000;1640052000;2842644000;3872000;16666000;2241189000;187813000;295814000;2012-12-31;11961000;4669
2894714000;0;338000;667765000;150195000;4669;2557117000;0;66969000;593685000;1765000;180371000;1627130000;2894714000;3807000;15757000;2226949000;187402000;415511000;2013-03-31;22647000;4669
2970499000;0;267000;719889000;89981000;4669;2649899000;0;71192000;593102000;1650000;170992000;1651408000;2970499000;3884000;18123000;2250610000;230619000;466045000;2013-06-30;32243000;4669
3065745000;0;822000;796782000;99279000;4669;2739263000;0;72437000;591400000;1535000;155704000;1671957000;3065745000;4945000;16190000;2268963000;227203000;557384000;2013-09-30;25376000;4669
3206298000;0;174000;573705000;168311000;4669;2829123000;0;58297000;591488000;1419000;153491000;2035060000;3206298000;5057000;15207000;2632593000;208864000;333223000;2013-12-31;21575000;4669
3271185000;0;86000;641896000;209243000;4669;2867176000;0;59532000;595075000;1317000;150562000;2027678000;3271185000;5330000;14051000;2629289000;194766000;421162000;2014-03-31;30945000;4669
3315183000;0;209000;629107000;127055000;4669;2958344000;0;60815000;595282000;1202000;167806000;2084183000;3315183000;4933000;12960000;2686076000;229784000;383292000;2014-06-30;18512000;4669
3438584000;0;151000;758633000;193005000;4669;3017719000;0;53437000;594050000;1087000;176726000;2079248000;3438584000;4971000;11767000;2679951000;227860000;517209000;2014-09-30;29803000;4669
3578305000;0;968000;565663000;179441000;4669;3175773000;0;29244000;591648000;971000;175554000;2414731000;3578305000;5112000;10509000;3012642000;223091000;354067000;2014-12-31;17461000;4669
3685722000;0;202000;668098000;247182000;4669;3219180000;0;29902000;586883000;855000;173115000;2424431000;3685722000;5090000;9297000;3017624000;219360000;452643000;2015-03-31;28992000;4669
3647271000;0;200000;630689000;175273000;4669;3248518000;0;14406000;590151000;740000;159975000;2420018000;3647271000;4890000;8391000;3016582000;223480000;436695000;2015-06-30;22836000;4669
3699466000;0;379000;733840000;239678000;4669;3231474000;0;14809000;588840000;624000;167217000;2370430000;3699466000;4970000;9322000;2965626000;228314000;532973000;2015-09-30;43176000;4669
3810287000;0;211000;506439000;189107000;4669;3390108000;0;16040000;588326000;509000;164925000;2709163000;3810287000;4736000;8340000;3303848000;231072000;312611000;2015-12-31;37489000;4669
3865190000;0;157000;626288000;292517000;4669;3340393000;0;15945000;585696000;406000;168852000;2645979000;3865190000;4350000;7379000;3238902000;232280000;422456000;2016-03-31;55165000;4669
3823210000;0;305000;646982000;214960000;4669;3346299000;0;5135000;586911000;299000;160886000;2581890000;3823210000;4183000;6516000;3176228000;261951000;439658000;2016-06-30;50985000;4669
