assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
22768413000;0;2294124000;6307821000;7153541000;4820;4978644000;0;435069000;10828453000;2312011000;1547165000;554899000;22768413000;2197306000;7927865000;16460592000;10636228000;1526884000;2009-12-31;3326678000;4820
30407089000;0;2339060000;5995004000;7386642000;4820;10439099000;18079000;236319000;11100184000;2280111000;1789505000;6713887000;30407089000;1730716000;9309704000;24412085000;12581348000;1199461000;2010-12-31;4462552000;4820
30552070000;0;2074149000;6366287000;7226183000;4820;10777916000;15168000;471615000;11062011000;2274407000;1984938000;6818143000;30552070000;1670889000;9271854000;24185783000;12547971000;1283236000;2011-03-31;4409331000;4820
30335521000;0;1773236000;6380659000;6821484000;4820;10956953000;131005000;250160000;11155447000;2264391000;2224032000;6824344000;30335521000;1937926000;8925736000;23954862000;12557084000;1348550000;2011-06-30;4170573000;4820
31300212000;0;1512425000;6308290000;7827006000;4820;9986004000;138137000;185392000;11334022000;2255761000;2028709000;7931937000;31300212000;1782829000;10285594000;24991922000;13487202000;1745538000;2011-09-30;5104694000;4820
32054984000;0;2224335000;6318113000;6629975000;4820;9784788000;215322000;168979000;11665942000;2248675000;1968509000;8098973000;32054984000;961519000;11276196000;25736871000;15640221000;1289923000;2011-12-31;5052757000;4820
33686530000;0;2495976000;7307642000;7753446000;4820;9894037000;240272000;286359000;11948206000;2241286000;2274285000;8188468000;33686530000;949827000;10223842000;26378888000;16039047000;1566575000;2012-03-31;6091084000;4820
35120899000;0;2682328000;7791336000;9922836000;4820;8502466000;244870000;144570000;11998814000;2253829000;2618302000;9840725000;35120899000;983331000;10991228000;27329563000;16695597000;1505829000;2012-06-30;7008513000;4820
35598321000;0;2830396000;8187390000;10034724000;4820;8343616000;261446000;240457000;11847268000;2246258000;2180381000;9871840000;35598321000;1053121000;10886216000;27410931000;17219981000;1994013000;2012-09-30;6942871000;4820
35366097000;0;1627928000;8182981000;9777348000;4820;8613063000;87813000;155535000;11794385000;2241565000;2478550000;9598219000;35366097000;1887811000;10534287000;27183116000;16975686000;2900973000;2012-12-31;6446898000;4820
36322895000;0;1877056000;9053570000;10173423000;4820;8814174000;108348000;159007000;11723191000;2231938000;2763650000;9742660000;36322895000;2194893000;10416128000;27269325000;17335298000;3159669000;2013-03-31;6508010000;4820
38102234000;0;2201892000;9611397000;11890887000;4820;7801868000;137633000;50108000;11618092000;2229908000;2552279000;9885911000;38102234000;3045917000;10413019000;28490837000;18409479000;3672463000;2013-06-30;7770412000;4820
38205970000;0;2822039000;10938339000;12664489000;4820;8097069000;126608000;61936000;11586324000;2222787000;2850395000;10049945000;38205970000;3033300000;10254546000;27267631000;17444412000;3988751000;2013-09-30;8598940000;4820
38868901000;0;2425078000;10790294000;11354706000;4820;7593110000;137116000;86535000;11650667000;2225326000;2848700000;10485494000;38868901000;1283046000;11721414000;28078607000;19921085000;4163345000;2013-12-31;8845414000;4820
38329845000;0;2436543000;11849104000;11418519000;4820;8308533000;119604000;87140000;11644738000;2227345000;3265967000;10637072000;38329845000;1159650000;11353602000;26480741000;18602793000;4735999000;2014-03-31;9072108000;4820
37764374000;0;2244509000;11162872000;11284841000;4820;8301474000;108483000;155307000;11705971000;2222134000;3060239000;10815288000;37764374000;1885195000;10147682000;26601502000;18178059000;4375203000;2014-06-30;8429953000;4820
38993390000;0;2274380000;11576754000;11893296000;4820;7502378000;61725000;102239000;11622125000;2216753000;2974530000;11197153000;38993390000;1867402000;7355763000;27416636000;19597716000;4882733000;2014-09-30;8918789000;4820
40300261000;0;2416288000;13613953000;14339965000;4820;6087775000;-144533000;78243000;17297907000;2610027000;3810498000;4639165000;40300261000;2134951000;7863666000;26686308000;19872521000;5819404000;2014-12-31;10443712000;4820
43196696000;0;3074248000;14365704000;16814261000;4820;3814008000;-265930000;72005000;17103869000;2595231000;3094353000;5326396000;43196696000;2700565000;7881897000;28830992000;22568427000;7026953000;2015-03-31;12369456000;4820
41188363000;0;1322052000;12805265000;13098690000;4820;4994499000;-329362000;55810000;16902809000;2589036000;3678402000;5745442000;41188363000;1642585000;8380065000;28383098000;23095174000;6733729000;2015-06-30;10194870000;4820
44858530000;0;3266725000;12203688000;11830878000;4820;2376157000;-683516000;87243000;16707952000;2576645000;3633566000;4587416000;44858530000;2158305000;8776646000;32654842000;30651495000;4239759000;2015-09-30;7912706000;4820
44928387000;0;4773251000;12801973000;18171432000;4820;2071488000;-684885000;1172000;16542078000;2572341000;4131128000;4593775000;44928387000;2567124000;8207012000;32126414000;24685467000;2993930000;2015-12-31;9557676000;4820
41607997000;0;3170043000;10413990000;16075765000;4820;4383311000;-692357000;1397000;16273692000;2563736000;3742812000;5040629000;41607997000;2759670000;7531694000;31194007000;21148921000;2716308000;2016-03-31;8821805000;4820
39767517000;0;3223019000;10568106000;14845725000;4820;5794954000;-872226000;528000;16068991000;2539578000;3678830000;4704703000;39767517000;3119987000;7019895000;29199411000;19126838000;3196143000;2016-06-30;8508046000;4820
