assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
21065000;"";"";13946000;2204000;6076;17298000;"";"";"";"";"";"";21065000;"";"";"";"";"";2016-09-30;"";6076
20052000;"";"";12617000;2009000;6076;16837000;"";"";"";"";"";"";20052000;"";"";"";"";"";2016-12-31;"";6076
19411000;"";"";12301000;1362000;6076;16743000;"";"";"";"";"";"";19411000;"";"";"";"";"";2017-03-31;"";6076
18772000;"";"";12230000;2063000;6076;16370000;"";"";"";"";"";"";18772000;"";"";"";"";"";2017-06-30;"";6076
19084000;"";"";12739000;2085000;6076;16583000;"";"";"";"";"";"";19084000;"";"";"";"";"";2017-09-30;"";6076
18438000;"";"";12290000;1901000;6076;16147000;"";"";"";"";"";"";18438000;"";"";"";"";"";2017-12-31;"";6076
17748000;"";"";11481000;1259000;6076;16027000;"";"";"";"";"";"";17748000;"";"";"";"";"";2018-03-31;"";6076
15150000;"";"";10823000;934000;6076;13883000;"";"";"";"";"";"";15150000;"";"";"";"";"";2018-06-30;"";6076
15020000;"";"";10733000;711000;6076;13916000;"";"";"";"";"";"";15020000;"";"";"";"";"";2018-09-30;"";6076
14915000;"";"";10652000;533000;6076;13932000;"";"";"";"";"";"";14915000;"";"";"";"";"";2018-12-31;"";6076
14891000;"";"";10594000;526000;6076;13790000;"";"";"";"";"";"";14891000;"";"";"";"";"";2019-03-31;"";6076
14703000;"";"";10550000;580000;6076;13829000;"";"";"";"";"";"";14703000;"";"";"";"";"";2019-06-30;"";6076
14327000;"";"";10205000;514000;6076;13518000;"";"";"";"";"";"";14327000;"";"";"";"";"";2019-09-30;"";6076
13930000;"";"";9578000;549000;6076;13094000;"";"";"";"";"";"";13930000;"";"";"";"";"";2019-12-31;"";6076
13425000;"";"";9095000;507000;6076;12631000;"";"";"";"";"";"";13425000;"";"";"";"";"";2020-03-31;"";6076
12607000;"";"";8590000;282000;6076;12046000;"";"";"";"";"";"";12607000;"";"";"";"";"";2020-06-30;"";6076
12082000;"";"";8070000;306000;6076;11528000;"";"";"";"";"";"";12082000;"";"";"";"";"";2020-09-30;"";6076
11576000;"";"";7571000;283000;6076;11051000;"";"";"";"";"";"";11576000;"";"";"";"";"";2020-12-31;"";6076
11486000;"";"";7496000;621000;6076;10623000;"";"";"";"";"";"";11486000;"";"";"";"";"";2021-03-31;"";6076
11167000;"";"";"";"";6076;10299000;"";"";"";"";"";"";11167000;"";"";"";"";"";2021-06-30;"";6076
11027000;"";"";"";"";6076;10026000;"";"";"";"";"";"";11027000;"";"";"";"";"";2021-09-30;"";6076
10915000;"";"";6980000;765000;6076;9893000;"";"";"";"";"";"";10915000;"";"";"";"";"";2021-12-31;"";6076
10650000;"";"";6731000;644000;6076;9778000;"";"";"";"";"";"";10650000;"";"";"";"";"";2022-03-31;"";6076
10647000;"";"";6743000;1448000;6076;8977000;"";"";"";"";"";"";10647000;"";"";"";"";"";2022-06-30;"";6076
15539000;"";"";7956000;1601000;6076;13938000;"";"";"";"";"";"";15539000;"";"";"";"";"";2022-09-30;"";6076
