assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
754130000;0;18021000;336724000;255156000;6173;414747000;76000;67593000;111360000;9998000;59068000;222422000;754130000;72059000;62132000;417406000;84227000;166475000;2009-12-31;14491000;6173
766655000;0;26259000;366696000;177267000;6173;460526000;53000;112111000;110874000;6090000;77697000;247079000;766655000;77441000;116605000;399959000;128862000;105513000;2010-12-31;14636000;6173
722315000;0;55946000;301911000;133753000;6173;465506000;62000;81243000;118853000;8915000;81301000;255725000;722315000;81315000;112165000;420404000;123056000;56539000;2011-03-31;13526000;6173
721083000;0;19919000;285236000;150295000;6173;459555000;71000;76390000;120910000;5672000;79229000;263240000;721083000;87597000;99438000;435847000;111233000;79853000;2011-06-30;14125000;6173
861282000;0;3196000;344629000;239245000;6173;323120000;-100000;93151000;121077000;5489000;84882000;312125000;861282000;119927000;280805000;516653000;298917000;133347000;2011-09-30;15411000;6173
863369000;0;71320000;350759000;305697000;6173;325335000;-100000;0;120967000;5378000;86216000;321982000;863369000;160903000;225861000;512610000;232337000;144879000;2011-12-31;15823000;6173
903547000;0;29219000;352677000;311328000;6173;334342000;0;87673000;66726000;4913000;76767000;408171000;903547000;204758000;250226000;550870000;257877000;98873000;2012-03-31;26560000;6173
812886000;0;64204000;316233000;490982000;6173;228860000;0;0;67387000;4920000;77914000;336792000;812886000;362588000;61021000;496653000;93044000;94063000;2012-06-30;29005000;6173
885751000;0;86910000;357225000;539191000;6173;229652000;0;0;63150000;4939000;83395000;350100000;885751000;395527000;82180000;528526000;116908000;101726000;2012-09-30;35722000;6173
830323000;0;101560000;347943000;501569000;6173;201780000;0;0;62334000;4832000;103951000;296559000;830323000;388811000;88970000;482380000;126974000;57803000;2012-12-31;40742000;6173
840804000;0;66690000;327034000;520970000;6173;209866000;0;0;63523000;4684000;113389000;315332000;840804000;404913000;71405000;513770000;109968000;62930000;2013-03-31;43175000;6173
873023000;0;94368000;353317000;502513000;6173;204813000;0;0;61027000;4627000;105284000;318325000;873023000;410810000;116294000;519706000;165697000;51181000;2013-06-30;49860000;6173
871219000;0;65684000;340634000;501027000;6173;206895000;0;0;60237000;4469000;94369000;322867000;871219000;397751000;119306000;530585000;163297000;93679000;2013-09-30;55024000;6173
887436000;0;27874000;370502000;591581000;6173;145993000;0;0;57379000;4642000;80702000;430477000;887436000;381968000;110425000;516934000;149862000;171648000;2013-12-31;63487000;6173
831576000;0;105047000;307280000;554837000;6173;134742000;0;0;54697000;4447000;76337000;426684000;831576000;359586000;103075000;524296000;141997000;52513000;2014-03-31;55937000;6173
892958000;0;180356000;361435000;451521000;6173;104090000;0;0;52243000;4225000;64208000;415986000;892958000;263823000;277957000;531523000;337347000;49215000;2014-06-30;47470000;6173
822329000;0;100406000;284310000;388782000;6173;96639000;0;0;49620000;4000000;57725000;406466000;822329000;207877000;279404000;538019000;336908000;59143000;2014-09-30;43542000;6173
787849000;0;25161000;222402000;412656000;6173;52115000;0;12347000;47731000;3730000;67054000;396214000;787849000;208920000;265448000;565447000;323078000;50876000;2014-12-31;40988000;6173
714663000;0;13973000;225948000;443864000;6173;-56383000;0;8288000;43786000;3525000;63488000;419714000;714663000;194371000;264787000;488715000;327182000;70127000;2015-03-31;60717000;6173
753115000;0;9065000;228680000;545174000;6173;-57077000;0;12699000;42184000;3305000;88061000;453436000;753115000;225562000;210009000;524435000;265018000;43805000;2015-06-30;89961000;6173
840378000;0;12368000;235017000;657216000;6173;-62286000;0;10921000;36859000;3448000;90936000;500718000;840378000;262934000;185522000;605361000;245448000;59587000;2015-09-30;100702000;6173
888338000;0;15822000;244727000;720243000;6173;-60116000;0;3495000;34338000;4812000;106345000;518257000;888338000;288058000;125508000;643611000;228211000;71152000;2015-12-31;119075000;6173
839131000;0;2176000;246090000;752533000;6173;-86510000;0;1262000;35042000;6650000;138224000;531950000;839131000;302613000;82679000;593041000;173108000;60252000;2016-03-31;79172000;6173
858827000;0;1104000;293019000;823444000;6173;-80747000;0;682000;35571000;6468000;177596000;503957000;858827000;346832000;31199000;565808000;116130000;63757000;2016-06-30;112213000;6173
