assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2172883000;0;1834000;810108000;470962000;6343;881609000;0;406744000;892337000;0;141214000;69366000;2172883000;115115000;547246000;1362775000;820312000;181151000;2009-12-31;95989000;6343
2333744000;0;1269000;998183000;412519000;6343;970759000;0;556899000;955870000;0;172663000;76268000;2333744000;75718000;762599000;1335561000;950466000;200615000;2010-12-31;119276000;6343
2452151000;0;489000;1058907000;444058000;6343;1011038000;0;576450000;980864000;0;157192000;78966000;2452151000;70429000;748547000;1393244000;997055000;224271000;2011-03-31;144107000;6343
2405048000;0;2414000;950479000;376018000;6343;1030157000;0;457411000;1020379000;0;166307000;78932000;2405048000;71548000;727721000;1454569000;998873000;222782000;2011-06-30;150691000;6343
2784026000;0;50782000;1259626000;714018000;6343;1091948000;0;678378000;1077046000;0;173835000;85402000;2784026000;370036000;708567000;1524400000;978060000;262177000;2011-09-30;159792000;6343
3409365000;0;2766000;1977801000;785371000;6343;1096631000;0;1405667000;1130116000;0;204184000;89359000;3409365000;394399000;1402273000;1431564000;1527363000;219671000;2011-12-31;165243000;6343
3585295000;0;801000;2038212000;800472000;6343;1138679000;0;1443664000;1165164000;0;181266000;90724000;3585295000;400353000;1446606000;1547083000;1646144000;240436000;2012-03-31;156690000;6343
3554229000;0;863000;1082816000;1009235000;6343;1138791000;0;447966000;1182990000;0;203230000;843121000;3554229000;651201000;1271876000;2471413000;1406203000;236331000;2012-06-30;161688000;6343
3497313000;0;361830000;953959000;893774000;6343;1195505000;0;0;1195507000;0;199600000;1120918000;3497313000;566009000;1266407000;2543354000;1408034000;201325000;2012-09-30;137610000;6343
3514323000;0;2171000;899290000;898953000;6343;1185855000;0;437054000;1211133000;0;186499000;1122865000;3514323000;530993000;1296668000;2615033000;1429515000;132237000;2012-12-31;145966000;6343
3603843000;0;614000;991175000;872764000;6343;1191541000;0;478612000;1200358000;4789000;163898000;1122263000;3603843000;537904000;1405990000;2612668000;1539538000;202232000;2013-03-31;141035000;6343
3768228000;0;462354000;1031510000;657943000;6343;1290720000;0;0;1194340000;6953000;169250000;1239991000;3768228000;287639000;1686803000;2736718000;1819565000;241789000;2013-06-30;152150000;6343
3607464000;0;289558000;853383000;538936000;6343;1336998000;0;0;1191761000;14889000;182290000;1256391000;3607464000;161662000;1601590000;2754081000;1731530000;263890000;2013-09-30;146051000;6343
4169427000;0;830499000;1345023000;549750000;6343;1901901000;0;0;1215959000;24371000;168613000;1341291000;4169427000;221493000;1578176000;2824404000;1717776000;205979000;2013-12-31;125773000;6343
4200322000;0;836996000;1395448000;673638000;6343;1915539000;0;0;1217505000;30277000;177784000;1313744000;4200322000;284145000;1463821000;2804874000;1611145000;245797000;2014-03-31;172863000;6343
4152520000;0;724819000;1359770000;723459000;6343;1918902000;0;0;1209021000;34966000;213193000;1297091000;4152520000;340931000;1359745000;2792750000;1510159000;282054000;2014-06-30;169942000;6343
4618906000;0;1012587000;1663794000;803606000;6343;1997509000;0;0;1203940000;43220000;213616000;1438666000;4618906000;405788000;1666686000;2955112000;1817791000;277063000;2014-09-30;170694000;6343
4644888000;0;948978000;1644246000;791568000;6343;2032374000;0;0;1195619000;48515000;236006000;1483248000;4644888000;426515000;1712077000;3000642000;1820946000;264175000;2014-12-31;157892000;6343
5106968000;0;923693000;1770084000;954292000;6343;2207463000;0;0;1179611000;52439000;262474000;1774586000;5106968000;543928000;1856015000;3336884000;1945213000;390192000;2015-03-31;187694000;6343
5021467000;0;871597000;1687299000;1168724000;6343;2239060000;0;0;1159536000;57076000;307795000;1736115000;5021467000;754059000;1522304000;3334168000;1613683000;373497000;2015-06-30;183692000;6343
5387968000;0;717823000;1452758000;1029545000;6343;2395270000;0;0;1132387000;62759000;289238000;2192453000;5387968000;579654000;1871741000;3935210000;1963153000;295067000;2015-09-30;172323000;6343
5416463000;0;1139653000;1827648000;900072000;6343;2409665000;0;0;1121151000;60674000;247718000;1846002000;5416463000;487480000;2020939000;3588815000;2106726000;299791000;2015-12-31;155614000;6343
5189649000;0;1201638000;1813887000;864881000;6343;2368124000;0;0;1097353000;60907000;223304000;1703264000;5189649000;443584000;1871533000;3375762000;1956644000;259084000;2016-03-31;159339000;6343
4656892000;0;899169000;1534874000;652850000;6343;2271575000;0;0;1068503000;59246000;207086000;1528395000;4656892000;229182000;1653087000;3122018000;1732467000;288778000;2016-06-30;170986000;6343
