assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
334299;0;348;7811;56857;6815;-492450;0;0;68611;0;2284;157742;334299;0;628832;326488;769892;5179;2009-12-31;130;6815
368239000;0;374000;8747000;38066000;6815;-451696000;0;0;111750000;0;2284000;145647000;368239000;0;628086000;359492000;781869000;6089000;2010-12-31;4197000;6815
367815000;0;366000;9905000;42127000;6815;-458883000;0;9000;257631000;0;2284000;0;367815000;0;628259000;357910000;784571000;7246000;2011-03-31;6377000;6815
363526;0;375;10641;47692;6815;-453629;0;0;108549;0;2284;148065;363526;116;608429;352885;769463;7982;2011-06-30;11123;6815
392611000;0;4000;6672000;53092000;6815;-470626000;0;0;107155000;0;2284000;165653000;392611000;0;653750000;385939000;810145000;4384000;2011-09-30;8200000;6815
1075095000;0;214000;7816000;42512000;6815;-232518000;0;0;105775000;0;1142000;170744000;1075095000;0;507189000;1067279000;1265101000;5475000;2011-12-31;4400000;6815
1076794000;0;225000;7336000;43742000;6815;-239843000;0;0;103116000;0;1142000;165864000;1076794000;0;501367000;1069458000;1272895000;4984000;2012-03-31;4586000;6815
1113369000;0;214000;5891000;42459000;6815;-225232000;0;0;100368000;94000;1142000;184003000;1113369000;0;501321000;1107478000;1296142000;3752000;2012-06-30;3372000;6815
1155371000;0;214000;4131000;39621000;6815;43701000;0;0;87482000;94000;1142000;1000;1155371000;0;500126000;1151240000;1072049000;2230000;2012-09-30;3835000;6815
745014000;0;214000;4065000;42046000;6815;-55710000;0;0;85728000;94000;1142000;1000;745014000;0;529646000;740949000;758678000;1928000;2012-12-31;5204000;6815
772857000;0;214000;3046000;43757000;6815;-64869000;0;0;84051000;94000;1142000;1000;772857000;0;574306000;769811000;793969000;819000;2013-03-31;3909000;6815
778022000;0;214000;2847000;49405000;6815;-125721000;0;0;82549000;94000;1142000;1000;778022000;0;583615000;775175000;854338000;611000;2013-06-30;4209000;6815
781218000;0;214000;2661000;50566000;6815;-145474000;0;0;81244000;94000;1142000;1000;781218000;0;592485000;778557000;876126000;358000;2013-09-30;4210000;6815
212211000;0;213000;2579000;52793000;6815;-615579000;0;0;79939000;94000;1142000;1000;212211000;0;672188000;209632000;774997000;196000;2013-12-31;10760000;6815
745521000;0;219000;2535000;56182000;6815;-126607000;0;0;78634000;94000;1142000;1000;745521000;0;710390000;742986000;815946000;40000;2014-03-31;12552000;6815
745488000;0;213000;2644000;57009000;6815;-141450000;0;0;77329000;94000;1142000;1000;745488000;0;723173000;742844000;829929000;245000;2014-06-30;12840000;6815
753593000;0;213000;2459000;58778000;6815;-146915000;0;0;76024000;94000;1142000;1000;753593000;0;738880000;751134000;841730000;183000;2014-09-30;14390000;6815
209317000;0;222000;1228000;30745000;6815;-636265000;0;0;67780000;94000;0;1000;209317000;0;708672000;208089000;814837000;174000;2014-12-31;4627000;6815
214044000;0;216000;1639000;32814000;6815;-649365000;0;0;66801000;94000;0;1000;214044000;0;724222000;212405000;830595000;220000;2015-03-31;4796000;6815
218556000;0;216000;1724000;33903000;6815;-659762000;0;0;66148000;94000;0;1000;218556000;0;736848000;216832000;844415000;219000;2015-06-30;4393000;6815
222273000;0;219000;1546000;35284000;6815;-683623000;0;0;64842000;94000;0;1000;222273000;0;756799000;220727000;870612000;164000;2015-09-30;4327000;6815
226531000;0;220000;1798000;35857000;6815;-713670000;0;0;63863000;94000;0;1000;226531000;0;783015000;224733000;904344000;187000;2015-12-31;3578000;6815
230937000;0;219000;2222000;39036000;6815;-736276000;0;0;62883000;94000;0;1000;230937000;0;804598000;228715000;928177000;51000;2016-03-31;4264000;6815
234603000;0;224000;2125000;40400000;6815;-759097000;0;0;61903000;94000;0;1000;234603000;0;826812000;232478000;953300000;115000;2016-06-30;4100000;6815
