assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
35958000;0;30038000;34133000;1988000;701;32575000;"";0;209000;1000;0;8000;35958000;0;0;1825000;1395000;1000;2016-09-30;13000;701
36243000;0;29685000;33790000;1990000;701;33224000;0;0;199000;1000;0;670000;36243000;0;0;2453000;1029000;0;2016-12-31;35000;701
34612000;0;10634000;14896000;1292000;701;32479000;3376000;0;196000;1000;0;17914000;34612000;0;0;19716000;841000;0;2017-03-31;115000;701
32969000;0;8221000;12847000;964000;701;31356000;3593000;0;182000;1000;0;18312000;32969000;0;0;20122000;649000;0;2017-06-30;87000;701
61246000;0;33930000;35073000;921000;701;59919000;3993000;0;174000;1000;0;21054000;61246000;0;0;26173000;406000;0;2017-09-30;45000;701
58938000;0;31133000;31726000;529000;701;58360000;492000;0;162000;1000;0;21469000;58938000;0;0;27212000;49000;0;2017-12-31;57000;701
57231000;0;20700000;21517000;491000;701;56740000;315000;0;169000;1000;0;30204000;57231000;0;0;35714000;0;0;2018-03-31;11000;701
58512000;0;16339000;17131000;183000;701;58329000;441000;0;255000;1000;0;33482000;58512000;0;0;41381000;0;0;2018-06-30;16000;701
58391000;0;13643000;15484000;140000;701;58251000;3689000;0;291000;1000;0;36058000;58391000;0;0;42907000;0;1000;2018-09-30;13000;701
54728000;0;11409000;12132000;147000;701;54388000;3717000;0;270000;1000;0;32961000;54728000;0;0;42596000;193000;0;2018-12-31;40000;701
54171000;0;1944000;2683000;240000;701;53521000;3766000;0;577000;1000;0;42720000;54171000;0;0;51488000;410000;0;2019-03-31;29000;701
51340000;0;371000;987000;263000;701;50582000;3273000;0;564000;1000;0;39936000;51340000;0;0;50353000;495000;0;2019-06-30;21000;701
122025000;0;52192000;52559000;2689000;701;53301000;3374000;0;514000;1000;0;58057000;122025000;1957000;0;69466000;66035000;2000;2019-09-30;478000;701
125142000;0;36083000;36508000;2156000;701;121702000;3364000;0;21000;1000;0;71527000;125142000;1962000;0;88634000;1284000;0;2019-12-31;69000;701
102845000;0;28741000;29307000;2105000;701;98983000;6977000;0;20000;1000;0;51515000;102845000;1962000;0;73538000;1757000;128000;2020-03-31;11000;701
137755000;0;6957000;7432000;2192000;701;96017000;6875000;0;18000;37197000;0;71119000;137755000;1962000;0;130323000;39546000;6000;2020-06-30;12000;701
155080000;0;5200000;5678000;408000;701;84210000;6352000;0;17000;37318000;0;91275000;155080000;0;0;149402000;70462000;16000;2020-09-30;55000;701
236327000;0;22442000;22953000;349000;701;151723000;4137000;0;16000;43839000;0;65992000;236327000;0;0;213374000;84255000;17000;2020-12-31;49000;701
221927000;0;87642000;88094000;384000;701;177754000;4522000;0;15000;5805000;0;104597000;221927000;0;0;133833000;43789000;37000;2021-03-31;1000;701
194593000;0;11278000;19635000;535000;701;152312000;4559000;0;28000;5579000;0;145195000;194593000;14000;0;174958000;41746000;23000;2021-06-30;166000;701
181094000;0;3963000;6232000;526000;701;142631000;11560000;0;20000;0;0;166017000;181094000;7000;0;174862000;37937000;124000;2021-09-30;165000;701
177865000;0;3000;15740000;769000;701;139455000;10266000;0;13000;0;0;153512000;177865000;0;0;162125000;37641000;166000;2021-12-31;57000;701
207832000;0;10191000;47848000;2498000;701;168556000;9718000;0;388000;0;0;150956000;207832000;0;0;159984000;36778000;169000;2022-03-31;191000;701
187160000;0;119000;7650000;3385000;701;133675000;10795000;0;349000;0;0;176500000;187160000;930000;7016000;179510000;50100000;234000;2022-06-30;461000;701
165265000;0;2010000;6146000;9298000;701;106101000;18153000;0;397000;0;0;154675000;165265000;6253000;6188000;159119000;49866000;430000;2022-09-30;509000;701
