assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
184402000;0;36000;51171000;537742000;7544;-444892000;0;68000;120701000;2224000;29673000;496000;184402000;287353000;0;133231000;91552000;20523000;2016-09-30;48296000;7544
183530000;0;144000;50395000;562083000;7544;-464809000;0;0;120493000;2290000;28300000;522000;183530000;301862000;0;133135000;86256000;21185000;2016-12-31;49481000;7544
182590000;0;103000;50395000;585432000;7544;-486584000;0;0;122236000;2298000;27868000;562000;182590000;314882000;0;132195000;83742000;21012000;2017-03-31;51947000;7544
179109000;0;26000;48182000;328326000;7544;-508129000;0;0;121089000;2305000;27484000;606000;179109000;47994000;0;130927000;358912000;19558000;2017-06-30;53603000;7544
186366000;0;11000;56681000;342917000;7544;-323630000;0;0;119976000;2281000;29227000;641000;186366000;51902000;0;129685000;167079000;19658000;2017-09-30;56700000;7544
177675000;0;22000;49065000;332507000;7544;-303497000;0;0;118850000;2480000;27774000;645000;177675000;72894000;0;128610000;148665000;20628000;2017-12-31;58301000;7544
181686000;0;24000;54362000;344899000;7544;-308075000;0;0;117721000;2474000;27852000;690000;181686000;76162000;109725000;127324000;144862000;25031000;2018-03-31;62840000;7544
181115000;0;31000;54842000;347884000;7544;-308506000;0;0;116810000;2450000;29096000;732000;181115000;76496000;110015000;126273000;141737000;24479000;2018-06-30;63052000;7544
179115000;0;41000;53969000;350369000;7544;-312847000;0;0;115740000;2480000;29707000;788000;179115000;77358000;111456000;125146000;141593000;23190000;2018-09-30;63517000;7544
174740000;0;87000;50783000;340061000;7544;-312806000;0;0;115021000;2400000;28016000;786000;174740000;77486000;111588000;123957000;147485000;22078000;2018-12-31;61068000;7544
172446000;0;42000;49647000;327112000;7544;-302078000;0;0;114052000;2326000;29236000;835000;172446000;75912000;112519000;122799000;147412000;19064000;2019-03-31;64612000;7544
174693000;0;46000;52659000;327188000;7544;-305523000;0;0;113402000;2281000;31378000;877000;174693000;78726000;113917000;122034000;153028000;20005000;2019-06-30;64461000;7544
181429000;0;38000;57270000;335487000;7544;-306654000;0;0;115115000;2167000;34588000;924000;181429000;81272000;115033000;124159000;152596000;20949000;2019-09-30;64915000;7544
183936000;0;274000;59158000;319733000;7544;-291372000;0;0;115155000;2742000;37050000;924000;183936000;90184000;115782000;124778000;155575000;20547000;2019-12-31;62740000;7544
186671000;0;29000;62758000;328884000;7544;-297411000;0;0;114368000;2472000;40237000;963000;186671000;91866000;117307000;123913000;155198000;20564000;2020-03-31;66805000;7544
182646000;0;157000;60285000;333179000;7544;-303725000;0;0;113193000;2200000;38320000;1002000;182646000;96472000;117066000;122361000;153192000;20387000;2020-06-30;63674000;7544
189870000;0;158000;68928000;340189000;7544;-304703000;0;0;111982000;1988000;39504000;1041000;189870000;99182000;120496000;120942000;154384000;22421000;2020-09-30;66754000;7544
191098000;0;163000;71351000;341903000;7544;-309729000;0;0;111137000;1869000;44731000;1083000;191098000;106012000;126951000;119747000;158924000;20740000;2020-12-31;67560000;7544
198460000;0;85000;79574000;350853000;7544;-311894000;0;0;110399000;1802000;48591000;1122000;198460000;111635000;128955000;118886000;159501000;27607000;2021-03-31;67292000;7544
204719000;0;91000;86907000;354427000;7544;-313786000;0;0;109437000;1773000;54628000;1157000;204719000;117526000;130504000;117812000;164078000;30567000;2021-06-30;68482000;7544
213040000;0;68000;95513000;361131000;7544;-311100000;0;0;109387000;1804000;57326000;1192000;213040000;121189000;131839000;117527000;163009000;36112000;2021-09-30;69282000;7544
209970000;0;188000;93108000;289146000;7544;-331987000;0;0;108829000;1712000;57572000;1233000;209970000;54126000;223389000;116862000;252811000;34279000;2021-12-31;67439000;7544
227574000;0;194000;108437000;301281000;7544;-333575000;0;0;111160000;1650000;66946000;1270000;227574000;56302000;232916000;119137000;259868000;38984000;2022-03-31;72073000;7544
239992000;0;126000;121381000;313374000;7544;-338648000;0;0;110497000;1630000;71557000;1290000;239992000;64913000;240223000;118611000;265266000;47855000;2022-06-30;72674000;7544
254133000;0;46000;136840000;324463000;7544;-329828000;0;0;109747000;1651000;81429000;1300000;254133000;77336000;234982000;117293000;259498000;53891000;2022-09-30;72598000;7544
