assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
4528294000;0;554259000;1903574000;1657687000;8133;2366123000;0;0;1476192000;298606000;671940000;469528000;4528294000;628623000;465689000;2624720000;504484000;595112000;2016-09-30;484501000;8133
5269993000;0;711186000;2558698000;2132012000;8133;2636796000;0;0;1503703000;322689000;655615000;504427000;5269993000;637496000;462380000;2715000000;504283000;1058124000;2016-12-31;596188000;8133
5087113000;0;746258000;2342473000;1597121000;8133;2670814000;0;0;1488528000;313825000;790450000;573498000;5087113000;527447000;779625000;2744640000;819178000;674744000;2017-03-31;432815000;8133
5093039000;0;482261000;2205884000;1566097000;8133;2814012000;0;0;1497205000;312880000;751934000;731059000;5093039000;500301000;664582000;2887155000;712930000;826357000;2017-06-30;462724000;8133
5324097000;0;766576000;2389376000;1590505000;8133;2918668000;0;0;1524673000;308738000;818597000;752275000;5324097000;404322000;788134000;2934721000;814924000;682617000;2017-09-30;570809000;8133
6175230000;0;981014000;3049207000;2138750000;8133;3223446000;0;0;1603710000;324525000;772052000;824196000;6175230000;436662000;782972000;3126023000;813034000;1173615000;2017-12-31;721302000;8133
5650393000;0;725170000;2504519000;1581023000;8133;3268398000;0;0;1597930000;334211000;914840000;852700000;5650393000;396599000;773892000;3145874000;800972000;732138000;2018-03-31;495445000;8133
5849549000;0;692588000;2868754000;1647251000;8133;3461783000;0;0;1604230000;355833000;892946000;899741000;5849549000;499573000;714434000;2980795000;740515000;820417000;2018-06-30;577189000;8133
5938516000;0;571760000;2890779000;1939610000;8133;3607482000;0;0;1641663000;370073000;1009970000;924163000;5938516000;607525000;363284000;3047737000;391424000;833841000;2018-09-30;707285000;8133
6981216000;0;876302000;3738518000;2638369000;8133;3954512000;0;0;1717872000;413009000;944195000;956742000;6981216000;709062000;360040000;3242698000;388335000;1543223000;2018-12-31;845229000;8133
8417999000;0;640673000;3490920000;2916881000;8133;4060519000;0;0;3357646000;408373000;1073143000;1029348000;8417999000;1538366000;1412000000;4927079000;1440599000;1319941000;2019-03-31;594941000;8133
8650035000;0;702154000;3468242000;2632174000;8133;4112250000;0;0;3450767000;437319000;958618000;1154643000;8650035000;973851000;407918000;5181793000;1905611000;1459863000;2019-06-30;618877000;8133
8454670000;0;599972000;3154851000;2350224000;8133;4273031000;0;0;3472107000;456140000;1027037000;1233178000;8454670000;547508000;406694000;5299819000;1831415000;1244216000;2019-09-30;727265000;8133
9462255000;0;844755000;4109252000;3098029000;8133;4704614000;0;0;3158403000;469711000;915848000;1385092000;9275753000;632134000;406086000;5166501000;1490633000;1912774000;2019-12-31;953371000;8133
9288006000;0;1305050000;3887115000;2970975000;8133;4688165000;0;0;3278368000;472072000;1156041000;1519595000;9288006000;1156288000;405477000;5400891000;1628866000;1063290000;2020-03-31;740793000;8133
10534422000;0;1550216000;4569456000;3094315000;8133;5425952000;0;152927000;2981959000;537995000;1316627000;1603359000;10534422000;1658562000;899701000;5964966000;2014155000;576753000;2020-06-30;567886000;8133
10634538000;0;1148761000;4615718000;3092301000;8133;5287763000;0;148255000;3104591000;572393000;1278668000;1581032000;10634538000;1219540000;1049705000;6018820000;2254474000;1012231000;2020-09-30;872869000;8133
11943763000;0;1761439000;5825250000;3627111000;8133;5501316000;0;139212000;3184239000;587713000;1152239000;1595255000;11943763000;1037626000;1545933000;6118513000;2815336000;1839223000;2020-12-31;1208337000;8133
12118853000;0;2168442000;5225682000;2585144000;8133;5365471000;0;120462000;3725358000;572079000;1434039000;1656590000;12118853000;543875000;2543647000;6893171000;4168238000;738687000;2021-03-31;889119000;8133
15846541000;0;4802176000;8677455000;2458790000;8133;9341825000;0;203253000;4021726000;576493000;1241140000;1770180000;15846541000;323791000;2246810000;7169086000;4045926000;1489090000;2021-06-30;944289000;8133
16468658000;0;5062524000;8975652000;3043839000;8133;9497615000;0;206329000;4065594000;582673000;1319691000;1998228000;16468658000;488222000;2097789000;7493006000;3927204000;1461359000;2021-09-30;1236347000;8133
17895662000;0;5216237000;9997873000;5127061000;8133;9806621000;0;209715000;4339375000;656071000;1289049000;2018188000;17895662000;1603751000;998430000;7897789000;2961980000;2378330000;2021-12-31;1599786000;8133
17395015000;0;5130584000;9653311000;4809102000;8133;9624740000;0;215341000;4318919000;660172000;1649680000;2038637000;17395015000;1625197000;998665000;7741704000;2961173000;1615531000;2022-03-31;1315984000;8133
16953467000;0;4195845000;9045969000;4340383000;8133;9648345000;0;220417000;4422265000;682470000;1536801000;2192668000;16953467000;1327072000;998901000;7907498000;2964739000;2067902000;2022-06-30;1400114000;8133
16674905000;0;3773267000;8427009000;3927835000;8133;9790803000;0;228015000;4490106000;750204000;1711187000;2341737000;16674905000;1180366000;999136000;8247896000;2956267000;1724402000;2022-09-30;1323866000;8133
