assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
90960000;0;4000;2005000;1003000;8192;72410000;0;182000;576000;2000;0;88368000;90960000;0;0;88955000;17547000;154000;2009-12-31;141000;8192
95520000;0;13000;330000;1612000;8192;74617000;0;21000;531000;2000;0;92542000;95520000;0;0;93085000;19292000;216000;2010-12-31;140000;8192
94155000;0;12000;1718000;1422000;8192;73835000;0;21000;596000;2000;0;91830000;94155000;0;0;92437000;18898000;241000;2011-03-31;88000;8192
97259000;0;5000;644000;218000;8192;78492000;0;0;756000;2000;0;95848000;97259000;0;0;96615000;18549000;260000;2011-06-30;90000;8192
99174000;0;34000;554000;189000;8192;81046000;0;0;869000;2000;0;97740000;99174000;0;0;98620000;17939000;258000;2011-09-30;68000;8192
99265000;0;73000;441000;2008000;8192;79964000;0;0;961000;2000;0;95951000;99265000;0;0;98824000;17293000;259000;2011-12-31;178000;8192
97065000;0;18000;373000;1861000;8192;78149000;0;0;969000;3000;0;94191000;97065000;0;0;96692000;17055000;264000;2012-03-31;107000;8192
98808000;0;1534000;1854000;1842000;8192;80518000;0;0;968000;3000;0;95217000;98808000;0;0;96954000;16448000;251000;2012-06-30;89000;8192
98593000;0;235000;554000;263000;8192;82616000;0;0;1008000;3000;0;96569000;98593000;0;0;98039000;15714000;266000;2012-09-30;98000;8192
99847000;0;481000;1019000;2040000;8192;82405000;0;0;1027000;3000;0;95514000;99847000;0;0;98828000;15402000;290000;2012-12-31;155000;8192
99774000;0;213000;598000;1965000;8192;82597000;0;0;1290000;3000;0;95372000;99774000;0;0;99176000;15212000;302000;2013-03-31;139000;8192
100239000;0;410000;785000;264000;8192;85289000;0;0;1261000;3000;0;96082000;100239000;0;0;99454000;14686000;307000;2013-06-30;44000;8192
102341000;0;399000;754000;264000;8192;87897000;0;0;1225000;3000;0;98721000;102341000;0;0;101587000;14180000;317000;2013-09-30;37000;8192
100887000;0;28000;494000;2665000;8192;84465000;0;0;539000;3000;0;98561000;100887000;0;0;100393000;13757000;339000;2013-12-31;169000;8192
101012000;0;14000;555000;2692000;8192;84806000;0;0;710000;3000;0;98476000;101012000;0;0;100457000;13514000;356000;2014-03-31;273000;8192
100583000;0;36000;443000;554000;8192;86944000;0;0;943000;3000;0;98040000;100583000;0;0;100140000;13085000;336000;2014-06-30;129000;8192
102503000;0;18000;392000;1147000;8192;89121000;0;0;1204000;3000;0;99650000;102503000;0;0;102111000;12235000;336000;2014-09-30;161000;8192
101452000;0;129000;561000;3011000;8192;86302000;0;0;1241000;3000;0;99076000;101452000;0;0;100891000;12139000;374000;2014-12-31;74000;8192
101457000;0;54000;574000;2863000;8192;86643000;0;0;408000;3000;0;99399000;101457000;0;0;100883000;11951000;438000;2015-03-31;215000;8192
104959000;0;76000;621000;2739000;8192;90443000;0;0;350000;3000;0;103303000;104959000;0;0;104338000;11777000;476000;2015-06-30;117000;8192
108733000;0;35000;529000;2756000;8192;94227000;0;0;318000;4000;0;106649000;108733000;0;0;108204000;11750000;461000;2015-09-30;122000;8192
108229000;0;296000;610000;3408000;8192;92558000;0;0;286000;4000;0;106040000;108229000;0;0;107619000;12263000;267000;2015-12-31;213000;8192
109796000;0;69000;574000;3311000;8192;94271000;0;0;255000;4000;0;108003000;109796000;0;0;109222000;12214000;282000;2016-03-31;246000;8192
112357000;0;1000;600000;3164000;8192;97070000;0;0;226000;4000;0;110606000;112357000;0;0;111757000;12123000;385000;2016-06-30;122000;8192
