assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
215869000;0;70811000;71204000;4145000;8397;210730000;0;0;0;0;0;139671000;215869000;0;0;144665000;994000;0;2009-12-31;1000;8397
302555000;0;53105000;76890000;20702000;8397;226863000;0;17668000;0;0;0;220065000;302555000;15519000;54444000;225665000;54990000;0;2010-12-31;0;8397
311217000;0;60318000;77596000;27798000;8397;228430000;0;15863000;0;0;0;227447000;311217000;17781000;54444000;233621000;54989000;0;2011-03-31;0;8397
318501000;0;40428000;68820000;36512000;8397;231884000;0;17700000;5048000;0;3297000;237243000;318501000;15543000;46667000;249681000;50105000;5163000;2011-06-30;781000;8397
457236000;0;44043000;138584000;104597000;8397;221856000;0;2896000;129884000;195000;45276000;166982000;457236000;38155000;130170000;318652000;130783000;21109000;2011-09-30;32772000;8397
810611000;0;114221000;387483000;280198000;8397;193919000;0;59649000;309121000;16838000;73862000;47782000;810611000;152808000;313952000;423128000;336494000;92972000;2011-12-31;85411000;8397
801797000;0;145464000;392693000;276181000;8397;194753000;0;52810000;307405000;16509000;70038000;51189000;801797000;141701000;322989000;409104000;330863000;79098000;2012-03-31;94495000;8397
805810000;0;143551000;383730000;277514000;8397;171551000;0;52484000;303800000;16198000;76379000;55412000;805810000;147780000;349824000;422080000;356745000;67768000;2012-06-30;94484000;8397
763179000;0;127110000;343618000;258803000;8397;169105000;0;48465000;294926000;16367000;63751000;57192000;763179000;140446000;327573000;419561000;335271000;65895000;2012-09-30;81279000;8397
657434000;0;126174000;291100000;292456000;8397;27201000;0;24142000;165928000;16685000;48281000;58440000;657434000;129187000;325025000;366334000;337777000;51085000;2012-12-31;73900000;8397
586105000;0;47913000;231070000;282857000;8397;13032000;0;25345000;163364000;16355000;47585000;44283000;586105000;116870000;278212000;355035000;290216000;65257000;2013-03-31;92094000;8397
547656000;0;40365000;224227000;524073000;8397;1113000;0;27792000;161139000;16081000;49446000;25208000;547656000;365272000;10297000;323429000;22470000;58895000;2013-06-30;83148000;8397
472562000;0;22738000;199296000;508128000;8397;-64885000;0;30143000;160223000;2218000;45120000;22929000;472562000;355414000;14203000;273266000;29319000;52402000;2013-09-30;82324000;8397
429657000;0;13690000;161494000;522137000;8397;-110059000;0;3104000;146468000;9047000;73520000;24100000;429657000;377196000;0;268163000;17579000;33044000;2013-12-31;74505000;8397
407595000;0;12779000;141107000;500734000;8397;-113326000;0;2148000;145794000;8606000;42887000;24278000;407595000;381773000;0;266488000;20187000;43579000;2014-03-31;47069000;8397
407108000;0;17598000;142183000;502003000;8397;-120275000;0;3238000;145244000;7708000;38351000;24093000;407108000;383610000;0;264925000;25380000;45340000;2014-06-30;47668000;8397
422261000;0;22201000;155714000;547380000;8397;-151374000;0;2894000;144099000;10421000;45101000;24013000;422261000;412411000;0;266547000;26255000;48421000;2014-09-30;56061000;8397
405843000;0;26521000;140493000;75125000;8397;-154388000;0;2769000;140822000;9790000;45620000;26657000;405843000;1001000;426455000;265350000;485106000;32363000;2014-12-31;22521000;8397
406959000;0;23510000;147255000;85895000;8397;-214861000;0;2409000;137953000;8848000;34880000;26653000;406959000;1832000;477082000;259704000;535925000;48132000;2015-03-31;26092000;8397
420574000;0;25064000;156506000;99498000;8397;-210491000;0;3565000;142792000;7778000;43018000;27424000;420574000;1737000;474323000;264068000;531567000;50178000;2015-06-30;22225000;8397
422747000;0;39226000;162132000;100074000;8397;-293237000;0;3566000;142547000;6916000;46070000;28490000;422747000;2801000;557153000;260615000;615910000;37339000;2015-09-30;19609000;8397
398726000;0;27373000;141672000;99624000;8397;-298026000;0;2429000;139875000;6087000;50854000;28611000;398726000;20153000;542646000;257054000;597128000;31844000;2015-12-31;16320000;8397
405994000;0;29257000;151093000;106280000;8397;-278156000;0;2508000;139316000;5564000;38817000;27722000;405994000;21020000;523831000;254901000;577870000;52414000;2016-03-31;22100000;8397
397133000;0;27758000;145125000;131883000;8397;-265106000;0;3636000;138175000;5009000;39744000;28063000;397133000;41715000;477863000;252008000;530356000;49317000;2016-06-30;20809000;8397
