assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
390864000;"";"";190054000;175277000;8540;115953000;"";"";"";"";"";"";390864000;"";"";"";"";"";2009-12-31;"";8540
325683000;"";"";157811000;177689000;8540;132304000;"";"";"";"";"";"";325683000;"";"";"";"";"";2010-12-31;"";8540
319582000;"";"";159317000;169837000;8540;133870000;"";"";"";"";"";"";319582000;"";"";"";"";"";2011-03-31;"";8540
337248000;"";"";179613000;187342000;8540;133851000;"";"";"";"";"";"";337248000;"";"";"";"";"";2011-06-30;"";8540
313078000;"";"";161006000;160897000;8540;135945000;"";"";"";"";"";"";313078000;"";"";"";"";"";2011-09-30;"";8540
297347000;"";"";143907000;145402000;8540;137166000;"";"";"";"";"";"";297347000;"";"";"";"";"";2011-12-31;"";8540
300147000;"";"";153360000;145495000;8540;139679000;"";"";"";"";"";"";300147000;"";"";"";"";"";2012-03-31;"";8540
345547000;"";"";170675000;189418000;8540;141131000;"";"";"";"";"";"";345547000;"";"";"";"";"";2012-06-30;"";8540
446708000;"";"";200880000;286578000;8540;144795000;"";"";"";"";"";"";446708000;"";"";"";"";"";2012-09-30;"";8540
685333000;"";"";271688000;521049000;8540;148442000;"";"";"";"";"";"";685333000;"";"";"";"";"";2012-12-31;"";8540
877781000;"";"";340616000;706847000;8540;154948000;"";"";"";"";"";"";877781000;"";"";"";"";"";2013-03-31;"";8540
1028772000;"";"";383588000;854382000;8540;158344000;"";"";"";"";"";"";1028772000;"";"";"";"";"";2013-06-30;"";8540
1222248000;"";"";470754000;1043815000;8540;162348000;"";"";"";"";"";"";1222248000;"";"";"";"";"";2013-09-30;"";8540
1337948000;"";"";513358000;1118820000;8540;162452000;"";"";"";"";"";"";1337948000;"";"";"";"";"";2013-12-31;"";8540
1453583000;"";"";578524000;1093680000;8540;213927000;"";"";"";"";"";"";1453583000;"";"";"";"";"";2014-03-31;"";8540
1502823000;"";"";571536000;955543000;8540;214342000;"";"";"";"";"";"";1502823000;"";"";"";"";"";2014-06-30;"";8540
1636082000;"";"";641510000;1018919000;8540;212990000;"";"";"";"";"";"";1636082000;"";"";"";"";"";2014-09-30;"";8540
1709910000;"";"";659081000;503048000;8540;209550000;"";"";"";"";"";"";1709910000;"";"";"";"";"";2014-12-31;"";8540
1508330000;"";"";604745000;345454000;8540;202030000;"";"";"";"";"";"";1508330000;"";"";"";"";"";2015-03-31;"";8540
1345117000;"";"";548502000;499390000;8540;204147000;"";"";"";"";"";"";1345117000;"";"";"";"";"";2015-06-30;"";8540
1257003000;"";"";482894000;597887000;8540;200605000;"";"";"";"";"";"";1257003000;"";"";"";"";"";2015-09-30;"";8540
1239079000;"";"";528204000;616725000;8540;193076000;"";"";"";"";"";"";1239079000;"";"";"";"";"";2015-12-31;"";8540
1091014000;"";"";390932000;588083000;8540;190949000;"";"";"";"";"";"";1091014000;"";"";"";"";"";2016-03-31;"";8540
1026464000;"";"";390496000;531922000;8540;190187000;"";"";"";"";"";"";1026464000;"";"";"";"";"";2016-06-30;"";8540
