assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1424398000;0;47610000;554439000;249744000;8575;717470000;14205000;51048000;596514000;112363000;126043000;86243000;1424398000;49538000;300281000;869959000;457184000;274214000;2009-12-31;35255000;8575
2402408000;0;19681000;853443000;370438000;8575;1332868000;14968000;257795000;661137000;696536000;198099000;83787000;2402408000;119204000;449288000;1548965000;706528000;316061000;2010-12-31;61902000;8575
2466733000;0;13642000;919728000;447581000;8575;1372280000;15523000;302604000;640812000;696184000;213467000;84355000;2466733000;184026000;378661000;1547005000;646872000;332888000;2011-03-31;70207000;8575
2674531000;0;8426000;1138490000;552845000;8575;1408969000;15525000;501446000;631945000;695824000;231106000;80078000;2674531000;272397000;433894000;1536041000;712717000;325889000;2011-06-30;65155000;8575
2759826000;0;27131000;1195845000;747984000;8575;1455644000;15012000;517018000;627863000;695668000;234738000;90226000;2759826000;390095000;289766000;1563981000;556198000;362560000;2011-09-30;69653000;8575
2343066000;0;313608000;915416000;669056000;8575;1328462000;13616000;299144000;648520000;583385000;221862000;140539000;2449170000;419942000;190134000;1427650000;451652000;294346000;2011-12-31;46970000;8575
2439153000;0;250096000;901924000;701716000;8575;1367598000;13542000;0;641540000;582988000;230962000;138090000;2439153000;450277000;88343000;1537229000;369839000;326575000;2012-03-31;61662000;8575
2381834000;0;199094000;870921000;700212000;8575;1368352000;13497000;0;638261000;582761000;222251000;131645000;2381834000;426660000;14500000;1510913000;313270000;360230000;2012-06-30;55198000;8575
2309203000;0;275831000;903474000;545216000;8575;1401694000;13775000;0;642185000;582713000;201745000;130986000;2309203000;281738000;163413000;1405729000;362293000;355655000;2012-09-30;65516000;8575
2148763000;0;122602000;732459000;423498000;8575;1349080000;3335000;0;653923000;582734000;193958000;134342000;2148763000;181416000;164384000;1416304000;376185000;314436000;2012-12-31;61333000;8575
2344359000;0;286461000;927134000;336582000;8575;1388151000;2247000;0;640157000;582329000;209481000;136344000;2344359000;72297000;400114000;1417225000;619626000;335917000;2013-03-31;81206000;8575
2311880000;0;232897000;896041000;327693000;8575;1371504000;1463000;0;637166000;581657000;209957000;132055000;2311880000;7784000;388845000;1415839000;612683000;385748000;2013-06-30;87069000;8575
2369677000;0;268783000;958029000;308337000;8575;1437472000;184000;0;632099000;581421000;227451000;132672000;2369677000;7512000;387576000;1411648000;623868000;384551000;2013-09-30;90551000;8575
2272504000;0;207522000;850287000;279790000;8575;1375668000;-1409000;0;629393000;583817000;204788000;130552000;2272504000;7648000;386307000;1422217000;617046000;332807000;2013-12-31;69553000;8575
2338932000;0;272801000;917493000;290139000;8575;1419591000;-8564000;0;618615000;586908000;227406000;114909000;2338932000;7636000;385038000;1421439000;629202000;351198000;2014-03-31;88119000;8575
2312398000;0;224963000;880206000;292361000;8575;1371151000;-12522000;0;618289000;588183000;232232000;114028000;2312398000;7964000;383769000;1432192000;648886000;348887000;2014-06-30;85340000;8575
2372584000;0;330120000;995986000;342166000;8575;1405779000;18232000;0;615341000;590209000;239088000;133033000;2372584000;56081000;364895000;1376598000;624639000;355876000;2014-09-30;85838000;8575
2335421000;0;279866000;908987000;445570000;8575;1326368000;18912000;0;643695000;592616000;213331000;142554000;2335421000;203276000;286126000;1426434000;563483000;315797000;2014-12-31;65097000;8575
2477684000;0;320936000;1035595000;595451000;8575;1373620000;15825000;0;636973000;594103000;256847000;150391000;2477684000;274956000;233357000;1442089000;508613000;357787000;2015-03-31;99507000;8575
2451879000;0;314929000;1038350000;565836000;8575;1364281000;10169000;0;632274000;596141000;285135000;136845000;2451879000;275774000;232088000;1413529000;521762000;358743000;2015-06-30;87543000;8575
2552951000;0;330354000;1099755000;608332000;8575;1407975000;2781000;0;628983000;606209000;252264000;163136000;2552951000;231896000;261256000;1453196000;536644000;421441000;2015-09-30;84495000;8575
2242908000;0;133995000;802533000;394059000;8575;1290298000;464000;0;631313000;608028000;239424000;136568000;2242908000;97802000;260979000;1440375000;558551000;319274000;2015-12-31;97043000;8575
2267986000;0;94862000;793148000;351806000;8575;1366607000;-3406000;0;619699000;608837000;256999000;178667000;2267986000;64485000;241122000;1474838000;549573000;323510000;2016-03-31;89759000;8575
2382444000;0;152191000;891701000;357436000;8575;1360161000;-9054000;0;616243000;610293000;254753000;182382000;2382444000;74576000;341312000;1490743000;664847000;315914000;2016-06-30;100595000;8575
