assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
84449000;0;4197000;66855000;36608000;8818;47570000;"";0;7113000;6184000;13429000;4297000;84449000;20215000;0;17594000;271000;44927000;2009-12-31;9009000;8818
147545000;0;12857000;128771000;92538000;8818;54845000;"";0;7817000;6184000;48841000;4773000;147545000;30425000;0;18774000;162000;57313000;2010-12-31;50813000;8818
123718000;0;431000;104690000;64957000;8818;58626000;"";0;7767000;6184000;24742000;5077000;123718000;34187000;0;19028000;135000;72223000;2011-03-31;15330000;8818
139221000;0;6047000;119933000;77587000;8818;61526000;"";0;7858000;6184000;27481000;5233000;139221000;37588000;0;19288000;108000;81160000;2011-06-30;30299000;8818
138606000;0;2915000;118820000;72315000;8818;66210000;"";0;8139000;6184000;28054000;5438000;138606000;38280000;0;19786000;81000;80184000;2011-09-30;22665000;8818
167092000;0;8339000;147224000;101572000;8818;65466000;"";0;8174000;6184000;46492000;5485000;167092000;37613000;0;19868000;54000;81246000;2011-12-31;51697000;8818
180185000;0;1390000;159839000;111213000;8818;68972000;"";0;8229000;6184000;43079000;5908000;180185000;53991000;0;20346000;0;104167000;2012-03-31;36361000;8818
124401000;0;2479000;103761000;53706000;8818;70695000;"";0;8608000;6184000;30837000;5823000;124401000;3981000;0;20640000;0;64933000;2012-06-30;39989000;8818
116432000;0;1638000;95794000;44301000;8818;72131000;"";0;8659000;6184000;31604000;5725000;116432000;20586000;0;20638000;0;57239000;2012-09-30;13642000;8818
132948000;0;6527000;112572000;60421000;8818;72527000;"";0;8656000;6184000;35760000;5428000;132948000;32261000;0;20376000;0;64862000;2012-12-31;17769000;8818
146965000;0;751000;126459000;71359000;8818;75606000;"";0;8662000;6184000;32942000;5475000;146965000;26892000;0;20506000;0;86151000;2013-03-31;32189000;8818
145234000;0;1392000;125040000;68924000;8818;76310000;"";0;8549000;6184000;27182000;5275000;145234000;30716000;0;20194000;0;92499000;2013-06-30;28557000;8818
140808000;0;2874000;120786000;61456000;8818;79352000;"";0;8227000;6184000;33087000;5426000;140808000;25558000;0;20022000;0;80011000;2013-09-30;22960000;8818
141725000;0;2285000;121839000;61431000;8818;80294000;"";0;8213000;6184000;31150000;5476000;141725000;22161000;0;19886000;0;82391000;2013-12-31;24813000;8818
124347000;0;5368000;104480000;38364000;8818;85983000;"";0;7986000;6184000;28913000;5696000;124347000;10708000;0;19867000;0;61336000;2014-03-31;9771000;8818
139382000;0;4276000;118918000;48619000;8818;90763000;"";0;8237000;6184000;28897000;6042000;139382000;1158000;0;20464000;0;78471000;2014-06-30;34589000;8818
145306000;0;9903000;124030000;51243000;8818;94063000;"";0;8837000;6184000;27335000;6254000;145306000;5423000;0;21276000;0;78369000;2014-09-30;31836000;8818
129667000;0;24460000;108338000;35341000;8818;94326000;"";0;8783000;6184000;22681000;6362000;129667000;3920000;0;21329000;0;52158000;2014-12-31;15025000;8818
128518000;0;18097000;106460000;31902000;8818;96616000;"";0;8600000;6184000;23809000;7274000;128518000;604000;0;22058000;0;54265000;2015-03-31;14360000;8818
132816000;0;25241000;110431000;33919000;8818;98897000;"";0;8462000;6184000;29665000;7739000;132816000;31000;0;22385000;0;44009000;2015-06-30;16876000;8818
133286000;0;31963000;111738000;32516000;8818;100770000;"";0;8386000;6184000;30531000;6978000;133286000;15000;0;21548000;0;44931000;2015-09-30;22771000;8818
152404000;0;47145000;130158000;50814000;8818;101590000;"";0;8901000;6184000;25282000;7161000;152404000;0;0;22246000;0;53189000;2015-12-31;38812000;8818
145452000;0;48403000;123097000;39728000;8818;105724000;"";0;8736000;6184000;24154000;7435000;145452000;10000;0;22355000;0;44108000;2016-03-31;25505000;8818
137099000;0;33227000;114266000;28853000;8818;108246000;"";0;8906000;6184000;21662000;7743000;137099000;6000;0;22833000;0;51195000;2016-06-30;14198000;8818
