assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
510422570000;"";"";324048810000;283539478000;906;41753751000;"";"";"";"";"";"";510422570000;"";"";"";"";"";2009-12-31;"";906
635081129000;"";"";391178462000;373669873000;906;48042850000;"";"";"";"";"";"";635081129000;"";"";"";"";"";2010-12-31;"";906
674900262000;"";"";435994121000;407837716000;906;51296963000;"";"";"";"";"";"";674900262000;"";"";"";"";"";2011-03-31;"";906
691780686000;"";"";441143995000;406566542000;906;52842768000;"";"";"";"";"";"";691780686000;"";"";"";"";"";2011-06-30;"";906
724325514000;"";"";460417744000;421389055000;906;53742101000;"";"";"";"";"";"";724325514000;"";"";"";"";"";2011-09-30;"";906
753336888000;"";"";502028656000;443771547000;906;55581664000;"";"";"";"";"";"";753336888000;"";"";"";"";"";2011-12-31;"";906
758678517000;"";"";460012828000;471582351000;906;58059059000;"";"";"";"";"";"";758678517000;"";"";"";"";"";2012-03-31;"";906
787700447000;"";"";481205226000;509109894000;906;63920088000;"";"";"";"";"";"";787700447000;"";"";"";"";"";2012-06-30;"";906
793564101000;"";"";506421864000;533212407000;906;66047078000;"";"";"";"";"";"";793564101000;"";"";"";"";"";2012-09-30;"";906
844401756000;"";"";522863586000;587099723000;906;70047459000;"";"";"";"";"";"";844401756000;"";"";"";"";"";2012-12-31;"";906
866004424000;"";"";510237253000;613775033000;906;69442098000;"";"";"";"";"";"";866004424000;"";"";"";"";"";2013-03-31;"";906
872158944000;"";"";511456215000;609857379000;906;66027513000;"";"";"";"";"";"";872158944000;"";"";"";"";"";2013-06-30;"";906
869880435000;"";"";514640303000;565521177000;906;67033392000;"";"";"";"";"";"";869880435000;"";"";"";"";"";2013-09-30;"";906
882083756000;"";"";520738924000;584931445000;906;70939802000;"";"";"";"";"";"";882083756000;"";"";"";"";"";2013-12-31;"";906
904060443000;"";"";533698568000;596701231000;906;73325996000;"";"";"";"";"";"";904060443000;"";"";"";"";"";2014-03-31;"";906
892034315000;"";"";528668421000;585638434000;906;76800278000;"";"";"";"";"";"";892034315000;"";"";"";"";"";2014-06-30;"";906
933101652000;"";"";562228134000;620084656000;906;79242116000;"";"";"";"";"";"";933101652000;"";"";"";"";"";2014-09-30;"";906
978703169000;"";"";601147548000;662024658000;906;81508250000;"";"";"";"";"";"";978703169000;"";"";"";"";"";2014-12-31;"";906
975608374000;"";"";611317179000;706401663000;906;83937476000;"";"";"";"";"";"";975608374000;"";"";"";"";"";2015-03-31;"";906
943009010000;"";"";577242418000;657626664000;906;86971566000;"";"";"";"";"";"";943009010000;"";"";"";"";"";2015-06-30;"";906
969652514000;"";"";507048487000;662653440000;906;86232739000;"";"";"";"";"";"";969652514000;"";"";"";"";"";2015-09-30;"";906
947122904000;"";"";484078330000;619039916000;906;88906644000;"";"";"";"";"";"";947122904000;"";"";"";"";"";2015-12-31;"";906
954610311000;"";"";492879074000;610438519000;906;93330128000;"";"";"";"";"";"";954610311000;"";"";"";"";"";2016-03-31;"";906
953759608000;"";"";476030828000;615718515000;906;96357886000;"";"";"";"";"";"";953759608000;"";"";"";"";"";2016-06-30;"";906
