assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
7805744000;"";"";3412530000;4734453000;922;1897318000;"";"";"";"";"";"";7805744000;"";"";"";"";"";2009-12-31;"";922
8461956000;"";"";3882908000;5090063000;922;1933612000;"";"";"";"";"";"";8461956000;"";"";"";"";"";2010-12-31;"";922
8812996000;"";"";4079810000;5396211000;922;1939847000;"";"";"";"";"";"";8812996000;"";"";"";"";"";2011-03-31;"";922
9425666000;"";"";4944491000;5918904000;922;1964901000;"";"";"";"";"";"";9425666000;"";"";"";"";"";2011-06-30;"";922
9776853000;"";"";4516955000;6274743000;922;1962168000;"";"";"";"";"";"";9776853000;"";"";"";"";"";2011-09-30;"";922
9871604000;"";"";4317310000;6398977000;922;1934215000;"";"";"";"";"";"";9871604000;"";"";"";"";"";2011-12-31;"";922
10761557000;"";"";5398847000;7205934000;922;1959579000;"";"";"";"";"";"";10761557000;"";"";"";"";"";2012-03-31;"";922
10779897000;"";"";5439283000;7128903000;922;2032753000;"";"";"";"";"";"";10779897000;"";"";"";"";"";2012-06-30;"";922
10606238000;"";"";4893869000;6898523000;922;2024526000;"";"";"";"";"";"";10606238000;"";"";"";"";"";2012-09-30;"";922
10549264000;"";"";4943199000;6800450000;922;1982964000;"";"";"";"";"";"";10549264000;"";"";"";"";"";2012-12-31;"";922
10700934000;"";"";5871964000;7428559000;922;2008283000;"";"";"";"";"";"";10700934000;"";"";"";"";"";2013-03-31;"";922
11109553000;"";"";5790288000;7140466000;922;1541847000;"";"";"";"";"";"";11109553000;"";"";"";"";"";2013-06-30;"";922
11264438000;"";"";6143291000;7290402000;922;1550119000;"";"";"";"";"";"";11264438000;"";"";"";"";"";2013-09-30;"";922
11330107000;"";"";6017764000;7422104000;922;1624994000;"";"";"";"";"";"";11330107000;"";"";"";"";"";2013-12-31;"";922
11482240000;"";"";5395429000;7410654000;922;1628187000;"";"";"";"";"";"";11482240000;"";"";"";"";"";2014-03-31;"";922
11847033000;"";"";5787508000;7583426000;922;1676243000;"";"";"";"";"";"";11847033000;"";"";"";"";"";2014-06-30;"";922
11463816000;"";"";4912465000;7109132000;922;1666078000;"";"";"";"";"";"";11463816000;"";"";"";"";"";2014-09-30;"";922
12418434000;"";"";5730271000;6918786000;922;1711592000;"";"";"";"";"";"";12418434000;"";"";"";"";"";2014-12-31;"";922
12282778000;"";"";5644111000;6604702000;922;1776662000;"";"";"";"";"";"";12282778000;"";"";"";"";"";2015-03-31;"";922
12349855000;"";"";5029093000;6535284000;922;1794844000;"";"";"";"";"";"";12349855000;"";"";"";"";"";2015-06-30;"";922
12073790000;"";"";4564528000;6039211000;922;1895593000;"";"";"";"";"";"";12073790000;"";"";"";"";"";2015-09-30;"";922
12083092000;"";"";4688050000;6201464000;922;1924158000;"";"";"";"";"";"";12083092000;"";"";"";"";"";2015-12-31;"";922
12324640000;"";"";4865346000;6245244000;922;1898289000;"";"";"";"";"";"";12324640000;"";"";"";"";"";2016-03-31;"";922
12849977000;"";"";5143337000;6394539000;922;1967774000;"";"";"";"";"";"";12849977000;"";"";"";"";"";2016-06-30;"";922
