amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.04935406;"";10456;2013-11-19;"";2013-12-18;2013-11-15;ALPA3;interest;10456
0.05428947;"";10456;2013-11-18;"";2013-12-18;2013-11-15;ALPA4;interest;10456
0.0537914;2013-08-09;10456;2013-08-19;"";2013-09-18;2013-08-16;ALPA4;interest;10456
0.04890127;2013-08-09;10456;2013-08-19;"";2013-09-18;2013-08-16;ALPA3;interest;10456
0.04955782;2013-05-10;10456;2013-05-20;"";2013-06-19;2013-05-17;ALPA4;interest;10456
0.04505256;2013-05-10;10456;2013-05-20;"";2013-06-19;2013-05-17;ALPA3;interest;10456
0.06300567;2013-03-15;10456;2013-03-25;"";2013-04-17;2013-03-22;ALPA3;dividend;10456
0.06930624;2013-03-15;10456;2013-03-25;"";2013-04-17;2013-03-22;ALPA4;dividend;10456
0.05428947;2013-03-15;10456;2013-03-25;"";2013-04-17;2013-03-22;ALPA3;interest;10456
0.05971842;2013-03-15;10456;2013-03-25;"";2013-04-17;2013-03-22;ALPA4;interest;10456
0.0522972;2012-11-09;10456;2012-11-19;"";2012-12-12;2012-11-16;ALPA3;interest;10456
0.05752691;2012-11-09;10456;2012-11-19;"";2012-12-12;2012-11-16;ALPA4;interest;10456
0.05643116;2012-08-06;10456;2012-08-13;"";2012-09-03;2012-08-10;ALPA4;interest;10456
0.05130106;2012-08-06;10456;2012-08-13;"";2012-09-03;2012-08-10;ALPA3;interest;10456
0.05971842;2012-05-04;10456;2012-05-14;"";2012-07-04;2012-05-11;ALPA4;interest;10456
0.05428947;2012-05-04;10456;2012-05-14;"";2012-07-04;2012-05-11;ALPA3;interest;10456
0.05917054;2012-03-16;10456;2012-03-20;"";2012-04-18;2012-03-19;ALPA3;interest;10456
0.0650876;2012-03-16;10456;2012-03-20;"";2012-04-18;2012-03-19;ALPA4;interest;10456
0.05067847;2011-11-11;10456;2011-11-22;"";2011-12-12;2011-11-18;ALPA3;interest;10456
0.05574632;2011-11-11;10456;2011-11-21;"";2011-12-12;2011-11-18;ALPA4;interest;10456
0.05643116;2011-08-12;10456;2011-08-25;"";2011-09-05;2011-08-19;ALPA3;interest;10456
