amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.21798;"";10472;2018-05-02;"";2018-12-18;2018-05-01;SLED3;dividend;10472
0.21798;2018-04-26;10472;2018-05-02;"";2018-12-18;2018-04-30;SLED3;dividend;10472
0.21798;"";10472;2018-05-02;"";2018-12-18;2018-05-01;SLED4;dividend;10472
0.21798;2018-04-26;10472;2018-05-02;"";2018-12-18;2018-04-30;SLED4;dividend;10472
0.18;"";10472;2017-05-02;"";2017-07-03;2017-05-01;SLED4;dividend;10472
0.18;"";10472;2017-05-02;"";2017-07-03;2017-05-01;SLED3;dividend;10472
0.8866;"";10472;2015-01-14;"";2015-12-28;2015-01-01;SLED3;interest;10472
0.8866;2014-12-30;10472;2015-01-14;"";2015-12-28;2014-12-30;SLED3;interest;10472
0.8866;2014-12-30;10472;2015-01-02;"";2015-12-28;2014-12-30;SLED4;interest;10472
0.8866;"";10472;2015-01-02;"";2015-12-28;2015-01-01;SLED4;interest;10472
0.88281;2013-12-12;10472;2013-12-17;"";2014-05-07;2013-12-16;SLED3;interest;10472
0.88281;2013-12-12;10472;2013-12-17;"";2014-05-07;2013-12-16;SLED4;interest;10472
0.91875;2012-12-12;10472;2013-01-16;"";2013-04-30;2012-12-14;SLED3;interest;10472
0.91875;2012-12-12;10472;2012-12-17;"";2013-04-30;2012-12-14;SLED4;interest;10472
