amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
4.72213;2015-09-17;11070;2017-07-07;"";2015-11-13;2015-09-17;WLMM3;dividend;11070
1.6277;2015-04-30;11070;2017-07-07;"";2015-05-29;2015-04-30;WLMM3;dividend;11070
0.97659;2014-04-30;11070;2017-07-07;"";2014-06-24;2014-04-30;WLMM3;dividend;11070
1.823;2013-12-17;11070;2017-07-07;"";2014-01-24;2013-12-17;WLMM3;dividend;11070
1.95317;2013-04-30;11070;2017-07-07;"";2013-05-20;2013-04-30;WLMM3;dividend;11070
2.02;2012-02-09;11070;2017-07-07;"";2012-03-12;2012-02-16;WLMM3;dividend;11070
0.1588;2011-04-29;11070;2017-07-07;"";2011-05-12;2011-04-29;WLMM3;dividend;11070
1.605;2010-10-07;11070;2017-07-07;"";2010-10-19;2010-10-07;WLMM3;dividend;11070
0.8248;2010-04-30;11070;2017-07-07;"";2010-06-08;2010-04-30;WLMM3;dividend;11070
0.3916;2009-04-30;11070;2017-07-07;"";2009-06-25;2009-04-30;WLMM3;dividend;11070
2.2743;2009-01-27;11070;2017-07-07;"";2009-02-09;2009-01-27;WLMM3;dividend;11070
0.651;2008-01-21;11070;2017-07-07;"";2008-01-30;2008-01-21;WLMM3;dividend;11070
0.08602;2016-04-29;11070;2017-06-26;"";2016-06-24;2016-04-29;WLMM4;dividend;11070
5.19434;2015-09-17;11070;2017-06-26;"";2015-11-13;2015-09-17;WLMM4;dividend;11070
1.79047;2015-04-30;11070;2017-06-26;"";2015-05-29;2015-04-30;WLMM4;dividend;11070
1.074249;2014-04-30;11070;2017-06-26;"";2014-06-24;2014-04-30;WLMM4;dividend;11070
2.0053;2013-12-17;11070;2017-06-26;"";2014-01-24;2013-12-17;WLMM4;dividend;11070
2.14849;2013-04-30;11070;2017-06-26;"";2013-05-20;2013-04-30;WLMM4;dividend;11070
2.222;2012-02-09;11070;2017-06-26;"";2012-03-12;2012-02-16;WLMM4;dividend;11070
0.17468;2011-04-29;11070;2017-06-26;"";2011-05-12;2011-04-29;WLMM4;dividend;11070
1.7655;2010-10-07;11070;2017-06-26;"";2010-10-19;2010-10-07;WLMM4;dividend;11070
0.90728;2010-04-30;11070;2017-06-26;"";2010-06-08;2010-04-30;WLMM4;dividend;11070
0.43076;2009-04-30;11070;2017-06-26;"";2009-06-25;2009-04-30;WLMM4;dividend;11070
2.50173;2009-01-27;11070;2017-06-26;"";2009-02-09;2009-01-27;WLMM4;dividend;11070
0.7161;2008-01-21;11070;2017-06-26;"";2008-01-30;2008-01-21;WLMM4;dividend;11070
0.7942;2006-12-18;11070;2017-06-26;"";2006-12-27;2006-12-18;WLMM4;dividend;11070
