amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
3.102433788;"";1171;"";"";2022-11-23;2022-11-04;BPAR3;interest;1171
3.028877936;"";1171;"";"";2022-09-01;2022-08-16;BPAR3;interest;1171
1.67820139;"";1171;"";"";2022-05-18;2022-05-02;BPAR3;dividend;1171
2.55850652;"";1171;"";"";2022-05-18;2022-05-02;BPAR3;interest;1171
4.481796031;"";1171;"";"";2021-12-06;2021-11-18;BPAR3;interest;1171
1.785907226;2021-07-30;1171;"";"";2021-08-20;2021-08-04;BPAR3;interest;1171
2.406884692;2021-04-14;1171;"";"";2021-05-06;2021-04-19;BPAR3;dividend;1171
1.683558428;2021-04-14;1171;"";"";2021-05-06;2021-04-19;BPAR3;interest;1171
1.294462302;2020-11-16;1171;"";"";2020-12-07;2020-11-19;BPAR3;interest;1171
3.518177497;2020-09-29;1171;"";"";2020-10-21;2020-10-02;BPAR3;interest;1171
12.07739201;2020-04-15;1171;"";"";2020-05-07;2020-04-20;BPAR3;dividend;1171
1.957866132;2019-10-25;1171;"";"";2019-11-14;2019-10-30;BPAR3;interest;1171
1.955567833;2019-06-24;1171;"";"";2019-07-12;2019-06-27;BPAR3;interest;1171
2.322910567;2018-12-17;1171;2019-02-21;"";2019-01-07;2018-12-21;BPAR3;interest;1171
1.850235373;2018-10-26;1171;2019-02-21;"";2018-11-14;2018-11-01;BPAR3;interest;1171
1.861141019;2018-08-13;1171;2018-10-24;"";2018-08-29;2018-08-17;BPAR3;interest;1171
1.733711092;2018-06-26;1171;2018-10-24;"";2018-07-13;2018-07-02;BPAR3;interest;1171
4.66659;2018-04-12;1171;2018-10-24;"";2018-04-30;2018-04-18;BPAR3;dividend;1171
1.647547742;2017-12-19;1171;2018-10-24;"";"";2017-12-26;BPAR3;interest;1171
1.48811234;2017-10-30;1171;2018-10-24;"";"";2017-11-06;BPAR3;interest;1171
1.48811234;2017-08-11;1171;2018-10-24;"";2017-08-29;2017-08-14;BPAR3;interest;1171
1.591580517;2017-04-10;1171;2018-10-24;"";2017-04-24;2017-04-13;BPAR3;interest;1171
4.273923617;2017-04-10;1171;2018-10-24;"";2017-04-20;2017-04-10;BPAR3;dividend;1171
1.399379181;2016-11-18;1171;2018-10-24;"";2016-12-02;2016-11-23;BPAR3;interest;1171
1.374305525;2016-10-05;1171;2018-10-24;"";2016-10-21;2016-10-10;BPAR3;interest;1171
1.349681131;2016-07-13;1171;2018-10-24;"";2016-07-29;2016-07-18;BPAR3;interest;1171
