amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.22077531;2016-02-25;11932;2016-02-29;"";2016-03-15;2016-02-26;MYPK3;dividend;11932
0.30255896;2015-02-25;11932;2015-02-27;"";2015-03-13;2015-02-26;MYPK3;dividend;11932
0.30030269;2014-02-26;11932;2014-02-28;"";2014-03-14;2014-02-27;MYPK3;dividend;11932
0.53575859;2013-12-18;11932;2013-12-19;"";2014-03-14;2013-12-18;MYPK3;interest;11932
0.03690456;2013-02-27;11932;2013-03-01;"";2013-03-13;2013-02-28;MYPK3;dividend;11932
0.13441465;2012-12-19;11932;2012-12-21;"";2013-03-13;2012-12-20;MYPK3;interest;11932
0.13384567;2012-04-25;11932;2012-04-27;"";2013-03-13;2012-04-26;MYPK3;interest;11932
0.91791249;"";11932;2012-03-06;"";2012-03-13;2012-03-05;MYPK3;dividend;11932
0.68874705;2011-02-23;11932;2011-03-01;"";2011-03-10;2011-02-28;MYPK3;dividend;11932
0.430084959;2010-03-01;11932;2010-03-08;"";2010-03-15;2010-03-05;MYPK3;dividend;11932
1.670088282;2009-02-18;11932;2009-03-23;"";2009-04-03;2009-03-20;MYPK3;dividend;11932
0.56470474;2008-03-19;11932;2008-03-20;"";2008-04-04;2008-03-19;MYPK3;dividend;11932
