amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.18632828;2008-05-06;1210;2016-03-11;"";2016-03-30;2016-03-10;BRSR3;interest;1210
0.18632828;2008-05-06;1210;2016-03-11;"";2016-03-30;2016-03-10;BRSR6;interest;1210
0.27278726;2008-05-06;1210;2016-01-13;"";2015-12-29;2015-12-03;BRSR5;interest;1210
0.2480045;2008-05-06;1210;2015-12-07;"";2015-12-29;2015-12-03;BRSR3;interest;1210
0.2480045;2008-05-06;1210;2015-12-04;"";2015-12-29;2015-12-03;BRSR6;interest;1210
0.22869523;2015-09-09;1210;2015-09-14;"";2015-09-28;2015-09-09;BRSR5;interest;1210
0.22869523;2015-09-09;1210;2015-09-10;"";2015-09-28;2015-09-09;BRSR6;interest;1210
0.22869523;2015-09-09;1210;2015-09-10;"";2015-09-28;2015-09-09;BRSR3;interest;1210
0.032321;"";1210;2015-07-17;"";2015-05-29;2015-05-01;BRSR5;dividend;1210
0.2063835;2008-05-06;1210;2015-07-17;"";2015-06-23;2015-06-02;BRSR5;interest;1210
0.2063835;2008-05-06;1210;2015-06-03;"";2015-06-23;2015-06-02;BRSR3;interest;1210
0.2063835;2008-05-06;1210;2015-06-03;"";2015-06-23;2015-06-02;BRSR6;interest;1210
0.029382;"";1210;2015-05-05;"";2015-05-29;2015-05-01;BRSR3;dividend;1210
0.029382;"";1210;2015-05-04;"";2015-05-29;2015-05-01;BRSR6;dividend;1210
0.18825522;2008-05-06;1210;2015-03-16;"";2015-03-30;2015-03-04;BRSR5;interest;1210
0.18825522;2008-05-06;1210;2015-03-09;"";2015-03-30;2015-03-04;BRSR3;interest;1210
0.18825522;2008-05-06;1210;2015-03-05;"";2015-03-30;2015-03-04;BRSR6;interest;1210
0.1668856;2008-05-06;1210;2014-12-10;"";2014-12-17;2014-11-25;BRSR3;interest;1210
0.17392307;2008-05-06;1210;2014-12-05;"";2014-12-17;2014-11-25;BRSR5;interest;1210
0.1668856;2008-05-06;1210;2014-11-26;"";2014-12-17;2014-11-25;BRSR6;interest;1210
0.16300273;2014-06-04;1210;2014-07-25;"";2014-06-20;2014-06-04;BRSR5;interest;1210
0.169697;"";1210;2014-07-25;"";2014-05-23;2014-05-01;BRSR5;dividend;1210
0.16300273;2014-06-04;1210;2014-06-09;"";2014-06-20;2014-06-04;BRSR3;interest;1210
0.16300273;2014-06-04;1210;2014-06-05;"";2014-06-20;2014-06-04;BRSR6;interest;1210
0.169697;"";1210;2014-05-15;"";2014-05-23;2014-05-01;BRSR3;dividend;1210
0.169697;"";1210;2014-05-02;"";2014-05-23;2014-05-01;BRSR6;dividend;1210
