amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.38905972;2014-08-08;1228;2014-08-15;"";2014-08-28;2014-08-14;BNBR3;dividend;1228
0.8678445;2014-08-08;1228;2014-08-15;"";2014-08-28;2014-08-14;BNBR3;interest;1228
0.567172987;"";1228;2014-04-01;"";2014-04-09;2014-03-28;BNBR3;interest;1228
1.193929365;2013-07-31;1228;2013-08-16;"";2013-08-14;2013-07-31;BNBR3;dividend;1228
0.014945893;"";1228;2013-04-03;"";2013-04-09;2013-03-22;BNBR3;dividend;1228
0.709173675;"";1228;2013-04-03;"";2013-04-09;2013-03-22;BNBR3;interest;1228
0.079516354;2012-03-30;1228;2012-05-30;"";2012-04-17;2012-03-30;BNBR3;interest;1228
0.970883378;"";1228;2011-04-04;"";2011-04-15;2011-04-01;BNBR3;dividend;1228
0.122612203;"";1228;2011-04-04;"";2011-04-15;2011-04-01;BNBR3;interest;1228
0.550399128;2010-12-14;1228;2010-12-29;"";2010-12-29;2010-12-20;BNBR3;interest;1228
0.639196881;2010-08-06;1228;2010-08-09;"";2010-08-23;2010-08-06;BNBR3;interest;1228
0.83765923;"";1228;2010-04-01;"";2010-04-14;2010-03-30;BNBR3;interest;1228
1.464586764;"";1228;2010-04-01;"";2010-04-14;2010-03-30;BNBR3;dividend;1228
0.378217919;2009-08-07;1228;2009-08-18;"";2009-08-21;2009-08-07;BNBR3;interest;1228
0.667689318;"";1228;2009-04-15;"";2009-04-14;2009-03-30;BNBR3;dividend;1228
0.554446654;"";1228;2009-04-15;"";2009-04-14;2009-03-30;BNBR3;interest;1228
0.644145655;2008-08-08;1228;2008-08-11;"";2008-08-21;2008-08-08;BNBR3;dividend;1228
0.538228454;2008-08-08;1228;2008-08-11;"";2008-08-21;2008-08-08;BNBR3;interest;1228
0.055279764;"";1228;2008-03-18;"";2008-04-04;2008-03-17;BNBR3;dividend;1228
0.046626063;2007-08-22;1228;2007-08-23;"";2007-09-05;2007-08-22;BNBR3;interest;1228
