amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.01093268;2017-03-08;12653;2017-04-26;"";2017-05-12;2017-04-25;KLBN3;dividend;12653
0.05466342;"";12653;2017-04-26;"";2017-05-12;2017-04-25;KLBN11;dividend;12653
0.01093268;2017-03-08;12653;2017-04-26;"";2017-05-12;2017-04-25;KLBN4;dividend;12653
0.02842498;"";12653;2017-02-06;"";2017-02-16;2017-02-03;KLBN4;dividend;12653
0.1421249;"";12653;2017-02-06;"";2017-02-16;2017-02-03;KLBN11;dividend;12653
0.02842498;"";12653;2017-02-06;"";2017-02-16;2017-02-03;KLBN3;dividend;12653
0.12776;"";12653;2016-11-04;"";2016-11-14;2016-11-03;KLBN11;dividend;12653
0.02555274;2016-10-27;12653;2016-11-04;"";2016-11-14;2016-11-03;KLBN3;dividend;12653
0.02555274;2016-10-27;12653;2016-11-04;"";2016-11-14;2016-11-03;KLBN4;dividend;12653
0.11791;"";12653;2016-08-01;"";2016-08-10;2016-07-29;KLBN11;dividend;12653
0.023583028;2016-07-26;12653;2016-08-01;"";2016-08-10;2016-07-29;KLBN4;dividend;12653
0.023583028;2016-07-26;12653;2016-08-01;"";2016-08-10;2016-07-29;KLBN3;dividend;12653
0.02237227;2016-04-28;12653;2016-05-02;"";2016-05-11;2016-04-29;KLBN4;dividend;12653
0.11186135;"";12653;2016-05-02;"";2016-05-11;2016-04-29;KLBN11;dividend;12653
0.02237227;2016-04-28;12653;2016-05-02;"";2016-05-11;2016-04-29;KLBN3;dividend;12653
0.026213971;2016-02-02;12653;2016-02-05;"";2016-02-22;2016-02-03;KLBN3;dividend;12653
0.1311;"";12653;2016-02-04;"";2016-02-22;2016-02-03;KLBN11;dividend;12653
0.026213971;2016-02-02;12653;2016-02-04;"";2016-02-22;2016-02-03;KLBN4;dividend;12653
0.022925186;2015-10-26;12653;2015-10-28;"";2015-11-09;2015-10-27;KLBN4;dividend;12653
0.022925186;2015-10-26;12653;2015-10-28;"";2015-11-09;2015-10-27;KLBN3;dividend;12653
0.1146;"";12653;2015-10-28;"";2015-11-09;2015-10-27;KLBN11;dividend;12653
0.03734;2015-07-24;12653;2015-07-31;"";2015-08-07;2015-07-27;KLBN3;dividend;12653
0.1867;"";12653;2015-07-28;"";2015-08-07;2015-07-27;KLBN11;dividend;12653
0.03734;2015-07-24;12653;2015-07-28;"";2015-08-07;2015-07-27;KLBN4;dividend;12653
0.11136;"";12653;2015-03-24;"";2015-04-06;2015-03-23;KLBN11;dividend;12653
0.02227;2015-03-19;12653;2015-03-24;"";2015-04-06;2015-03-23;KLBN4;dividend;12653
0.02227;2015-03-19;12653;2015-03-24;"";2015-04-06;2015-03-23;KLBN3;dividend;12653
0.0196537;2014-10-29;12653;2014-11-12;"";2014-11-19;2014-11-10;KLBN3;dividend;12653
0.0196537;2014-10-29;12653;2014-11-11;"";2014-11-19;2014-11-10;KLBN4;dividend;12653
0.09826;"";12653;2014-11-11;"";2014-11-19;2014-11-10;KLBN11;dividend;12653
0.03318;2014-07-30;12653;2014-08-21;"";2014-08-20;2014-08-11;KLBN3;dividend;12653
0.1659;"";12653;2014-08-12;"";2014-08-20;2014-08-11;KLBN11;dividend;12653
0.03318;2014-07-30;12653;2014-08-12;"";2014-08-20;2014-08-11;KLBN4;dividend;12653
0.09833;2014-03-20;12653;2014-03-25;"";2014-04-09;2014-03-20;KLBN3;dividend;12653
0.09833;2014-03-20;12653;2014-03-21;"";2014-04-09;2014-03-20;KLBN4;dividend;12653
0.49165;"";12653;2014-03-21;"";2014-04-09;2014-03-20;KLBN11;dividend;12653
0.08998;2013-10-30;12653;2013-11-28;"";2013-11-22;2013-11-11;KLBN3;dividend;12653
0.09898;2013-10-30;12653;2013-11-12;"";2013-11-22;2013-11-11;KLBN4;dividend;12653
0.14821;2013-07-25;12653;2013-08-20;"";2013-08-15;2013-08-05;KLBN3;dividend;12653
0.16303;2013-07-25;12653;2013-08-06;"";2013-08-15;2013-08-05;KLBN4;dividend;12653
0.08052;"";12653;2013-04-10;"";2013-04-23;2013-04-02;KLBN3;dividend;12653
0.08857;"";12653;2013-04-03;"";2013-04-23;2013-04-02;KLBN4;dividend;12653
0.07939;2012-10-26;12653;2012-11-19;"";2012-11-21;2012-11-12;KLBN3;dividend;12653
0.08733;2012-10-26;12653;2012-11-13;"";2012-11-21;2012-11-12;KLBN4;dividend;12653
0.12702;2012-06-27;12653;2012-07-11;"";2012-07-19;2012-07-10;KLBN3;dividend;12653
0.13972;2012-06-27;12653;2012-07-11;"";2012-07-19;2012-07-10;KLBN4;dividend;12653
0.08474;"";12653;2012-04-23;"";2012-04-23;2012-04-03;KLBN3;dividend;12653
0.09321;"";12653;2012-04-04;"";2012-04-23;2012-04-03;KLBN4;dividend;12653
0.05822;2011-09-22;12653;2011-10-04;"";2011-10-11;2011-09-30;KLBN3;dividend;12653
0.06404;2011-09-22;12653;2011-10-03;"";2011-10-11;2011-09-30;KLBN4;dividend;12653
0.08651;2011-06-21;12653;2011-07-06;"";2011-07-15;2011-07-04;KLBN3;dividend;12653
0.09516;2011-06-21;12653;2011-07-05;"";2011-07-15;2011-07-04;KLBN4;dividend;12653
0.07385;2011-04-04;12653;2011-04-12;"";2011-04-20;2011-04-11;KLBN3;dividend;12653
0.08124;2011-04-04;12653;2011-04-12;"";2011-04-20;2011-04-11;KLBN4;dividend;12653
0.07298;2010-09-21;12653;2010-09-30;"";2010-10-08;2010-09-29;KLBN3;dividend;12653
0.08028;2010-09-21;12653;2010-09-30;"";2010-10-08;2010-09-29;KLBN4;dividend;12653
0.05213;"";12653;2010-07-20;"";2010-07-20;2010-07-09;KLBN3;dividend;12653
0.05734;"";12653;2010-07-12;"";2010-07-20;2010-07-09;KLBN4;dividend;12653
0.05943;2010-04-16;12653;2010-04-27;"";2010-04-30;2010-04-22;KLBN3;dividend;12653
0.06537;2010-04-16;12653;2010-04-23;"";2010-04-30;2010-04-22;KLBN4;dividend;12653
0.04527;2009-10-27;12653;2009-11-25;"";2009-11-16;2009-11-06;KLBN3;dividend;12653
0.0498;2009-10-27;12653;2009-11-09;"";2009-11-16;2009-11-06;KLBN4;dividend;12653
0.0488;2009-08-11;12653;2009-09-10;"";2009-08-31;2009-08-21;KLBN3;dividend;12653
0.05368;2009-08-11;12653;2009-08-24;"";2009-08-31;2009-08-21;KLBN4;dividend;12653
0.0342;2009-05-07;12653;2009-05-18;"";2009-05-26;2009-05-15;KLBN3;dividend;12653
0.03762;2009-05-07;12653;2009-05-18;"";2009-05-26;2009-05-15;KLBN4;dividend;12653
0.12171;2008-08-27;12653;2008-09-15;"";2008-10-01;2008-09-03;KLBN3;dividend;12653
0.13388;2008-08-27;12653;2008-09-04;"";2008-10-01;2008-09-03;KLBN4;dividend;12653
0.12484;2008-03-19;12653;2008-05-02;"";2008-04-02;2008-03-24;KLBN3;dividend;12653
0.13732;2008-03-19;12653;2008-03-25;"";2008-04-02;2008-03-24;KLBN4;dividend;12653
0.17997;2007-07-30;12653;2007-08-27;"";2007-09-05;2007-08-23;KLBN3;dividend;12653
0.19797;2007-07-30;12653;2007-08-24;"";2007-09-05;2007-08-23;KLBN4;dividend;12653
