amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.279408;"";1325;2022-10-04;"";2022-10-11;2022-10-03;BMEB4;interest;1325
0.254007;"";1325;2022-10-04;"";2022-10-11;2022-10-03;BMEB3;interest;1325
0.234556;"";1325;2022-02-23;"";2022-03-08;2022-02-21;BMEB3;interest;1325
0.032462;"";1325;2022-02-23;"";2022-03-08;2022-02-21;BMEB3;dividend;1325
0.258012;"";1325;2022-02-22;"";2022-03-08;2022-02-21;BMEB4;interest;1325
0.035728;"";1325;2022-02-22;"";2022-03-08;2022-02-21;BMEB4;dividend;1325
0.445445;2021-08-11;1325;2021-08-17;"";2021-08-26;2021-08-16;BMEB4;interest;1325
0.404949;2021-08-11;1325;2021-08-17;"";2021-08-26;2021-08-16;BMEB3;interest;1325
0.776108;2021-02-10;1325;2021-02-19;"";2021-03-05;2021-02-18;BMEB3;interest;1325
0.853719;2021-02-10;1325;2021-02-19;"";2021-03-05;2021-02-18;BMEB4;interest;1325
0.623826;"";1325;2020-02-26;"";2020-03-10;2020-02-21;BMEB3;interest;1325
0.686208;"";1325;2020-02-26;"";2020-03-10;2020-02-21;BMEB4;interest;1325
0.663529;2019-02-20;1325;2019-02-26;"";2019-03-26;2019-02-25;BMEB4;interest;1325
0.054207;2019-02-20;1325;2019-02-26;"";2019-03-26;2019-02-25;BMEB3;interest;1325
0.663529;"";1325;2018-02-28;"";2018-03-27;2018-02-27;BMEB4;dividend;1325
0.663529;2018-02-22;1325;2018-02-28;"";2018-03-27;2018-02-27;BMEB4;interest;1325
0.331815;2017-02-22;1325;2017-03-06;"";2017-03-29;2017-03-03;BMEB4;interest;1325
0.30165;2016-08-10;1325;2016-09-02;"";2016-09-06;2016-08-16;BMEB3;interest;1325
0.331815;2016-08-10;1325;2016-08-17;"";2016-09-06;2016-08-16;BMEB4;interest;1325
0.3;2016-03-01;1325;2016-04-08;"";2016-04-14;2016-03-17;BMEB3;interest;1325
0.33;2016-03-01;1325;2016-03-18;"";2016-04-14;2016-03-17;BMEB4;interest;1325
0.33;2015-08-11;1325;2015-08-24;"";2015-09-10;2015-08-12;BMEB3;interest;1325
0.363;2015-08-11;1325;2015-08-13;"";2015-09-10;2015-08-12;BMEB4;interest;1325
0.66353;2015-02-11;1325;2015-02-20;"";2015-03-19;2015-02-19;BMEB4;interest;1325
0.331765;"";1325;2014-02-27;"";2014-03-25;2014-02-25;BMEB3;interest;1325
0.331765;2014-02-19;1325;2014-02-27;"";2014-03-25;2014-02-25;BMEB4;interest;1325
